Gene Name,count,cpm
bA255A11.4,0,0.0
ZZZ3,114,8.184534546597249
ZZEF1,83,5.958915503224312
ZYXP1,0,0.0
ZYX,156,11.199889379554127
ZYG11B,150,10.76912440341743
ZYG11AP1,0,0.0
ZYG11A,3,0.21538248806834862
ZXDC,70,5.025591388261468
ZXDB,0,0.0
ZXDA,48,3.446119809093578
ZWINT,23,1.6512657418573393
ZWILCH,131,9.40503531231789
ZW10,65,4.66662057481422
ZUP1,143,10.266565264591284
ZSWIM9,91,6.533268804739908
ZSWIM8-AS1,0,0.0
ZSWIM8,78,5.599944689777064
ZSWIM7,11,0.7897357895839449
ZSWIM6,106,7.610181245081652
ZSWIM5P3,0,0.0
ZSWIM5P2,0,0.0
ZSWIM5P1,0,0.0
ZSWIM5,0,0.0
ZSWIM4,0,0.0
ZSWIM3,1,0.07179416268944955
ZSWIM2,16,1.1487066030311928
ZSWIM1,76,5.456356364398165
ZSCAN9,0,0.0
ZSCAN5DP,0,0.0
ZSCAN5C,1,0.07179416268944955
ZSCAN5B,2,0.1435883253788991
ZSCAN5A,211,15.148568327473852
ZSCAN4,0,0.0
ZSCAN32,0,0.0
ZSCAN31,0,0.0
ZSCAN30,48,3.446119809093578
ZSCAN29,189,13.569096748305963
ZSCAN26,65,4.66662057481422
ZSCAN25,79,5.671738852466514
ZSCAN23,0,0.0
ZSCAN22,30,2.1538248806834863
ZSCAN21,94,6.7486512928082565
ZSCAN20,11,0.7897357895839449
ZSCAN2,0,0.0
ZSCAN18,0,0.0
ZSCAN16-AS1,70,5.025591388261468
ZSCAN16,21,1.5076774164784401
ZSCAN12P1,3,0.21538248806834862
ZSCAN12,20,1.435883253788991
ZSCAN10,3,0.21538248806834862
ZSCAN1,0,0.0
ZRSR2P1,1,0.07179416268944955
ZRSR2,84,6.0307096659137605
ZRF1PS,0,0.0
ZRANB3,330,23.692073687518345
ZRANB2-DT,35,2.512795694130734
ZRANB2-AS1,12,0.8615299522733945
ZRANB2,433,31.08687244453165
ZRANB1,514,36.90219962237707
ZPR1P1,0,0.0
ZPR1,35,2.512795694130734
ZPLD2P,1,0.07179416268944955
ZPLD1,0,0.0
ZPBP2,11,0.7897357895839449
ZPBP,2,0.1435883253788991
