Gene Name,TPM
A1BG,0.001095
A1BG-AS1,0.002339
A1CF,0.020488
A2M,0.704805
A2M-AS1,0.0
A2ML1,0.0
A2MP1,0.000118
A3GALT2,0.005439
A4GALT,0.0
A4GNT,0.0
AA06,0.0
AAAS,0.02514
AACS,0.017319
AACSP1,0.016766
AADAC,0.012748
AADACL2,0.0
AADACL2-AS1,0.002133
AADACL3,0.002957
AADACL4,0.0
AADACP1,0.0
AADAT,0.0
AAGAB,0.223782
AAK1,0.024128
AAMDC,0.0
AAMP,0.267791
AANAT,0.011085
AAR2,0.0
AARD,0.000898
AARS1,0.062292
AARS1P1,0.0
AARS2,0.006347
AARSD1,0.007689
AARSD1P1,0.0
AASDH,0.250543
AASDHPPT,0.063629
AASS,0.0
AATBC,0.009799
AATF,0.27954
AATK,0.015579
ABALON,0.0
ABAT,0.13543
ABCA1,0.002858
ABCA10,0.00174
ABCA11P,0.0
ABCA12,0.019282
ABCA13,0.006791
ABCA17P,0.003979
ABCA2,0.0
ABCA3,0.004984
ABCA3P1,0.0
ABCA4,0.001462
ABCA5,0.002141
ABCA6,0.065813
ABCA7,0.043386
ABCA8,0.0
ABCA9,0.002358
ABCA9-AS1,0.00029
ABCB1,0.004532
ABCB10,0.751523
ABCB10P1,0.000756
ABCB10P3,0.001209
ABCB10P4,0.0
ABCB11,0.0
ABCB4,0.046551
ABCB5,0.005312
ABCB6,0.074782
ABCB7,0.006775
ABCB8,0.011084
ABCB9,0.0
ABCC1,0.0
ABCC10,0.029946
ABCC11,0.0
ABCC12,0.005005
ABCC13,0.115233
ABCC2,0.081823
ABCC3,0.024097
ABCC4,1.183527
ABCC5,0.083719
ABCC5-AS1,0.0
ABCC6,0.0
ABCC6P1,0.000238
ABCC6P2,0.0
ABCC8,0.005836
ABCC9,0.0017
ABCD1,0.023311
ABCD1P1,0.0
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.001593
ABCD1P5,0.0053
ABCD2,0.059081
ABCD3,0.221299
ABCD4,0.001407
ABCE1,0.679415
ABCF1,0.009644
ABCF2,0.014613
ABCF2-H2BK1,0.011346
ABCF2P1,0.0
ABCF2P2,0.0
ABCF3,0.026994
ABCG1,0.123245
ABCG2,0.467695
ABCG4,0.0
ABCG5,0.0
ABCG8,0.011329
ABHD1,0.0
ABHD10,0.050084
ABHD11,0.052361
ABHD11-AS1,0.0
ABHD12,0.222208
ABHD12B,0.0
ABHD13,0.223138
ABHD14A,0.000859
ABHD14A-ACY1,0.002098
ABHD14B,0.211653
ABHD15,0.0
ABHD16A,0.012533
ABHD16B,0.0
ABHD17A,0.223125
ABHD17AP1,0.024496
ABHD17AP3,0.003411
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.024044
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.174715
ABHD17C,0.00186
ABHD18,0.003884
ABHD2,0.354762
ABHD3,0.165379
ABHD4,0.277552
ABHD5,0.937271
ABHD6,0.0
ABHD8,0.006199
ABI1,1.415478
ABI1P1,0.0
ABI2,0.492208
ABI3,1.082185
ABI3BP,0.0
ABITRAM,0.234049
ABITRAMP1,0.0
ABL1,0.004033
ABL2,0.035448
ABLIM1,0.651913
ABLIM2,0.158243
ABLIM3,0.5787059999999999
ABO,0.003221
ABR,0.057818
ABRA,0.0
ABRACL,2.981092
ABRAXAS1,0.5633940000000001
ABRAXAS2,0.628141
ABT1,0.04095
ABT1P1,0.0
ABTB1,2.073157
ABTB2,0.00507
ACAA1,0.183127
ACAA2,0.041726
ACAA2P1,0.0
ACACA,0.002196
ACACB,0.019865
ACAD10,0.012706
ACAD11,0.0
ACAD8,0.0
ACAD9,0.184241
ACADL,0.0
ACADM,0.010797
ACADS,0.003645
ACADSB,0.025062
ACADVL,0.515184
ACAN,0.0
ACAP1,0.0
ACAP2,1.279384
ACAP3,0.0
ACAT1,0.014758
ACAT2,0.030823
ACBD3,0.037583
ACBD3-AS1,0.0
ACBD4,0.069113
ACBD5,0.339441
ACBD6,1.111451
ACBD7,0.0
ACBD7-DCLRE1CP1,0.011825
ACCS,0.148767
ACCSL,0.0
ACD,0.141071
ACE,0.0
ACE2,0.009685
