,Gene Name,SGI75460067_x,SGI75460067_y,SGI75460068,SGI75460075,SGI75460076,SGI75460103,SGI75460104
0,A1BG,0.008487,0.008487,0.008487,0.008487,0.008487,0.008487,0.008487
1,A1BG-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A1CF,0.007522,0.007522,0.007522,0.007522,0.007522,0.007522,0.007522
3,A2M,0.734601,0.734601,0.734601,0.734601,0.734601,0.734601,0.734601
4,A2M-AS1,0.010195,0.010195,0.010195,0.010195,0.010195,0.010195,0.010195
5,A2ML1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A3GALT2,0.003684,0.003684,0.003684,0.003684,0.003684,0.003684,0.003684
8,A4GALT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AAAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AADACL2,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05,6e-05
16,AADACL2-AS1,0.004114,0.004114,0.004114,0.004114,0.004114,0.004114,0.004114
17,AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AADACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AADAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AAGAB,0.193335,0.193335,0.193335,0.193335,0.193335,0.193335,0.193335
22,AAK1,0.015344,0.015344,0.015344,0.015344,0.015344,0.015344,0.015344
23,AAMDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AAMP,0.165273,0.165273,0.165273,0.165273,0.165273,0.165273,0.165273
25,AANAT,4.3e-05,4.3e-05,4.3e-05,4.3e-05,4.3e-05,4.3e-05,4.3e-05
26,AAR2,0.027996,0.027996,0.027996,0.027996,0.027996,0.027996,0.027996
27,AARD,0.001598,0.001598,0.001598,0.001598,0.001598,0.001598,0.001598
28,AARS1,0.054604,0.054604,0.054604,0.054604,0.054604,0.054604,0.054604
29,AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,AARS2,0.04638,0.04638,0.04638,0.04638,0.04638,0.04638,0.04638
31,AARSD1,0.009444,0.009444,0.009444,0.009444,0.009444,0.009444,0.009444
32,AARSD1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,AASDH,0.120453,0.120453,0.120453,0.120453,0.120453,0.120453,0.120453
34,AASDHPPT,0.007168,0.007168,0.007168,0.007168,0.007168,0.007168,0.007168
35,AASS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AATBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AATF,0.1002,0.1002,0.1002,0.1002,0.1002,0.1002,0.1002
38,AATK,0.021136,0.021136,0.021136,0.021136,0.021136,0.021136,0.021136
39,ABALON,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ABAT,0.075605,0.075605,0.075605,0.075605,0.075605,0.075605,0.075605
41,ABCA1,0.001237,0.001237,0.001237,0.001237,0.001237,0.001237,0.001237
42,ABCA10,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825,0.000825
43,ABCA11P,0.020441,0.020441,0.020441,0.020441,0.020441,0.020441,0.020441
44,ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,ABCA13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ABCA17P,0.000779,0.000779,0.000779,0.000779,0.000779,0.000779,0.000779
47,ABCA2,0.002621,0.002621,0.002621,0.002621,0.002621,0.002621,0.002621
48,ABCA3,0.000469,0.000469,0.000469,0.000469,0.000469,0.000469,0.000469
49,ABCA3P1,0.003748,0.003748,0.003748,0.003748,0.003748,0.003748,0.003748
50,ABCA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,ABCA5,0.016322,0.016322,0.016322,0.016322,0.016322,0.016322,0.016322
52,ABCA6,0.083498,0.083498,0.083498,0.083498,0.083498,0.083498,0.083498
53,ABCA7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,ABCA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,ABCA9-AS1,0.002849,0.002849,0.002849,0.002849,0.002849,0.002849,0.002849
57,ABCB1,0.001339,0.001339,0.001339,0.001339,0.001339,0.001339,0.001339
