		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	45088	A1BG	114	8.184534546597249	A1BG	278	24.60332667066987
SGI75460068	45087	A1BG-AS1	17	1.220500765720642	A1BG-AS1	17	1.5045199762639847
SGI75460068	45086	A1CF	3	0.2153824880683486	A1CF	19	1.6815223264126888
SGI75460068	45085	A2M	380	27.281781821990823	A2M	346	30.621406575725807
SGI75460068	45084	A2M-AS1	0	0.0	A2M-AS1	0	0.0
SGI75460068	45083	A2ML1	0	0.0	A2ML1	0	0.0
SGI75460068	45082	A2MP1	0	0.0	A2MP1	0	0.0
SGI75460068	45081	A3GALT2	10	0.7179416268944955	A3GALT2	1	0.088501175074352
SGI75460068	45080	A4GALT	0	0.0	A4GALT	0	0.0
SGI75460068	45079	A4GNT	0	0.0	A4GNT	0	0.0
SGI75460068	45078	AA06	1	0.0717941626894495	AA06	3	0.2655035252230561
SGI75460068	45077	AAAS	45	3.230737321025229	AAAS	4	0.3540047002974082
SGI75460068	45076	AACS	4	0.2871766507577982	AACS	0	0.0
SGI75460068	45075	AACSP1	52	3.733296459851376	AACSP1	50	4.425058753717603
SGI75460068	45074	AADAC	14	1.0051182776522936	AADAC	0	0.0
SGI75460068	45073	AADACL2	39	2.799972344888532	AADACL2	0	0.0
SGI75460068	45072	AADACL2-AS1	86	6.1742979912926605	AADACL2-AS1	261	23.098806694405884
SGI75460068	45071	AADACL3	0	0.0	AADACL3	1	0.088501175074352
SGI75460068	45070	AADACL4	0	0.0	AADACL4	0	0.0
SGI75460068	45069	AADACP1	0	0.0	AADACP1	0	0.0
SGI75460068	45068	AADAT	0	0.0	AADAT	0	0.0
SGI75460068	45067	AAGAB	78	5.599944689777064	AAGAB	78	6.90309165579946
SGI75460068	45066	AAK1	239	17.15880488277844	AAK1	408	36.10847943033564
SGI75460068	45065	AAMDC	8	0.5743533015155964	AAMDC	0	0.0
SGI75460068	45064	AAMP	28	2.010236555304587	AAMP	20	1.770023501487041
SGI75460068	45063	AANAT	0	0.0	AANAT	35	3.097541127602322
SGI75460068	45062	AAR2	95	6.8204454554977065	AAR2	93	8.23060928191474
SGI75460068	45061	AARD	0	0.0	AARD	1	0.088501175074352
SGI75460068	45060	AARS1	27	1.9384423926151375	AARS1	19	1.6815223264126888
SGI75460068	45059	AARS1P1	0	0.0	AARS1P1	0	0.0
SGI75460068	45058	AARS2	7	0.5025591388261468	AARS2	3	0.2655035252230561
SGI75460068	45057	AARSD1	6	0.4307649761366972	AARSD1	4	0.3540047002974082
