		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460104	0	A1BG	0.009627	A1BG	0.027075
SGI75460104	1	A1BG-AS1	0.0295	A1BG-AS1	0.044636
SGI75460104	2	A1CF	0.002238	A1CF	0.0
SGI75460104	3	A2M	0.152936	A2M	0.238443
SGI75460104	4	A2M-AS1	0.016302	A2M-AS1	0.022701
SGI75460104	5	A2ML1	0.0	A2ML1	0.0
SGI75460104	6	A2MP1	0.000286	A2MP1	0.0112
SGI75460104	7	A3GALT2	0.003444	A3GALT2	0.007273
SGI75460104	8	A4GALT	0.0	A4GALT	0.0
SGI75460104	9	A4GNT	0.0	A4GNT	0.0
SGI75460104	10	AA06	0.0	AA06	0.0
SGI75460104	11	AAAS	0.00627	AAAS	0.0329929999999999
SGI75460104	12	AACS	0.06945	AACS	0.050032
SGI75460104	13	AACSP1	1.2e-05	AACSP1	0.000671
SGI75460104	14	AADAC	0.0	AADAC	0.0
SGI75460104	15	AADACL2	0.000467	AADACL2	0.0
SGI75460104	16	AADACL2-AS1	0.000136	AADACL2-AS1	0.005755
SGI75460104	17	AADACL3	0.0	AADACL3	0.0
SGI75460104	18	AADACL4	0.0	AADACL4	0.0
SGI75460104	19	AADACP1	0.002733	AADACP1	6.1e-05
SGI75460104	20	AADAT	0.0	AADAT	0.0
SGI75460104	21	AAGAB	0.284233	AAGAB	0.279419
SGI75460104	22	AAK1	0.03238	AAK1	0.0447
SGI75460104	23	AAMDC	0.041012	AAMDC	0.010798
SGI75460104	24	AAMP	0.139878	AAMP	0.208853
SGI75460104	25	AANAT	0.001329	AANAT	0.022131
SGI75460104	26	AAR2	0.136848	AAR2	0.175398
SGI75460104	27	AARD	0.0	AARD	0.001405
SGI75460104	28	AARS1	0.186279	AARS1	0.264416
SGI75460104	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460104	30	AARS2	0.020971	AARS2	0.020433
SGI75460104	31	AARSD1	0.000739	AARSD1	0.003431
SGI75460104	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460104	33	AASDH	0.082403	AASDH	0.113051
SGI75460104	34	AASDHPPT	0.068301	AASDHPPT	0.484861
SGI75460104	35	AASS	0.0	AASS	0.0
SGI75460104	36	AATBC	0.010338	AATBC	0.014324
SGI75460104	37	AATF	0.117395	AATF	0.313317
SGI75460104	38	AATK	0.069898	AATK	0.113792
SGI75460104	39	ABALON	0.0	ABALON	2.815677
SGI75460104	40	ABAT	0.096787	ABAT	0.141889
SGI75460104	41	ABCA1	0.002992	ABCA1	0.007106
SGI75460104	42	ABCA10	0.0024879999999999	ABCA10	0.008495
SGI75460104	43	ABCA11P	0.002829	ABCA11P	0.026083
SGI75460104	44	ABCA12	0.0	ABCA12	0.0
SGI75460104	45	ABCA13	0.010832	ABCA13	0.0
SGI75460104	46	ABCA17P	0.001047	ABCA17P	0.003492
SGI75460104	47	ABCA2	0.024335	ABCA2	0.0
SGI75460104	48	ABCA3	0.00756	ABCA3	0.015346
SGI75460104	49	ABCA3P1	0.000912	ABCA3P1	0.0
SGI75460104	50	ABCA4	0.0	ABCA4	0.0
SGI75460104	51	ABCA5	0.011901	ABCA5	0.013779
SGI75460104	52	ABCA6	0.00441	ABCA6	0.006326
SGI75460104	53	ABCA7	0.215569	ABCA7	0.309694
SGI75460104	54	ABCA8	0.0	ABCA8	0.0
SGI75460104	55	ABCA9	0.0	ABCA9	0.0
SGI75460104	56	ABCA9-AS1	0.0	ABCA9-AS1	0.00048
SGI75460104	57	ABCB1	0.001414	ABCB1	0.008808
SGI75460104	58	ABCB10	0.629847	ABCB10	1.022158
SGI75460104	59	ABCB10P1	0.003968	ABCB10P1	0.0
SGI75460104	60	ABCB10P3	0.006342	ABCB10P3	0.0
SGI75460104	61	ABCB10P4	0.012007	ABCB10P4	0.0
SGI75460104	62	ABCB11	0.0	ABCB11	0.0
SGI75460104	63	ABCB4	0.04533	ABCB4	0.057002
SGI75460104	64	ABCB5	0.000236	ABCB5	0.001533
SGI75460104	65	ABCB6	0.029077	ABCB6	0.008897
SGI75460104	66	ABCB7	0.132389	ABCB7	0.231546
SGI75460104	67	ABCB8	0.019533	ABCB8	0.017025
SGI75460104	68	ABCB9	0.0	ABCB9	0.0
SGI75460104	69	ABCC1	0.054306	ABCC1	0.127746
SGI75460104	70	ABCC10	0.065817	ABCC10	0.095926
SGI75460104	71	ABCC11	0.0	ABCC11	0.0
SGI75460104	72	ABCC12	0.000382	ABCC12	0.000714
SGI75460104	73	ABCC13	0.108755	ABCC13	0.181933
SGI75460104	74	ABCC2	0.003715	ABCC2	0.0
SGI75460104	75	ABCC3	0.163897	ABCC3	0.130798
SGI75460104	76	ABCC4	1.116799	ABCC4	1.574666
SGI75460104	77	ABCC5	0.095041	ABCC5	0.065405
SGI75460104	78	ABCC5-AS1	0.0	ABCC5-AS1	0.0
SGI75460104	79	ABCC6	0.0	ABCC6	0.0
SGI75460104	80	ABCC6P1	8.3e-05	ABCC6P1	0.002024
SGI75460104	81	ABCC6P2	0.0	ABCC6P2	0.0
SGI75460104	82	ABCC8	0.000167	ABCC8	0.005269
SGI75460104	83	ABCC9	0.0	ABCC9	0.0
SGI75460104	84	ABCD1	0.0	ABCD1	0.0
SGI75460104	85	ABCD1P1	0.0	ABCD1P1	0.0
SGI75460104	86	ABCD1P2	0.0	ABCD1P2	0.0
