Gene Name,count,cpm
bA255A11.4,0,0.0
ZZZ3,73,10.170509284769384
ZZEF1,76,10.588475419759906
ZYXP1,0,0.0
ZYX,0,0.0
ZYG11B,353,49.18068188388482
ZYG11AP1,0,0.0
ZYG11A,0,0.0
ZXDC,42,5.851525889867317
ZXDB,20,2.7864408999368173
ZXDA,6,0.8359322699810453
ZWINT,0,0.0
ZWILCH,24,3.3437290799241812
ZW10,0,0.0
ZUP1,49,6.826780204845202
ZSWIM9,0,0.0
ZSWIM8-AS1,0,0.0
ZSWIM8,16,2.229152719949454
ZSWIM7,49,6.826780204845202
ZSWIM6,53,7.384068384832566
ZSWIM5P3,11,1.5325424949652497
ZSWIM5P2,0,0.0
ZSWIM5P1,0,0.0
ZSWIM5,2,0.27864408999368173
ZSWIM4,0,0.0
ZSWIM3,421,58.654580943670005
ZSWIM2,0,0.0
ZSWIM1,0,0.0
ZSCAN9,0,0.0
ZSCAN5DP,0,0.0
ZSCAN5C,0,0.0
ZSCAN5B,2,0.27864408999368173
ZSCAN5A,1761,245.3461212394368
ZSCAN4,0,0.0
ZSCAN32,57,7.941356564819929
ZSCAN31,0,0.0
ZSCAN30,0,0.0
ZSCAN29,30,4.179661349905226
ZSCAN26,59,8.220000654813612
ZSCAN25,0,0.0
ZSCAN23,0,0.0
ZSCAN22,0,0.0
ZSCAN21,0,0.0
ZSCAN20,15,2.089830674952613
ZSCAN2,0,0.0
ZSCAN18,0,0.0
ZSCAN16-AS1,43,5.990847934864157
ZSCAN16,0,0.0
ZSCAN12P1,1,0.13932204499684087
ZSCAN12,16,2.229152719949454
ZSCAN10,21,2.9257629449336586
ZSCAN1,1,0.13932204499684087
ZRSR2P1,0,0.0
ZRSR2,0,0.0
ZRF1PS,0,0.0
ZRANB3,1160,161.6135721963354
ZRANB2-DT,322,44.86169848898276
ZRANB2-AS1,77,10.727797464756748
ZRANB2,11,1.5325424949652497
ZRANB1,59,8.220000654813612
ZPR1P1,0,0.0
ZPR1,56,7.8020345198230885
ZPLD2P,94,13.096272229703041
ZPLD1,0,0.0
ZPBP2,0,0.0
ZPBP,1,0.13932204499684087
ZPAXP,1,0.13932204499684087
ZP4,0,0.0
ZP3P2,0,0.0
ZP3P1,0,0.0
ZP3,129,17.972543804592473
ZP2,1,0.13932204499684087
ZP1,0,0.0
ZNRF4,0,0.0
ZNRF3-AS1,0,0.0
ZNRF3,966,134.58509546694827
ZNRF2P3,0,0.0
ZNRF2P2,0,0.0
ZNRF2P1,3,0.41796613499052265
ZNRF2,33,4.5976274848957495
ZNRF1,11,1.5325424949652497
ZNRD2-DT,1,0.13932204499684087
ZNRD2,8,1.114576359974727
ZNRD1ASP,15,2.089830674952613
ZNNT1,299,41.65729145405542
ZNHIT6,48,6.6874581598483624
ZNHIT3,47,6.548136114851521
ZNHIT2,3,0.41796613499052265
ZNHIT1P1,0,0.0
ZNHIT1,0,0.0
ZNFX1,156,21.734239019507175
ZNF99,189,26.331866504402925
ZNF98,216,30.093561719317627
ZNF971P,0,0.0
ZNF970P,15,2.089830674952613
ZNF969P,3,0.41796613499052265
ZNF968P,0,0.0
ZNF965P,0,0.0
ZNF962P,5,0.6966102249842043
ZNF93,11,1.5325424949652497
ZNF92P2,0,0.0
ZNF92P1Y,0,0.0
ZNF92,37,5.154915664883112
ZNF91,140,19.50508629955772
ZNF90P3,0,0.0
ZNF90P2,0,0.0
ZNF90P1,0,0.0
ZNF90,0,0.0
ZNF891,24,3.3437290799241812
ZNF890P,11,1.5325424949652497
ZNF888,14,1.9505086299557721
ZNF887P,6,0.8359322699810453
ZNF886P,0,0.0
ZNF885P,0,0.0
ZNF884P,0,0.0
ZNF883,46,6.408814069854681
ZNF880,57,7.941356564819929
ZNF879,11,1.5325424949652497
ZNF878,0,0.0
ZNF877P,0,0.0
ZNF876P,68,9.473899059785179
ZNF875,6,0.8359322699810453
ZNF865,44,6.130169979860999
ZNF863P,36,5.015593619886271
ZNF862,0,0.0
ZNF861P,0,0.0
ZNF860,0,0.0
ZNF859P,1,0.13932204499684087
ZNF853,33,4.5976274848957495
ZNF852,0,0.0
ZNF850,104,14.48949267967145
ZNF85,0,0.0
ZNF849P,0,0.0
ZNF848P,0,0.0
ZNF847P,0,0.0
ZNF846,120,16.718645399620904
ZNF845,16,2.229152719949454
ZNF844,5166,719.73768445368
ZNF843,0,0.0
ZNF841,0,0.0
ZNF840P,0,0.0
ZNF84-DT,1,0.13932204499684087
ZNF84,17,2.3684747649462947
ZNF839P1,0,0.0
ZNF839,0,0.0
ZNF837,7,0.9752543149778861
ZNF836,0,0.0
ZNF835,8,1.114576359974727
ZNF833P,77,10.727797464756748
ZNF831,0,0.0
ZNF830,27,3.7616952149147034
ZNF83,0,0.0
ZNF829,22,3.0650849899304995
ZNF827,10,1.3932204499684087
ZNF826P,46,6.408814069854681
ZNF823,0,0.0
ZNF821,0,0.0
ZNF818P,6,0.8359322699810453
ZNF816-ZNF321P,515,71.75085317337305
ZNF816,2,0.27864408999368173
ZNF815P,72,10.031187239772542
ZNF814,5,0.6966102249842043
ZNF813,121,16.857967444617746
ZNF812P,6,0.8359322699810453
ZNF81,115,16.022035174636702
ZNF808,0,0.0
ZNF807P,378,52.66373300880585
ZNF805,34,4.736949529892589
ZNF804B,1601,223.05459403994226
ZNF804A,2704,376.7268096714577
ZNF800,77,10.727797464756748
ZNF80,10,1.3932204499684087
ZNF8-ERVK3-1,0,0.0
ZNF8,0,0.0
ZNF799,0,0.0
ZNF793-AS1,136,18.947798119570358
ZNF793,3,0.41796613499052265
ZNF792,21,2.9257629449336586
ZNF791,177,24.660001964440834
ZNF790-AS1,56,7.8020345198230885
ZNF790,0,0.0
ZNF79,0,0.0
ZNF789,0,0.0
ZNF788P,32,4.458305439898908
ZNF787,6,0.8359322699810453
ZNF786,102,14.210848589677768
ZNF785,2,0.27864408999368173
ZNF784,0,0.0
ZNF783,0,0.0
ZNF782,0,0.0
ZNF781,17,2.3684747649462947
ZNF780B,0,0.0
ZNF780A,0,0.0
ZNF778,33,4.5976274848957495
ZNF777,0,0.0
ZNF776,11,1.5325424949652497
ZNF775,0,0.0
ZNF774,0,0.0
ZNF773,0,0.0
ZNF772,27,3.7616952149147034
ZNF771,0,0.0
ZNF770,144,20.062374479545085
ZNF77,0,0.0
ZNF768,0,0.0
ZNF767P,63,8.777288834800975
ZNF766,77,10.727797464756748
ZNF765-ZNF761,273,38.03491828413756
ZNF765,82,11.424407689740951
ZNF764,7,0.9752543149778861
ZNF763,42,5.851525889867317
ZNF761,7,0.9752543149778861
ZNF76,0,0.0
ZNF75D,0,0.0
ZNF75CP,0,0.0
ZNF75BP,0,0.0
ZNF75A,0,0.0
ZNF750,1,0.13932204499684087
ZNF749,0,0.0
ZNF747,24,3.3437290799241812
ZNF746,58,8.080678609816772
ZNF740,18,2.5077968099431356
ZNF74,3,0.41796613499052265
ZNF73P,0,0.0
ZNF738,0,0.0
ZNF737,64,8.916610879797815
ZNF736P9Y,5,0.6966102249842043
ZNF736P8Y,0,0.0
ZNF736P7Y,0,0.0
ZNF736P6Y,0,0.0
ZNF736P5Y,0,0.0
ZNF736P4Y,0,0.0
ZNF736P3Y,0,0.0
ZNF736P2Y,0,0.0
ZNF736P1Y,0,0.0
ZNF736P12Y,0,0.0
ZNF736P11Y,0,0.0
ZNF736P10Y,81,11.285085644744111
ZNF736,46,6.408814069854681
ZNF735,87,12.121017914725154
ZNF734P,22,3.0650849899304995
ZNF733P,31,4.318983394902068
ZNF732,560,78.02034519823088
ZNF731P,0,0.0
ZNF730,0,0.0
ZNF72P,0,0.0
ZNF729,43,5.990847934864157
ZNF728,3,0.41796613499052265
ZNF727,9,1.2538984049715678
ZNF726P1,0,0.0
ZNF726,84,11.703051779734635
ZNF725P,0,0.0
ZNF724,6,0.8359322699810453
ZNF723,0,0.0
ZNF722,45,6.269492024857839
ZNF721,351,48.90203779389115
ZNF718,0,0.0
ZNF717,0,0.0
ZNF716,17,2.3684747649462947
ZNF714,104,14.48949267967145
ZNF713,95,13.235594274699883
ZNF711,0,0.0
ZNF710-AS1,17,2.3684747649462947
ZNF710,78,10.867119509753588
ZNF71-SMIM17,0,0.0
ZNF71,0,0.0
ZNF70P1,0,0.0
ZNF709,138,19.22644220956404
ZNF708,30,4.179661349905226
ZNF707,17,2.3684747649462947
ZNF706,99,13.792882454687247
ZNF705G,41,5.7122038448704755
ZNF705EP,1,0.13932204499684087
ZNF705D,0,0.0
ZNF705CP,0,0.0
ZNF705B,0,0.0
ZNF705A,10,1.3932204499684087
ZNF704,19,2.6471188549399765
ZNF703,17,2.3684747649462947
ZNF702P,10,1.3932204499684087
ZNF701,0,0.0
ZNF700,18,2.5077968099431356
ZNF70,4,0.5572881799873635
ZNF7,0,0.0
ZNF699,6,0.8359322699810453
ZNF697,0,0.0
ZNF696,6,0.8359322699810453
ZNF695,0,0.0
ZNF692,0,0.0
ZNF691,8,1.114576359974727
ZNF69,0,0.0
ZNF689,7,0.9752543149778861
ZNF688,0,0.0
ZNF687-AS1,35,4.87627157488943
ZNF687,0,0.0
ZNF684,38,5.294237709879953
ZNF683,63,8.777288834800975
ZNF682,0,0.0
ZNF681,215,29.954239674320785
ZNF680P1,0,0.0
ZNF680,19,2.6471188549399765
ZNF679,0,0.0
ZNF678,144,20.062374479545085
ZNF677,1,0.13932204499684087
ZNF676,0,0.0
ZNF675,16,2.229152719949454
ZNF674-AS1,0,0.0
ZNF674,0,0.0
ZNF672,0,0.0
ZNF671,0,0.0
ZNF670-ZNF695,0,0.0
ZNF670,85,11.842373824731474
ZNF669,3,0.41796613499052265
ZNF668,889,123.85729800219153
ZNF667-AS1,137,19.0871201645672
ZNF667,0,0.0
ZNF665,11,1.5325424949652497
ZNF664-RFLNA,0,0.0
ZNF664,0,0.0
ZNF663P,0,0.0
ZNF662,2,0.27864408999368173
ZNF660-ZNF197,1,0.13932204499684087
ZNF660,0,0.0
ZNF66,24,3.3437290799241812
ZNF658B,5,0.6966102249842043
ZNF658,0,0.0
ZNF655,67,9.334577014788339
ZNF654,45,6.269492024857839
ZNF653,18,2.5077968099431356
ZNF652P1,3,0.41796613499052265
ZNF652-AS1,529,73.70136180332882
ZNF652,175,24.381357874447154
ZNF649-AS1,9,1.2538984049715678
ZNF649,34,4.736949529892589
