Gene Name,TPM
A1BG,0.138923
A1BG-AS1,0.0
A1CF,0.0
A2M,0.6705
A2M-AS1,0.0
A2ML1,0.0
A2MP1,1.523476
A3GALT2,0.088776
A4GALT,0.0
A4GNT,0.0
AA06,0.002474
AAAS,0.120555
AACS,0.0
AACSP1,0.087189
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.085982
AADACL3,0.176346
AADACL4,0.0
AADACP1,0.0
AADAT,0.0
AAGAB,1.603298
AAK1,0.117888
AAMDC,0.0
AAMP,0.294443
AANAT,1.431787
AAR2,0.112001
AARD,0.021242
AARS1,0.081725
AARS1P1,0.0
AARS2,0.158504
AARSD1,0.0
AARSD1P1,0.0
AASDH,0.0
AASDHPPT,0.120286
AASS,0.174199
AATBC,0.026398
AATF,1.01076
AATK,0.176495
ABALON,3.504806
ABAT,0.317754
ABCA1,0.247058
ABCA10,0.089711
ABCA11P,0.0
ABCA12,0.899722
ABCA13,0.022307
ABCA17P,0.055562
ABCA2,0.0
ABCA3,0.668401
ABCA3P1,0.0
ABCA4,0.0
ABCA5,0.099233
ABCA6,0.010162
ABCA7,0.0
ABCA8,0.0
ABCA9,0.0
ABCA9-AS1,0.0
ABCB1,0.221109
ABCB10,1.022747
ABCB10P1,0.0
ABCB10P3,0.0
ABCB10P4,0.0
ABCB11,0.0
ABCB4,0.0
ABCB5,0.090015
ABCB6,0.249143
ABCB7,0.010113
ABCB8,0.011551
ABCB9,0.0
ABCC1,0.0
ABCC10,0.047596
ABCC11,0.0
ABCC12,0.046212
ABCC13,0.547287
ABCC2,0.0
ABCC3,0.711191
ABCC4,1.682079
ABCC5,0.062729
ABCC5-AS1,0.024596
ABCC6,0.0
ABCC6P1,0.143758
ABCC6P2,0.0
ABCC8,0.042782
ABCC9,0.0
ABCD1,0.0
ABCD1P1,0.0
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.0
ABCD2,0.018756
ABCD3,0.0
ABCD4,0.0
ABCE1,0.895413
ABCF1,0.45764099999999996
ABCF2,0.063693
ABCF2-H2BK1,0.044627
ABCF2P1,0.0
ABCF2P2,0.0
ABCF3,0.0
ABCG1,0.308445
ABCG2,0.368339
ABCG4,0.0
ABCG5,0.0
ABCG8,0.027758
ABHD1,0.0
ABHD10,0.118872
ABHD11,0.491752
ABHD11-AS1,0.028632
ABHD12,0.0
ABHD12B,0.0
ABHD13,0.026434
ABHD14A,0.0
ABHD14A-ACY1,0.0
ABHD14B,0.479313
ABHD15,0.37702
ABHD16A,0.156011
ABHD16B,0.039562
ABHD17A,0.814408
ABHD17AP1,0.0
ABHD17AP3,0.149177
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.0
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.418425
ABHD17C,0.139462
ABHD18,0.258337
ABHD2,0.564868
ABHD3,0.483144
ABHD4,0.10473
ABHD5,0.395645
ABHD6,0.0
ABHD8,0.15294
ABI1,2.828738
ABI1P1,0.007382
ABI2,0.488836
ABI3,3.122269
ABI3BP,0.0
ABITRAM,0.728447
ABITRAMP1,0.0
ABL1,0.258533
ABL2,0.084839
ABLIM1,0.973526
ABLIM2,0.0
ABLIM3,1.830787
ABO,0.0
ABR,0.282258
ABRA,0.004176
ABRACL,5.207381
ABRAXAS1,0.033379
ABRAXAS2,1.139943
ABT1,0.0
ABT1P1,0.0
ABTB1,3.609045
ABTB2,0.281624
ACAA1,0.0
ACAA2,0.166291
ACAA2P1,0.0
ACACA,0.035942
ACACB,0.138525
ACAD10,0.094371
ACAD11,0.0
ACAD8,0.0
ACAD9,0.0
ACADL,0.0
ACADM,0.026578
ACADS,0.28266
ACADSB,0.083594
ACADVL,0.0
ACAN,0.0
ACAP1,0.0
ACAP2,3.562282
ACAP3,0.005184
ACAT1,0.235513
ACAT2,1.283328
ACBD3,0.167328
ACBD3-AS1,0.0
ACBD4,0.0
ACBD5,0.544805
ACBD6,0.432303
ACBD7,0.059461
ACBD7-DCLRE1CP1,0.0
ACCS,0.0
ACCSL,0.0
ACD,0.0
ACE,0.0
ACE2,0.099115
ACE3P,0.086556
ACER1,0.0
ACER2,0.156246
ACER2P1,0.0
ACER3,0.517275
ACHE,1.035024
ACIN1,0.557737
ACKR1,0.519539
ACKR2,0.105305
ACKR3,0.0
ACKR4,0.002365
ACKR4P1,0.063528
ACLY,3.447932
ACMSD,0.0
ACNATP,0.0
ACO1,0.014356
ACO2,0.157318
ACOD1,0.0
ACOT1,0.0
ACOT11,0.137457
ACOT12,0.0
ACOT13,0.046753
ACOT2,2.398636
ACOT4,0.024886
ACOT6,0.60345
ACOT7,0.835976
ACOT8,0.0
ACOT9,0.11219
ACOX1,0.344059
ACOX2,0.0
ACOX3,0.0
ACOXL,0.132598
ACOXL-AS1,0.035705
ACP1,5.464822
ACP2,0.397571
ACP3,0.0
ACP4,0.092655
ACP5,0.547611
ACP6,0.0
