Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
other	CABIN1	SGI75460075	42064	CABIN1	13	2.1944354181876498	CABIN1	18	3.1526259798098826
other	CAPN15	SGI75460075	41917	CAPN15	12	2.025632693711677	CAPN15	15	2.6271883165082355
other	FAM131B	SGI75460075	37155	FAM131B	0	0.0	FAM131B	0	0.0
other	GABBR1	SGI75460075	36012	GABBR1	0	0.0	GABBR1	0	0.0
other	HMBS	SGI75460075	34231	HMBS	90	15.192245202837574	HMBS	56	9.80816971496408
other	IGH	SGI75460075	33303	IGH	246	41.52547022108936	IGH	16	2.802334204275452
other	IGHV4-30-2	SGI75460075	33166	IGHV4-30-2	0	0.0	IGHV4-30-2	0	0.0
other	IGK	SGI75460075	33106	IGK	75	12.660204335697978	IGK	727	127.3310604067658
other	IGKDEL	SGI75460075	33104	IGKDEL	0	0.0	IGKDEL	0	0.0
other	IGL	SGI75460075	33004	IGL	499	84.23255951351055	IGL	615	107.71472097683764
other	LOC124900482	SGI75460075	26695	LOC124900482	0	0.0	LOC124900482	0	0.0
other	LOC124900483	SGI75460075	26694	LOC124900483	0	0.0	LOC124900483	0	0.0
other	LOC124900484	SGI75460075	26693	LOC124900484	0	0.0	LOC124900484	0	0.0
other	OR2G6	SGI75460075	19035	OR2G6	0	0.0	OR2G6	2	0.3502917755344314
other	OR51L1	SGI75460075	18801	OR51L1	1	0.168802724475973	OR51L1	0	0.0
other	PCDHA@	SGI75460075	17936	PCDHA@	7	1.181619071331811	PCDHA@	0	0.0
other	PCDHACT	SGI75460075	17933	PCDHACT	1	0.168802724475973	PCDHACT	0	0.0
other	PCDHB@	SGI75460075	17912	PCDHB@	19	3.207251765043488	PCDHB@	0	0.0
other	PCDHG@	SGI75460075	17911	PCDHG@	2	0.3376054489519461	PCDHG@	4	0.7005835510688628
other	PTPMT1	SGI75460075	15805	PTPMT1	11	1.8568299692357035	PTPMT1	17	2.9774800920426667
other	RMRP	SGI75460075	14783	RMRP	6541	1104.1386207973396	RMRP	6688	1171.3756973871386
other	RNY5	SGI75460075	11167	RNY5	7210	1217.0676434717657	RNY5	1011	177.07249253265508
other	RPPH1	SGI75460075	9752	RPPH1	9673	1632.8287538560871	RPPH1	0	0.0
other	RUVBL1	SGI75460075	8866	RUVBL1	8	1.3504217958077844	RUVBL1	8	1.4011671021377257
other	SEPTIN9	SGI75460075	8288	SEPTIN9	133	22.450762355304413	SEPTIN9	135	23.64469484857412
other	SNORD115@	SGI75460075	6780	SNORD115@	3	0.5064081734279192	SNORD115@	7	1.2260212143705098
other	SNORD116@	SGI75460075	6749	SNORD116@	1	0.168802724475973	SNORD116@	7	1.2260212143705098
other	TRA	SGI75460075	3859	TRA	145	24.47639504901609	TRA	1616	283.03575463182057
other	TRAJ15	SGI75460075	3796	TRAJ15	0	0.0	TRAJ15	0	0.0
other	TRB	SGI75460075	3649	TRB	264	44.56391926165688	TRB	1020	178.64880552256
other	TRBD2	SGI75460075	3645	TRBD2	0	0.0	TRBD2	0	0.0
other	TRBV6-3	SGI75460075	3580	TRBV6-3	0	0.0	TRBV6-3	0	0.0
other	TRD	SGI75460075	3529	TRD	2	0.3376054489519461	TRD	3	0.5254376633016471
other	TRG	SGI75460075	3438	TRG	94	15.867456100741467	TRG	685	119.97493312054276
other	TRGC1	SGI75460075	3403	TRGC1	12	2.025632693711677	TRGC1	12	2.1017506532065884
other	UGT1A	SGI75460075	2135	UGT1A	0	0.0	UGT1A	133	23.29440307303969
