Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
snRNA	LOC124900488	SGI75460075	26691	LOC124900488	0	0.0	LOC124900488	0	0.0
snRNA	LOC124900516	SGI75460075	26670	LOC124900516	0	0.0	LOC124900516	0	0.0
snRNA	LOC124900632	SGI75460075	26629	LOC124900632	0	0.0	LOC124900632	0	0.0
snRNA	LOC124900883	SGI75460075	26628	LOC124900883	0	0.0	LOC124900883	0	0.0
snRNA	LOC124900884	SGI75460075	26627	LOC124900884	0	0.0	LOC124900884	0	0.0
snRNA	LOC124900885	SGI75460075	26626	LOC124900885	0	0.0	LOC124900885	0	0.0
snRNA	LOC124900887	SGI75460075	26624	LOC124900887	0	0.0	LOC124900887	0	0.0
snRNA	LOC124900889	SGI75460075	26622	LOC124900889	0	0.0	LOC124900889	0	0.0
snRNA	LOC124900915	SGI75460075	26596	LOC124900915	0	0.0	LOC124900915	2	0.3502917755344314
snRNA	LOC124901190	SGI75460075	26581	LOC124901190	0	0.0	LOC124901190	0	0.0
snRNA	LOC124901191	SGI75460075	26580	LOC124901191	0	0.0	LOC124901191	0	0.0
snRNA	LOC124901192	SGI75460075	26579	LOC124901192	0	0.0	LOC124901192	0	0.0
snRNA	LOC124901219	SGI75460075	26552	LOC124901219	0	0.0	LOC124901219	0	0.0
snRNA	LOC124901224	SGI75460075	26547	LOC124901224	0	0.0	LOC124901224	0	0.0
snRNA	LOC124901516	SGI75460075	26532	LOC124901516	0	0.0	LOC124901516	0	0.0
snRNA	LOC124901518	SGI75460075	26530	LOC124901518	0	0.0	LOC124901518	0	0.0
snRNA	LOC124901522	SGI75460075	26526	LOC124901522	0	0.0	LOC124901522	0	0.0
snRNA	LOC124901523	SGI75460075	26525	LOC124901523	0	0.0	LOC124901523	0	0.0
snRNA	LOC124901863	SGI75460075	26446	LOC124901863	0	0.0	LOC124901863	0	0.0
snRNA	LOC124902076	SGI75460075	26445	LOC124902076	0	0.0	LOC124902076	0	0.0
snRNA	LOC124902077	SGI75460075	26444	LOC124902077	0	0.0	LOC124902077	0	0.0
snRNA	LOC124902331	SGI75460075	26415	LOC124902331	0	0.0	LOC124902331	0	0.0
snRNA	LOC124902333	SGI75460075	26413	LOC124902333	0	0.0	LOC124902333	0	0.0
snRNA	LOC124902335	SGI75460075	26411	LOC124902335	0	0.0	LOC124902335	0	0.0
snRNA	LOC124902818	SGI75460075	26349	LOC124902818	0	0.0	LOC124902818	0	0.0
snRNA	LOC124902821	SGI75460075	26346	LOC124902821	0	0.0	LOC124902821	0	0.0
snRNA	LOC124903091	SGI75460075	26315	LOC124903091	0	0.0	LOC124903091	0	0.0
snRNA	LOC124903094	SGI75460075	26312	LOC124903094	0	0.0	LOC124903094	0	0.0
snRNA	LOC124903096	SGI75460075	26310	LOC124903096	0	0.0	LOC124903096	0	0.0
snRNA	LOC124903097	SGI75460075	26309	LOC124903097	0	0.0	LOC124903097	0	0.0
snRNA	LOC124903120	SGI75460075	26286	LOC124903120	0	0.0	LOC124903120	0	0.0
snRNA	LOC124903275	SGI75460075	26257	LOC124903275	0	0.0	LOC124903275	0	0.0
snRNA	LOC124903414	SGI75460075	26255	LOC124903414	0	0.0	LOC124903414	0	0.0
snRNA	LOC124903782	SGI75460075	26196	LOC124903782	0	0.0	LOC124903782	0	0.0
snRNA	LOC124904107	SGI75460075	26165	LOC124904107	0	0.0	LOC124904107	1	0.1751458877672157
snRNA	LOC124904108	SGI75460075	26164	LOC124904108	0	0.0	LOC124904108	0	0.0
snRNA	LOC124904109	SGI75460075	26163	LOC124904109	0	0.0	LOC124904109	0	0.0
snRNA	LOC124904111	SGI75460075	26161	LOC124904111	0	0.0	LOC124904111	0	0.0
snRNA	LOC124904112	SGI75460075	26160	LOC124904112	0	0.0	LOC124904112	0	0.0
snRNA	LOC124904122	SGI75460075	26150	LOC124904122	0	0.0	LOC124904122	3	0.5254376633016471
snRNA	LOC124904135	SGI75460075	26137	LOC124904135	6822	1151.5721863750882	LOC124904135	0	0.0
snRNA	LOC124904136	SGI75460075	26136	LOC124904136	6883	1161.8691525681224	LOC124904136	0	0.0
snRNA	LOC124904137	SGI75460075	26135	LOC124904137	7068	1193.0976565961776	LOC124904137	0	0.0
snRNA	LOC124904138	SGI75460075	26134	LOC124904138	7196	1214.704405329102	LOC124904138	0	0.0
snRNA	LOC124904139	SGI75460075	26133	LOC124904139	6221	1050.1217489650282	LOC124904139	0	0.0
snRNA	LOC124904140	SGI75460075	26132	LOC124904140	6275	1059.2370960867308	LOC124904140	0	0.0
snRNA	LOC124904141	SGI75460075	26131	LOC124904141	6607	1115.2796006127537	LOC124904141	0	0.0
snRNA	LOC124904142	SGI75460075	26130	LOC124904142	3276	552.9977253832877	LOC124904142	0	0.0
snRNA	LOC124904143	SGI75460075	26129	LOC124904143	3148	531.3909766503631	LOC124904143	0	0.0
snRNA	LOC124904144	SGI75460075	26128	LOC124904144	3191	538.64949380283	LOC124904144	0	0.0
snRNA	LOC124904145	SGI75460075	26127	LOC124904145	6270	1058.393082464351	LOC124904145	1229	215.2542960659081
snRNA	LOC124904146	SGI75460075	26126	LOC124904146	3237	546.4144191287247	LOC124904146	15	2.6271883165082355
snRNA	LOC124904147	SGI75460075	26125	LOC124904147	0	0.0	LOC124904147	0	0.0
snRNA	LOC124904364	SGI75460075	26113	LOC124904364	0	0.0	LOC124904364	0	0.0
snRNA	LOC124904613	SGI75460075	26094	LOC124904613	320	54.016871832311374	LOC124904613	38	6.655543735154197
snRNA	LOC124904616	SGI75460075	26093	LOC124904616	899	151.75364930389975	LOC124904616	7	1.2260212143705098
snRNA	LOC124904619	SGI75460075	26092	LOC124904619	1139	192.2663031781333	LOC124904619	504	88.27352743467672
snRNA	LOC124904621	SGI75460075	26091	LOC124904621	83	14.01062613150576	LOC124904621	87	15.237692235747769
snRNA	LOC124904624	SGI75460075	26090	LOC124904624	4	0.6752108979038922	LOC124904624	0	0.0
snRNA	LOC124904627	SGI75460075	26089	LOC124904627	0	0.0	LOC124904627	0	0.0
snRNA	LOC124904631	SGI75460075	26088	LOC124904631	0	0.0	LOC124904631	0	0.0
snRNA	LOC124904634	SGI75460075	26087	LOC124904634	0	0.0	LOC124904634	0	0.0
snRNA	LOC124904651	SGI75460075	26083	LOC124904651	0	0.0	LOC124904651	0	0.0
snRNA	LOC124904694	SGI75460075	26068	LOC124904694	0	0.0	LOC124904694	0	0.0
snRNA	LOC124904697	SGI75460075	26067	LOC124904697	0	0.0	LOC124904697	0	0.0
snRNA	LOC124904706	SGI75460075	26065	LOC124904706	0	0.0	LOC124904706	0	0.0
snRNA	LOC124904727	SGI75460075	26059	LOC124904727	0	0.0	LOC124904727	0	0.0
snRNA	LOC124904732	SGI75460075	26058	LOC124904732	0	0.0	LOC124904732	0	0.0
snRNA	LOC124904741	SGI75460075	26056	LOC124904741	0	0.0	LOC124904741	0	0.0
snRNA	LOC124904748	SGI75460075	26055	LOC124904748	0	0.0	LOC124904748	0	0.0
snRNA	LOC124904756	SGI75460075	26053	LOC124904756	0	0.0	LOC124904756	0	0.0
snRNA	LOC124904769	SGI75460075	26050	LOC124904769	0	0.0	LOC124904769	0	0.0
snRNA	LOC124904986	SGI75460075	25975	LOC124904986	0	0.0	LOC124904986	0	0.0
snRNA	LOC124905062	SGI75460075	25971	LOC124905062	0	0.0	LOC124905062	0	0.0
snRNA	LOC124905168	SGI75460075	25947	LOC124905168	0	0.0	LOC124905168	0	0.0
snRNA	LOC124905169	SGI75460075	25946	LOC124905169	0	0.0	LOC124905169	0	0.0
snRNA	LOC124905170	SGI75460075	25945	LOC124905170	0	0.0	LOC124905170	0	0.0
snRNA	LOC124905264	SGI75460075	25940	LOC124905264	0	0.0	LOC124905264	0	0.0
snRNA	LOC124905265	SGI75460075	25939	LOC124905265	0	0.0	LOC124905265	0	0.0
snRNA	LOC124905307	SGI75460075	25904	LOC124905307	0	0.0	LOC124905307	0	0.0
snRNA	LOC124906135	SGI75460075	25894	LOC124906135	0	0.0	LOC124906135	0	0.0
snRNA	LOC124906137	SGI75460075	25892	LOC124906137	0	0.0	LOC124906137	0	0.0
snRNA	LOC124906338	SGI75460075	25829	LOC124906338	0	0.0	LOC124906338	0	0.0
snRNA	LOC124906342	SGI75460075	25825	LOC124906342	0	0.0	LOC124906342	0	0.0
snRNA	LOC124906343	SGI75460075	25824	LOC124906343	0	0.0	LOC124906343	0	0.0
snRNA	RN7SK	SGI75460075	14780	RN7SK	5424	915.5859775576778	RN7SK	5197	910.23317872622
snRNA	RNU1-1	SGI75460075	13087	RNU1-1	46442	7839.53613011314	RNU1-1	0	0.0
snRNA	RNU1-2	SGI75460075	13040	RNU1-2	19991	3374.5352649991773	RNU1-2	0	0.0
snRNA	RNU1-3	SGI75460075	13031	RNU1-3	54350	9174.428075269136	RNU1-3	0	0.0
snRNA	RNU1-4	SGI75460075	13021	RNU1-4	590	99.5936074408241	RNU1-4	0	0.0
snRNA	RNU11	SGI75460075	12969	RNU11	3040	513.1602824069581	RNU11	3146	551.0089629156606
snRNA	RNU12	SGI75460075	12963	RNU12	3265	551.140895414052	RNU12	3406	596.5468937351367
snRNA	RNU2-1	SGI75460075	12961	RNU2-1	6693	1129.7966349176877	RNU2-1	0	0.0
snRNA	RNU4-1	SGI75460075	12890	RNU4-1	1800	303.8449040567515	RNU4-1	1656	290.0415901425092
snRNA	RNU4-2	SGI75460075	12880	RNU4-2	5874	991.5472035718656	RNU4-2	6305	1104.2948223722951
snRNA	RNU4ATAC	SGI75460075	12799	RNU4ATAC	450	75.96122601418787	RNU4ATAC	471	82.4937131383586
snRNA	RNU5A-1	SGI75460075	12781	RNU5A-1	11189	1888.7336841616625	RNU5A-1	118	20.66721475653145
snRNA	RNU5B-1	SGI75460075	12773	RNU5B-1	15315	2585.213725349527	RNU5B-1	180	31.526259798098828
snRNA	RNU5D-1	SGI75460075	12767	RNU5D-1	197	33.25413672176669	RNU5D-1	2	0.3502917755344314
snRNA	RNU5E-1	SGI75460075	12765	RNU5E-1	1236	208.64016745230268	RNU5E-1	27	4.728938969714823
snRNA	RNU5F-1	SGI75460075	12755	RNU5F-1	104	17.555483345501198	RNU5F-1	85	14.887400460213335
snRNA	RNU6-1	SGI75460075	12747	RNU6-1	47	7.933728050370734	RNU6-1	6	1.0508753266032942
snRNA	RNU6-2	SGI75460075	12316	RNU6-2	83	14.01062613150576	RNU6-2	0	0.0
snRNA	RNU6-7	SGI75460075	11783	RNU6-7	1537	259.4497875195706	RNU6-7	0	0.0
snRNA	RNU6-8	SGI75460075	11676	RNU6-8	1849	312.11623755607417	RNU6-8	0	0.0
snRNA	RNU6-9	SGI75460075	11573	RNU6-9	3419	577.1365149833518	RNU6-9	2	0.3502917755344314
snRNA	RNU6ATAC	SGI75460075	11467	RNU6ATAC	79	13.33541523360187	RNU6ATAC	63	11.03419092933459
snRNA	RNU7-1	SGI75460075	11424	RNU7-1	66	11.14097981541422	RNU7-1	97	16.989151113419922
snRNA	RNVU1-1	SGI75460075	11255	RNVU1-1	1163	196.31756856555663	RNVU1-1	7	1.2260212143705098
snRNA	RNVU1-14	SGI75460075	11254	RNVU1-14	14	2.363238142663622	RNVU1-14	12	2.1017506532065884
snRNA	RNVU1-15	SGI75460075	11253	RNVU1-15	14	2.363238142663622	RNVU1-15	14	2.45204242874102
snRNA	RNVU1-17	SGI75460075	11252	RNVU1-17	1	0.168802724475973	RNVU1-17	0	0.0
snRNA	RNVU1-18	SGI75460075	11251	RNVU1-18	19162	3234.597806408596	RNVU1-18	31	5.429522520783687
snRNA	RNVU1-19	SGI75460075	11250	RNVU1-19	9	1.519224520283757	RNVU1-19	0	0.0
snRNA	RNVU1-2A	SGI75460075	11244	RNVU1-2A	57	9.621755295130464	RNVU1-2A	0	0.0
snRNA	RNVU1-3	SGI75460075	11243	RNVU1-3	1	0.168802724475973	RNVU1-3	0	0.0
snRNA	RNVU1-4	SGI75460075	11239	RNVU1-4	0	0.0	RNVU1-4	0	0.0
snRNA	RNVU1-6	SGI75460075	11238	RNVU1-6	1	0.168802724475973	RNVU1-6	0	0.0
snRNA	RNVU1-7	SGI75460075	11237	RNVU1-7	15007	2533.2224862109274	RNVU1-7	4813	842.9771578236092
snRNA	RNVU1-8	SGI75460075	11236	RNVU1-8	9	1.519224520283757	RNVU1-8	8	1.4011671021377257
snRNA	SNAR-A1	SGI75460075	7138	SNAR-A1	2	0.3376054489519461	SNAR-A1	0	0.0
snRNA	SNAR-A10	SGI75460075	7137	SNAR-A10	5	0.8440136223798652	SNAR-A10	0	0.0
snRNA	SNAR-A11	SGI75460075	7136	SNAR-A11	4	0.6752108979038922	SNAR-A11	0	0.0
snRNA	SNAR-A12	SGI75460075	7135	SNAR-A12	0	0.0	SNAR-A12	0	0.0
snRNA	SNAR-A13	SGI75460075	7134	SNAR-A13	0	0.0	SNAR-A13	0	0.0
snRNA	SNAR-A14	SGI75460075	7133	SNAR-A14	4	0.6752108979038922	SNAR-A14	0	0.0
snRNA	SNAR-A2	SGI75460075	7132	SNAR-A2	3	0.5064081734279192	SNAR-A2	0	0.0
snRNA	SNAR-A3	SGI75460075	7131	SNAR-A3	4	0.6752108979038922	SNAR-A3	0	0.0
snRNA	SNAR-A4	SGI75460075	7130	SNAR-A4	5	0.8440136223798652	SNAR-A4	0	0.0
snRNA	SNAR-A5	SGI75460075	7129	SNAR-A5	5	0.8440136223798652	SNAR-A5	0	0.0
snRNA	SNAR-A6	SGI75460075	7128	SNAR-A6	5	0.8440136223798652	SNAR-A6	0	0.0
