Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
lncRNA	A1BG-AS1	SGI75460076	45087	A1BG-AS1	0	0.0	A1BG-AS1	0	0.0
lncRNA	A2M-AS1	SGI75460076	45084	A2M-AS1	0	0.0	A2M-AS1	5	1.021411648096722
lncRNA	AADACL2-AS1	SGI75460076	45072	AADACL2-AS1	3	0.5372315811943159	AADACL2-AS1	187	38.20079563881741
lncRNA	AATBC	SGI75460076	45052	AATBC	0	0.0	AATBC	0	0.0
lncRNA	ABALON	SGI75460076	45049	ABALON	3	0.5372315811943159	ABALON	285	58.22046394151315
lncRNA	ABCA9-AS1	SGI75460076	45032	ABCA9-AS1	8	1.4326175498515092	ABCA9-AS1	8	1.6342586369547552
lncRNA	ABCC5-AS1	SGI75460076	45010	ABCC5-AS1	0	0.0	ABCC5-AS1	0	0.0
lncRNA	ABHD11-AS1	SGI75460076	44980	ABHD11-AS1	0	0.0	ABHD11-AS1	1	0.2042823296193444
lncRNA	ACBD3-AS1	SGI75460076	44909	ACBD3-AS1	0	0.0	ACBD3-AS1	0	0.0
lncRNA	ACBD7-DCLRE1CP1	SGI75460076	44904	ACBD7-DCLRE1CP1	0	0.0	ACBD7-DCLRE1CP1	0	0.0
lncRNA	ACOXL-AS1	SGI75460076	44866	ACOXL-AS1	0	0.0	ACOXL-AS1	8	1.6342586369547552
lncRNA	ACTA2-AS1	SGI75460076	44832	ACTA2-AS1	0	0.0	ACTA2-AS1	0	0.0
lncRNA	ACTE1P	SGI75460076	44815	ACTE1P	0	0.0	ACTE1P	1	0.2042823296193444
lncRNA	ACTN1-DT	SGI75460076	44782	ACTN1-DT	1	0.1790771937314386	ACTN1-DT	0	0.0
lncRNA	ACTR3-AS1	SGI75460076	44770	ACTR3-AS1	30	5.372315811943159	ACTR3-AS1	432	88.24996639555677
lncRNA	ACVR2B-AS1	SGI75460076	44744	ACVR2B-AS1	0	0.0	ACVR2B-AS1	0	0.0
lncRNA	ADAM7-AS1	SGI75460076	44702	ADAM7-AS1	3	0.5372315811943159	ADAM7-AS1	322	65.7789101374289
lncRNA	ADAM7-AS2	SGI75460076	44701	ADAM7-AS2	1	0.1790771937314386	ADAM7-AS2	2	0.4085646592386888
lncRNA	ADAMTS16-DT	SGI75460076	44690	ADAMTS16-DT	0	0.0	ADAMTS16-DT	0	0.0
lncRNA	ADAMTS19-AS1	SGI75460076	44686	ADAMTS19-AS1	1	0.1790771937314386	ADAMTS19-AS1	0	0.0
lncRNA	ADAMTS9-AS1	SGI75460076	44673	ADAMTS9-AS1	1	0.1790771937314386	ADAMTS9-AS1	12	2.451387955432133
lncRNA	ADAMTS9-AS2	SGI75460076	44672	ADAMTS9-AS2	205	36.71082471494492	ADAMTS9-AS2	837	170.98430989139126
lncRNA	ADAMTSL4-AS1	SGI75460076	44667	ADAMTSL4-AS1	3	0.5372315811943159	ADAMTSL4-AS1	12	2.451387955432133
lncRNA	ADARB2-AS1	SGI75460076	44660	ADARB2-AS1	1	0.1790771937314386	ADARB2-AS1	0	0.0
lncRNA	ADCY6-DT	SGI75460076	44645	ADCY6-DT	0	0.0	ADCY6-DT	0	0.0
lncRNA	ADD3-AS1	SGI75460076	44636	ADD3-AS1	2	0.3581543874628773	ADD3-AS1	395	80.69152019964103
lncRNA	ADGB-DT	SGI75460076	44634	ADGB-DT	0	0.0	ADGB-DT	0	0.0
lncRNA	ADGRA1-AS1	SGI75460076	44632	ADGRA1-AS1	0	0.0	ADGRA1-AS1	0	0.0
lncRNA	ADGRB3-DT	SGI75460076	44625	ADGRB3-DT	0	0.0	ADGRB3-DT	0	0.0
lncRNA	ADGRD1-AS1	SGI75460076	44623	ADGRD1-AS1	0	0.0	ADGRD1-AS1	0	0.0
