Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
protein_coding	A1BG	SGI75460076	45088	A1BG	11	1.969849131045825	A1BG	16	3.2685172739095103
protein_coding	A1CF	SGI75460076	45086	A1CF	0	0.0	A1CF	0	0.0
protein_coding	A2M	SGI75460076	45085	A2M	69	12.356326367469268	A2M	49	10.009834151347876
protein_coding	A2ML1	SGI75460076	45083	A2ML1	0	0.0	A2ML1	0	0.0
protein_coding	A3GALT2	SGI75460076	45081	A3GALT2	0	0.0	A3GALT2	5	1.021411648096722
protein_coding	A4GALT	SGI75460076	45080	A4GALT	19	3.4024666808973345	A4GALT	0	0.0
protein_coding	A4GNT	SGI75460076	45079	A4GNT	0	0.0	A4GNT	0	0.0
protein_coding	AAAS	SGI75460076	45077	AAAS	7	1.2535403561200704	AAAS	3	0.6128469888580332
protein_coding	AACS	SGI75460076	45076	AACS	0	0.0	AACS	0	0.0
protein_coding	AADAC	SGI75460076	45074	AADAC	0	0.0	AADAC	0	0.0
protein_coding	AADACL2	SGI75460076	45073	AADACL2	0	0.0	AADACL2	0	0.0
protein_coding	AADACL3	SGI75460076	45071	AADACL3	1	0.1790771937314386	AADACL3	15	3.064234944290166
protein_coding	AADACL4	SGI75460076	45070	AADACL4	3	0.5372315811943159	AADACL4	0	0.0
protein_coding	AADAT	SGI75460076	45068	AADAT	0	0.0	AADAT	0	0.0
protein_coding	AAGAB	SGI75460076	45067	AAGAB	24	4.297852649554527	AAGAB	48	9.805551821728532
protein_coding	AAK1	SGI75460076	45066	AAK1	85	15.221561467172286	AAK1	299	61.08041655618398
protein_coding	AAMDC	SGI75460076	45065	AAMDC	18	3.223389487165896	AAMDC	0	0.0
protein_coding	AAMP	SGI75460076	45064	AAMP	39	6.984010555526107	AAMP	42	8.579857844012464
protein_coding	AANAT	SGI75460076	45063	AANAT	3	0.5372315811943159	AANAT	95	19.40682131383772
protein_coding	AAR2	SGI75460076	45062	AAR2	21	3.760621068360212	AAR2	22	4.494211251625576
protein_coding	AARD	SGI75460076	45061	AARD	0	0.0	AARD	1	0.2042823296193444
protein_coding	AARS1	SGI75460076	45060	AARS1	3	0.5372315811943159	AARS1	0	0.0
protein_coding	AARS2	SGI75460076	45058	AARS2	0	0.0	AARS2	2	0.4085646592386888
protein_coding	AARSD1	SGI75460076	45057	AARSD1	0	0.0	AARSD1	0	0.0
protein_coding	AASDH	SGI75460076	45055	AASDH	12	2.148926324777264	AASDH	0	0.0
protein_coding	AASDHPPT	SGI75460076	45054	AASDHPPT	86	15.400638660903724	AASDHPPT	94	19.20253898421837
