Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
rRNA	RNA18SN1	SGI75460103	13799	RNA18SN1	94377	6792.480043666715	RNA18SN1	0	0.0
rRNA	RNA18SN2	SGI75460103	13798	RNA18SN2	56040	4033.298172723044	RNA18SN2	0	0.0
rRNA	RNA18SN3	SGI75460103	13797	RNA18SN3	79817	5744.571025200485	RNA18SN3	0	0.0
rRNA	RNA28SN1	SGI75460103	13793	RNA28SN1	175354	12620.538325832917	RNA28SN1	0	0.0
rRNA	RNA28SN2	SGI75460103	13792	RNA28SN2	154934	11150.874716143328	RNA28SN2	6	0.4432112992879589
rRNA	RNA28SN3	SGI75460103	13791	RNA28SN3	175906	12660.266744664876	RNA28SN3	0	0.0
rRNA	RNA45SN1	SGI75460103	13789	RNA45SN1	79	5.685770086458252	RNA45SN1	0	0.0
rRNA	RNA45SN2	SGI75460103	13788	RNA45SN2	60	4.318306394778419	RNA45SN2	0	0.0
rRNA	RNA45SN3	SGI75460103	13787	RNA45SN3	108	7.772951510601155	RNA45SN3	0	0.0
rRNA	RNA5-8SN1	SGI75460103	13786	RNA5-8SN1	164398	11832.015578146376	RNA5-8SN1	0	0.0
rRNA	RNA5-8SN2	SGI75460103	13785	RNA5-8SN2	101072	7274.331065550739	RNA5-8SN2	0	0.0
rRNA	RNA5-8SN3	SGI75460103	13784	RNA5-8SN3	244370	17587.742228200037	RNA5-8SN3	0	0.0
rRNA	RNA5S1	SGI75460103	13775	RNA5S1	16068	1156.4424525216607	RNA5S1	0	0.0
rRNA	RNA5S10	SGI75460103	13774	RNA5S10	16151	1162.4161097011042	RNA5S10	0	0.0
rRNA	RNA5S11	SGI75460103	13773	RNA5S11	16019	1152.9158356325916	RNA5S11	0	0.0
rRNA	RNA5S12	SGI75460103	13772	RNA5S12	16217	1167.1662467353603	RNA5S12	0	0.0
rRNA	RNA5S13	SGI75460103	13771	RNA5S13	15830	1139.3131704890395	RNA5S13	0	0.0
rRNA	RNA5S14	SGI75460103	13770	RNA5S14	15754	1133.8433157223203	RNA5S14	0	0.0
rRNA	RNA5S15	SGI75460103	13769	RNA5S15	15669	1127.725714996384	RNA5S15	0	0.0
rRNA	RNA5S16	SGI75460103	13768	RNA5S16	15526	1117.4337514221622	RNA5S16	0	0.0
rRNA	RNA5S17	SGI75460103	13767	RNA5S17	270	19.432378776502887	RNA5S17	0	0.0
rRNA	RNA5S2	SGI75460103	13766	RNA5S2	16110	1159.4652669980055	RNA5S2	0	0.0
rRNA	RNA5S3	SGI75460103	13765	RNA5S3	16198	1165.7987830436805	RNA5S3	0	0.0
rRNA	RNA5S4	SGI75460103	13764	RNA5S4	16640	1197.6103068185482	RNA5S4	0	0.0
rRNA	RNA5S5	SGI75460103	13763	RNA5S5	16304	1173.4277910077892	RNA5S5	0	0.0
rRNA	RNA5S6	SGI75460103	13762	RNA5S6	18218	1311.1817650012206	RNA5S6	0	0.0
rRNA	RNA5S7	SGI75460103	13761	RNA5S7	16913	1217.25860091479	RNA5S7	0	0.0
rRNA	RNA5S8	SGI75460103	13760	RNA5S8	16052	1155.2909041497198	RNA5S8	0	0.0
rRNA	RNA5S9	SGI75460103	13759	RNA5S9	859	61.8237532185777	RNA5S9	0	0.0
