Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
miRNA	MIR1-1	SGI75460104	24046	MIR1-1	0	0.0	MIR1-1	0	0.0
miRNA	MIR1-2	SGI75460104	24044	MIR1-2	0	0.0	MIR1-2	0	0.0
miRNA	MIR100	SGI75460104	24043	MIR100	3	0.1315861903802161	MIR100	0	0.0
miRNA	MIR101-1	SGI75460104	24041	MIR101-1	13	0.5702068249809364	MIR101-1	4	0.2253334385640491
miRNA	MIR101-2	SGI75460104	24040	MIR101-2	38	1.6667584114827374	MIR101-2	40	2.253334385640492
miRNA	MIR10226	SGI75460104	24039	MIR10226	0	0.0	MIR10226	0	0.0
miRNA	MIR10392	SGI75460104	24038	MIR10392	3	0.1315861903802161	MIR10392	3	0.1690000789230368
miRNA	MIR10393	SGI75460104	24037	MIR10393	4	0.1754482538402881	MIR10393	4	0.2253334385640491
miRNA	MIR10394	SGI75460104	24036	MIR10394	4	0.1754482538402881	MIR10394	4	0.2253334385640491
miRNA	MIR10396A	SGI75460104	24035	MIR10396A	4	0.1754482538402881	MIR10396A	0	0.0
miRNA	MIR10396B	SGI75460104	24034	MIR10396B	4	0.1754482538402881	MIR10396B	0	0.0
miRNA	MIR10397	SGI75460104	24033	MIR10397	4	0.1754482538402881	MIR10397	4	0.2253334385640491
miRNA	MIR10398	SGI75460104	24032	MIR10398	0	0.0	MIR10398	0	0.0
miRNA	MIR10399	SGI75460104	24031	MIR10399	4	0.1754482538402881	MIR10399	4	0.2253334385640491
miRNA	MIR103A1	SGI75460104	24030	MIR103A1	92	4.035309838326628	MIR103A1	4	0.2253334385640491
miRNA	MIR103A2	SGI75460104	24029	MIR103A2	19	0.8333792057413687	MIR103A2	139	7.830336990100707
miRNA	MIR103B1	SGI75460104	24028	MIR103B1	0	0.0	MIR103B1	0	0.0
miRNA	MIR103B2	SGI75460104	24027	MIR103B2	0	0.0	MIR103B2	0	0.0
miRNA	MIR10400	SGI75460104	24026	MIR10400	0	0.0	MIR10400	3	0.1690000789230368
miRNA	MIR105-1	SGI75460104	24025	MIR105-1	0	0.0	MIR105-1	0	0.0
miRNA	MIR105-2	SGI75460104	24024	MIR105-2	0	0.0	MIR105-2	0	0.0
miRNA	MIR10522	SGI75460104	24023	MIR10522	0	0.0	MIR10522	0	0.0
miRNA	MIR10523	SGI75460104	24022	MIR10523	3	0.1315861903802161	MIR10523	3	0.1690000789230368
miRNA	MIR10524	SGI75460104	24021	MIR10524	0	0.0	MIR10524	0	0.0
miRNA	MIR10525	SGI75460104	24020	MIR10525	0	0.0	MIR10525	0	0.0
miRNA	MIR10526	SGI75460104	24019	MIR10526	0	0.0	MIR10526	0	0.0
miRNA	MIR10527	SGI75460104	24018	MIR10527	0	0.0	MIR10527	0	0.0
