Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
pseudo	A2MP1	SGI75460104	45082	A2MP1	1	0.043862063460072	A2MP1	6	0.3380001578460737
pseudo	AA06	SGI75460104	45078	AA06	0	0.0	AA06	0	0.0
pseudo	AACSP1	SGI75460104	45075	AACSP1	1	0.043862063460072	AACSP1	3	0.1690000789230368
pseudo	AADACP1	SGI75460104	45069	AADACP1	5	0.2193103173003601	AADACP1	1	0.0563333596410122
pseudo	AARS1P1	SGI75460104	45059	AARS1P1	0	0.0	AARS1P1	0	0.0
pseudo	AARSD1P1	SGI75460104	45056	AARSD1P1	0	0.0	AARSD1P1	0	0.0
pseudo	ABCA11P	SGI75460104	45045	ABCA11P	16	0.7017930153611526	ABCA11P	10	0.5633335964101228
pseudo	ABCA17P	SGI75460104	45042	ABCA17P	11	0.4824826980607923	ABCA17P	25	1.4083339910253072
pseudo	ABCA3P1	SGI75460104	45039	ABCA3P1	1	0.043862063460072	ABCA3P1	0	0.0
pseudo	ABCB10P1	SGI75460104	45029	ABCB10P1	2	0.087724126920144	ABCB10P1	0	0.0
pseudo	ABCB10P3	SGI75460104	45028	ABCB10P3	2	0.087724126920144	ABCB10P3	0	0.0
pseudo	ABCB10P4	SGI75460104	45027	ABCB10P4	4	0.1754482538402881	ABCB10P4	0	0.0
pseudo	ABCC13	SGI75460104	45015	ABCC13	51	2.236965236463674	ABCC13	58	3.2673348591787126
pseudo	ABCC6P1	SGI75460104	45008	ABCC6P1	1	0.043862063460072	ABCC6P1	5	0.2816667982050614
pseudo	ABCC6P2	SGI75460104	45007	ABCC6P2	0	0.0	ABCC6P2	0	0.0
pseudo	ABCD1P1	SGI75460104	45003	ABCD1P1	0	0.0	ABCD1P1	0	0.0
pseudo	ABCD1P2	SGI75460104	45002	ABCD1P2	0	0.0	ABCD1P2	0	0.0
pseudo	ABCD1P3	SGI75460104	45001	ABCD1P3	0	0.0	ABCD1P3	0	0.0
pseudo	ABCD1P4	SGI75460104	45000	ABCD1P4	0	0.0	ABCD1P4	0	0.0
pseudo	ABCD1P5	SGI75460104	44999	ABCD1P5	0	0.0	ABCD1P5	0	0.0
pseudo	ABCF2P1	SGI75460104	44991	ABCF2P1	0	0.0	ABCF2P1	3	0.1690000789230368
pseudo	ABCF2P2	SGI75460104	44990	ABCF2P2	0	0.0	ABCF2P2	0	0.0
pseudo	ABHD17AP1	SGI75460104	44969	ABHD17AP1	25	1.096551586501801	ABHD17AP1	0	0.0
pseudo	ABHD17AP3	SGI75460104	44968	ABHD17AP3	0	0.0	ABHD17AP3	0	0.0
pseudo	ABHD17AP4	SGI75460104	44967	ABHD17AP4	12	0.5263447615208644	ABHD17AP4	2	0.1126667192820245
pseudo	ABHD17AP5	SGI75460104	44966	ABHD17AP5	1	0.043862063460072	ABHD17AP5	0	0.0
pseudo	ABHD17AP6	SGI75460104	44965	ABHD17AP6	30	1.315861903802161	ABHD17AP6	19	1.0703338331792334
pseudo	ABHD17AP7	SGI75460104	44964	ABHD17AP7	0	0.0	ABHD17AP7	0	0.0
