"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.932990172071894,2.49407253942866e-10
"lncRNA",0.271798603170848,1.09926704790526e-92
"miRNA",0.974697852429166,0
"misc_RNA",0.99818287599898,2.70079955043691e-07
"other",0.483895717310934,0.00278849572973551
"protein_coding",0.532109117228478,0
"pseudo",0.172604207257584,1.5270119545535e-107
"rRNA",0.353905968884387,0.0596347577515443
"scRNA",0.661474428975008,0.338525571024992
"snRNA",0.142645238802071,0.0837203921966762
"snoRNA",0.993372224388462,0
"tRNA",0.991320403747381,0
