		cpm_RFfr:cpm_star_r	cpm_RFfr:cpm_star_p
Mt_rRNA	SGI75460067		
Mt_rRNA	SGI75460068		
Mt_rRNA	SGI75460075		
Mt_rRNA	SGI75460076		
Mt_rRNA	SGI75460103		
Mt_rRNA	SGI75460104		
Mt_rRNA	SGI75460105		
Mt_tRNA	SGI75460067	0.949586993814142	1.55305866037207e-11
Mt_tRNA	SGI75460068	0.939826149364154	8.75150782476786e-11
Mt_tRNA	SGI75460075	0.932990172071894	2.49407253942866e-10
Mt_tRNA	SGI75460076	0.911043943368704	3.8633108948571e-09
Mt_tRNA	SGI75460103	0.897204367860809	1.54641429195997e-08
Mt_tRNA	SGI75460104	0.971679934884837	5.3287035671823e-14
Mt_tRNA	SGI75460105	0.923234819935217	9.31733582409037e-10
lncRNA	SGI75460067	0.175738029124343	5.89046544899415e-39
lncRNA	SGI75460068	0.406778877780556	9.632146238250669e-216
lncRNA	SGI75460075	0.271798603170848	1.0992670479052598e-92
lncRNA	SGI75460076	0.184159885563623	1.1317786375316699e-42
lncRNA	SGI75460103	0.25086561705566	8.58765687330518e-79
lncRNA	SGI75460104	0.961539259672481	0.0
lncRNA	SGI75460105	0.156212627223629	4.85378029429502e-31
miRNA	SGI75460067	0.921179407916967	0.0
miRNA	SGI75460068	0.881234048406688	0.0
miRNA	SGI75460075	0.974697852429166	0.0
miRNA	SGI75460076	0.969534739011624	0.0
miRNA	SGI75460103	0.978319037575641	0.0
miRNA	SGI75460104	0.684791895175296	4.5987987422760397e-265
miRNA	SGI75460105	0.0786195643127328	0.0005760817730692
misc_RNA	SGI75460067	0.952993666948012	0.0008970564285286
misc_RNA	SGI75460068	0.956225770339709	0.0007520364768798
misc_RNA	SGI75460075	0.99818287599898	2.70079955043691e-07
misc_RNA	SGI75460076	0.999022415713611	5.7360362846412e-08
misc_RNA	SGI75460103	0.999794844415927	1.1577491301541301e-09
misc_RNA	SGI75460104	0.999766997035928	1.59148753869989e-09
misc_RNA	SGI75460105	0.999773435438325	1.48381950827682e-09
other	SGI75460067	0.610000709553572	7.82206657288306e-05
other	SGI75460068	0.752010797655676	1.24000193563691e-07
other	SGI75460075	0.483895717310934	0.0027884957297355
other	SGI75460076	0.676096272401916	6.02278659737802e-06
other	SGI75460103	0.657461326927038	1.32150511172739e-05
other	SGI75460104	0.935373778847236	6.490305929404051e-17
other	SGI75460105	0.486440754390243	0.0026280689260135
protein_coding	SGI75460067	0.395638572158308	0.0
protein_coding	SGI75460068	0.360595420480396	0.0
protein_coding	SGI75460075	0.532109117228478	0.0
protein_coding	SGI75460076	0.679118752219848	0.0
protein_coding	SGI75460103	0.880854914123072	0.0
protein_coding	SGI75460104	0.62214036922695	0.0
protein_coding	SGI75460105	0.59539603005498	0.0
pseudo	SGI75460067	0.673756229160863	0.0
pseudo	SGI75460068	0.286785074303425	2.0618372545172503e-301
pseudo	SGI75460075	0.172604207257584	1.5270119545535e-107
pseudo	SGI75460076	0.282604832310379	2.21298103966845e-292
pseudo	SGI75460103	0.38694557531351	0.0
pseudo	SGI75460104	0.843341591518236	0.0
pseudo	SGI75460105	0.274828654617511	5.39589645717008e-276
rRNA	SGI75460067	0.756379302616897	2.06961006304797e-06
rRNA	SGI75460068	0.11270513173982	0.560500666971781
rRNA	SGI75460075	0.353905968884387	0.0596347577515443
rRNA	SGI75460076	-0.121517579213582	0.530042490469581
rRNA	SGI75460103	0.294038560352067	0.121562491027558
rRNA	SGI75460104	-0.120014587756118	0.535180561474091
rRNA	SGI75460105	-0.136123109467402	0.481377593052705
scRNA	SGI75460067	0.682870924156219	0.317129075843781
scRNA	SGI75460068	0.713868030953462	0.286131969046537
scRNA	SGI75460075	0.661474428975008	0.338525571024992
scRNA	SGI75460076	0.589114418269884	0.410885581730116
scRNA	SGI75460103	0.524554432199798	0.475445567800202
scRNA	SGI75460104	0.523713772342457	0.476286227657543
scRNA	SGI75460105	0.677004787999148	0.322995212000852
snRNA	SGI75460067	0.244114633920502	0.0027900268282299
snRNA	SGI75460068	0.158737717092461	0.0539808752592533
snRNA	SGI75460075	0.142645238802071	0.0837203921966762
snRNA	SGI75460076	0.160823511509968	0.0508619062543779
snRNA	SGI75460103	0.266484014060778	0.0010609764428466
snRNA	SGI75460104	0.280500454890122	0.0005542004158285
snRNA	SGI75460105	0.129609806304335	0.116407681965891
snoRNA	SGI75460067	0.943469444631029	0.0
snoRNA	SGI75460068	0.761727486151607	1.3130656334942e-235
snoRNA	SGI75460075	0.993372224388462	0.0
snoRNA	SGI75460076	0.92674122309257	0.0
snoRNA	SGI75460103	0.975698406677564	0.0
snoRNA	SGI75460104	0.981964538332919	0.0
snoRNA	SGI75460105	0.92073815789722	0.0
tRNA	SGI75460067	0.997537824311832	0.0
tRNA	SGI75460068	0.992406418417957	0.0
tRNA	SGI75460075	0.991320403747381	0.0
tRNA	SGI75460076	0.970142015190285	7.9471563710236e-265
tRNA	SGI75460103	0.994987751181006	0.0
tRNA	SGI75460104	0.9986149782137	0.0
tRNA	SGI75460105	0.992650334774725	0.0
