		cpm_RFfr:cpm_star_r	cpm_RFfr:cpm_star_p
Mt_rRNA	SGI75460067		
Mt_rRNA	SGI75460068		
Mt_rRNA	SGI75460075		
Mt_rRNA	SGI75460076		
Mt_rRNA	SGI75460103		
Mt_rRNA	SGI75460104		
Mt_rRNA	SGI75460105		
Mt_tRNA	SGI75460067	0.948925570069099	1.76439684775644e-11
Mt_tRNA	SGI75460068	0.938007215298425	1.1697659744474e-10
Mt_tRNA	SGI75460075	0.932941455775555	2.51174870890178e-10
Mt_tRNA	SGI75460076	0.910407703920654	4.1374851129724105e-09
Mt_tRNA	SGI75460103	0.899836451423029	1.20659564910553e-08
Mt_tRNA	SGI75460104	0.970995419062601	6.74705013629538e-14
Mt_tRNA	SGI75460105	0.925021987031095	7.41768927730813e-10
lncRNA	SGI75460067	0.746522507963816	0.0
lncRNA	SGI75460068	0.802212489142562	0.0
lncRNA	SGI75460075	0.397834335287584	1.3357421666955998e-205
lncRNA	SGI75460076	0.600153666028397	0.0
lncRNA	SGI75460103	0.471226301250768	1.17535317347506e-298
lncRNA	SGI75460104	0.971121059568707	0.0
lncRNA	SGI75460105	0.247966113730763	5.73837437828319e-77
miRNA	SGI75460067	0.91961031034019	0.0
miRNA	SGI75460068	0.895024393602222	0.0
miRNA	SGI75460075	0.974023043217531	0.0
miRNA	SGI75460076	0.969446263759201	0.0
miRNA	SGI75460103	0.977385836940704	0.0
miRNA	SGI75460104	0.923721475267366	0.0
miRNA	SGI75460105	0.0789982674591612	0.0005416473972778
misc_RNA	SGI75460067	0.96110858793587	0.0005610210713465
misc_RNA	SGI75460068	0.958268309983413	0.0006680974307784
misc_RNA	SGI75460075	0.998578696504391	1.4616390688227e-07
misc_RNA	SGI75460076	0.999215242453008	3.31214993408117e-08
misc_RNA	SGI75460103	0.999850498166819	5.2485018107547e-10
misc_RNA	SGI75460104	0.999814326329076	9.02165987863186e-10
misc_RNA	SGI75460105	0.999835090122985	6.70705921946745e-10
other	SGI75460067	0.838991476145153	1.6542220349919801e-10
other	SGI75460068	0.830141710094988	3.82190660053187e-10
other	SGI75460075	0.611554901080663	7.4130315337497e-05
other	SGI75460076	0.696154383713117	2.42256127727317e-06
other	SGI75460103	0.836439968173147	2.11664477839067e-10
other	SGI75460104	0.952074169932503	4.58375484804154e-19
other	SGI75460105	0.761904753088409	6.74885814227963e-08
protein_coding	SGI75460067	0.99012014716684	0.0
protein_coding	SGI75460068	0.989373504075242	0.0
protein_coding	SGI75460075	0.969621309771962	0.0
protein_coding	SGI75460076	0.989674028184086	0.0
protein_coding	SGI75460103	0.996020478580132	0.0
protein_coding	SGI75460104	0.991910007003185	0.0
protein_coding	SGI75460105	0.991322482270555	0.0
pseudo	SGI75460067	0.798756770849773	0.0
pseudo	SGI75460068	0.356492865758599	0.0
pseudo	SGI75460075	0.357916176564561	0.0
pseudo	SGI75460076	0.418286809496949	0.0
pseudo	SGI75460103	0.48567985598624	0.0
pseudo	SGI75460104	0.899546168732164	0.0
pseudo	SGI75460105	0.377469831636158	0.0
rRNA	SGI75460067	-0.0217622085269813	0.910782891886797
rRNA	SGI75460068	-0.104724158016702	0.588755535632039
rRNA	SGI75460075	-0.0762171525914975	0.69434891886389
rRNA	SGI75460076	-0.0688174299622378	0.722804780349579
rRNA	SGI75460103	-0.0907259664151665	0.63974844919578
rRNA	SGI75460104	-0.0718886883293745	0.710947695966345
rRNA	SGI75460105	-0.142828071095519	0.45983294571202
scRNA	SGI75460067	0.682871996476993	0.317128003523007
scRNA	SGI75460068	0.71386799525708	0.28613200474292
scRNA	SGI75460075	0.661474649891432	0.338525350108568
scRNA	SGI75460076	0.58911248013208	0.41088751986792
scRNA	SGI75460103	0.524554033099255	0.475445966900744
scRNA	SGI75460104	0.523713604286049	0.476286395713951
scRNA	SGI75460105	0.677004569779489	0.322995430220511
snRNA	SGI75460067	0.238166228388607	0.0035578506417954
snRNA	SGI75460068	0.143670015335169	0.0814995618989619
snRNA	SGI75460075	0.140128516532399	0.0893805513255234
snRNA	SGI75460076	0.16466595760031	0.0455071818355354
snRNA	SGI75460103	0.2478223820437	0.0023906847013224
snRNA	SGI75460104	0.260878954492841	0.0013625816372994
snRNA	SGI75460105	0.130272119618149	0.114537171145834
snoRNA	SGI75460067	0.9386824896722	0.0
snoRNA	SGI75460068	0.792580685367106	3.08472392382789e-268
snoRNA	SGI75460075	0.991554631232798	0.0
snoRNA	SGI75460076	0.928701465575115	0.0
snoRNA	SGI75460103	0.978151119303784	0.0
snoRNA	SGI75460104	0.9812178110277	0.0
snoRNA	SGI75460105	0.930329444393194	0.0
tRNA	SGI75460067	0.996399855820541	0.0
tRNA	SGI75460068	0.988925000718241	0.0
tRNA	SGI75460075	0.987344240826269	0.0
tRNA	SGI75460076	0.957150572830527	6.129653426410409e-232
tRNA	SGI75460103	0.992697805150497	0.0
tRNA	SGI75460104	0.997951086139461	0.0
tRNA	SGI75460105	0.989180446246646	0.0
