"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.899836451423029,1.20659564910553e-08
"lncRNA",0.471226301250768,1.17535317347506e-298
"miRNA",0.977385836940704,0
"misc_RNA",0.999850498166819,5.2485018107547e-10
"other",0.836439968173147,2.11664477839067e-10
"protein_coding",0.996020478580132,0
"pseudo",0.48567985598624,0
"rRNA",-0.0907259664151665,0.63974844919578
"scRNA",0.524554033099255,0.475445966900744
"snRNA",0.2478223820437,0.0023906847013224
"snoRNA",0.978151119303784,0
"tRNA",0.992697805150497,0
