Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
lncRNA	A1BG-AS1	SGI75460075	1	A1BG-AS1	0.0	A1BG-AS1	0.0
lncRNA	A2M-AS1	SGI75460075	4	A2M-AS1	0.015473	A2M-AS1	0.0
lncRNA	AADACL2-AS1	SGI75460075	16	AADACL2-AS1	0.001484	AADACL2-AS1	0.085982
lncRNA	AATBC	SGI75460075	36	AATBC	0.013083	AATBC	0.026398
lncRNA	ABALON	SGI75460075	39	ABALON	0.0	ABALON	3.504806
lncRNA	ABCA9-AS1	SGI75460075	56	ABCA9-AS1	0.0	ABCA9-AS1	0.0
lncRNA	ABCC5-AS1	SGI75460075	78	ABCC5-AS1	0.014344	ABCC5-AS1	0.024596
lncRNA	ABHD11-AS1	SGI75460075	108	ABHD11-AS1	0.0	ABHD11-AS1	0.028632
lncRNA	ACBD3-AS1	SGI75460075	179	ACBD3-AS1	0.001548	ACBD3-AS1	0.0
lncRNA	ACBD7-DCLRE1CP1	SGI75460075	184	ACBD7-DCLRE1CP1	0.006158	ACBD7-DCLRE1CP1	0.0
lncRNA	ACOXL-AS1	SGI75460075	222	ACOXL-AS1	0.0	ACOXL-AS1	0.035705
lncRNA	ACTA2-AS1	SGI75460075	256	ACTA2-AS1	0.0	ACTA2-AS1	0.003468
lncRNA	ACTE1P	SGI75460075	273	ACTE1P	0.030097	ACTE1P	0.056947
lncRNA	ACTN1-DT	SGI75460075	306	ACTN1-DT	0.078639	ACTN1-DT	0.136618
lncRNA	ACTR3-AS1	SGI75460075	318	ACTR3-AS1	0.000511	ACTR3-AS1	0.614656
lncRNA	ACVR2B-AS1	SGI75460075	344	ACVR2B-AS1	0.0	ACVR2B-AS1	0.0
lncRNA	ADAM7-AS1	SGI75460075	386	ADAM7-AS1	0.0	ADAM7-AS1	0.097984
lncRNA	ADAM7-AS2	SGI75460075	387	ADAM7-AS2	0.000346	ADAM7-AS2	0.014126
lncRNA	ADAMTS16-DT	SGI75460075	398	ADAMTS16-DT	0.011179	ADAMTS16-DT	0.017534
lncRNA	ADAMTS19-AS1	SGI75460075	402	ADAMTS19-AS1	0.0	ADAMTS19-AS1	0.0
lncRNA	ADAMTS9-AS1	SGI75460075	415	ADAMTS9-AS1	0.0	ADAMTS9-AS1	0.018717
lncRNA	ADAMTS9-AS2	SGI75460075	416	ADAMTS9-AS2	0.018755	ADAMTS9-AS2	0.279717
lncRNA	ADAMTSL4-AS1	SGI75460075	421	ADAMTSL4-AS1	0.017082	ADAMTSL4-AS1	0.073728
lncRNA	ADARB2-AS1	SGI75460075	428	ADARB2-AS1	0.001629	ADARB2-AS1	0.0
lncRNA	ADCY6-DT	SGI75460075	443	ADCY6-DT	0.0	ADCY6-DT	0.0
lncRNA	ADD3-AS1	SGI75460075	452	ADD3-AS1	0.002854	ADD3-AS1	0.180699
lncRNA	ADGB-DT	SGI75460075	454	ADGB-DT	0.0	ADGB-DT	0.0
lncRNA	ADGRA1-AS1	SGI75460075	456	ADGRA1-AS1	0.0	ADGRA1-AS1	0.0
lncRNA	ADGRB3-DT	SGI75460075	463	ADGRB3-DT	0.0	ADGRB3-DT	0.0
