Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
miRNA	MIR1-1	SGI75460075	21047	MIR1-1	0.0	MIR1-1	0.0
miRNA	MIR1-2	SGI75460075	21049	MIR1-2	0.319584	MIR1-2	0.0
miRNA	MIR100	SGI75460075	21050	MIR100	4.7678	MIR100	1.218729
miRNA	MIR101-1	SGI75460075	21052	MIR101-1	264.004272	MIR101-1	0.0
miRNA	MIR101-2	SGI75460075	21053	MIR101-2	296.678711	MIR101-2	358.329132
miRNA	MIR10226	SGI75460075	21054	MIR10226	0.0	MIR10226	0.0
miRNA	MIR10392	SGI75460075	21055	MIR10392	0.0	MIR10392	0.0
miRNA	MIR10393	SGI75460075	21056	MIR10393	0.821039	MIR10393	1.261181
miRNA	MIR10394	SGI75460075	21057	MIR10394	0.3992	MIR10394	0.620106
miRNA	MIR10396A	SGI75460075	21058	MIR10396A	0.0	MIR10396A	0.0
miRNA	MIR10396B	SGI75460075	21059	MIR10396B	0.006518	MIR10396B	0.0
miRNA	MIR10397	SGI75460075	21060	MIR10397	0.19705	MIR10397	0.307509
miRNA	MIR10398	SGI75460075	21061	MIR10398	0.0	MIR10398	0.0
miRNA	MIR10399	SGI75460075	21062	MIR10399	0.297527	MIR10399	0.325663
miRNA	MIR103A1	SGI75460075	21063	MIR103A1	1069.243774	MIR103A1	0.946139
miRNA	MIR103A2	SGI75460075	21064	MIR103A2	318.457672	MIR103A2	1542.277466
miRNA	MIR103B1	SGI75460075	21065	MIR103B1	0.0	MIR103B1	0.90828
miRNA	MIR103B2	SGI75460075	21066	MIR103B2	0.0	MIR103B2	0.0
miRNA	MIR10400	SGI75460075	21067	MIR10400	0.709825	MIR10400	1.11458
miRNA	MIR105-1	SGI75460075	21068	MIR105-1	0.0	MIR105-1	0.0
miRNA	MIR105-2	SGI75460075	21069	MIR105-2	0.0	MIR105-2	0.0
miRNA	MIR10522	SGI75460075	21070	MIR10522	0.0	MIR10522	0.0
miRNA	MIR10523	SGI75460075	21071	MIR10523	0.0	MIR10523	0.0
miRNA	MIR10524	SGI75460075	21072	MIR10524	0.0	MIR10524	0.0
miRNA	MIR10525	SGI75460075	21073	MIR10525	0.0	MIR10525	0.0
miRNA	MIR10526	SGI75460075	21074	MIR10526	0.0	MIR10526	0.0
miRNA	MIR10527	SGI75460075	21075	MIR10527	0.138455	MIR10527	0.0
miRNA	MIR106A	SGI75460075	21076	MIR106A	12.847327	MIR106A	1.404439
miRNA	MIR106B	SGI75460075	21077	MIR106B	282.977753	MIR106B	27.53978
miRNA	MIR107	SGI75460075	21078	MIR107	11.203834	MIR107	2.667791
miRNA	MIR10A	SGI75460075	21079	MIR10A	0.0	MIR10A	1.30984
miRNA	MIR10B	SGI75460075	21080	MIR10B	11.327743	MIR10B	0.0
miRNA	MIR11181	SGI75460075	21081	MIR11181	0.0	MIR11181	0.0
miRNA	MIR11399	SGI75460075	21082	MIR11399	0.0	MIR11399	0.0
miRNA	MIR11400	SGI75460075	21083	MIR11400	0.0	MIR11400	0.0
miRNA	MIR11401	SGI75460075	21084	MIR11401	0.42748	MIR11401	0.0
miRNA	MIR1178	SGI75460075	21085	MIR1178	0.0	MIR1178	0.0
miRNA	MIR1179	SGI75460075	21086	MIR1179	0.0	MIR1179	0.0
miRNA	MIR1180	SGI75460075	21087	MIR1180	0.838598	MIR1180	0.0
miRNA	MIR1181	SGI75460075	21088	MIR1181	0.0	MIR1181	0.0
miRNA	MIR1182	SGI75460075	21089	MIR1182	0.0	MIR1182	0.0
miRNA	MIR1183	SGI75460075	21090	MIR1183	0.0	MIR1183	0.0
miRNA	MIR1184-1	SGI75460075	21091	MIR1184-1	0.0	MIR1184-1	0.0
miRNA	MIR1184-2	SGI75460075	21092	MIR1184-2	0.0	MIR1184-2	0.0
miRNA	MIR1184-3	SGI75460075	21093	MIR1184-3	0.0	MIR1184-3	0.0
miRNA	MIR1185-1	SGI75460075	21094	MIR1185-1	0.0	MIR1185-1	0.0
miRNA	MIR1185-2	SGI75460075	21095	MIR1185-2	0.0	MIR1185-2	0.0
miRNA	MIR1193	SGI75460075	21096	MIR1193	0.0	MIR1193	0.0
miRNA	MIR1197	SGI75460075	21097	MIR1197	0.0	MIR1197	0.0
miRNA	MIR1199	SGI75460075	21098	MIR1199	0.0	MIR1199	0.0
miRNA	MIR1200	SGI75460075	21099	MIR1200	0.0	MIR1200	0.0
miRNA	MIR1202	SGI75460075	21100	MIR1202	0.0	MIR1202	0.0
miRNA	MIR1203	SGI75460075	21101	MIR1203	0.0	MIR1203	0.0
miRNA	MIR1204	SGI75460075	21102	MIR1204	0.0	MIR1204	0.0
