Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
other	CABIN1	SGI75460076	3025	CABIN1	0.094817	CABIN1	0.161846
other	CAPN15	SGI75460076	3172	CAPN15	0.0	CAPN15	0.0
other	FAM131B	SGI75460076	7936	FAM131B	0.0	FAM131B	0.0
other	GABBR1	SGI75460076	9079	GABBR1	0.0	GABBR1	0.0
other	HMBS	SGI75460076	10860	HMBS	5.414018	HMBS	9.57827
other	IGH	SGI75460076	11788	IGH	0.007681	IGH	0.000693
other	IGHV4-30-2	SGI75460076	11925	IGHV4-30-2	0.0	IGHV4-30-2	0.0
other	IGK	SGI75460076	11985	IGK	0.001437	IGK	0.019537
other	IGKDEL	SGI75460076	11987	IGKDEL	0.0	IGKDEL	0.0
other	IGL	SGI75460076	12087	IGL	0.009666	IGL	0.027707
other	LOC124900482	SGI75460076	18398	LOC124900482	0.0	LOC124900482	0.0
other	LOC124900483	SGI75460076	18399	LOC124900483	0.0	LOC124900483	0.0
other	LOC124900484	SGI75460076	18400	LOC124900484	0.0	LOC124900484	0.0
other	OR2G6	SGI75460076	26058	OR2G6	0.0	OR2G6	0.003087
other	OR51L1	SGI75460076	26292	OR51L1	0.0	OR51L1	0.0
other	PCDHA@	SGI75460076	27157	PCDHA@	0.00016	PCDHA@	0.0
other	PCDHACT	SGI75460076	27160	PCDHACT	0.000406	PCDHACT	0.0
other	PCDHB@	SGI75460076	27181	PCDHB@	0.000524	PCDHB@	0.0
other	PCDHG@	SGI75460076	27182	PCDHG@	4.2e-05	PCDHG@	0.000603
other	PTPMT1	SGI75460076	29288	PTPMT1	0.077865	PTPMT1	0.133462
other	RMRP	SGI75460076	30310	RMRP	833.900696	RMRP	1447.358154
other	RNY5	SGI75460076	33927	RNY5	2061.055908	RNY5	687.155823
other	RPPH1	SGI75460076	35343	RPPH1	574.567505	RPPH1	0.0
other	RUVBL1	SGI75460076	36229	RUVBL1	0.244188	RUVBL1	0.438
other	SEPTIN9	SGI75460076	36807	SEPTIN9	0.477535	SEPTIN9	2.108571
other	SNORD115@	SGI75460076	38315	SNORD115@	7.4e-05	SNORD115@	0.00109
other	SNORD116@	SGI75460076	38346	SNORD116@	2e-06	SNORD116@	0.00357
other	TRA	SGI75460076	41236	TRA	0.011038	TRA	0.086289
other	TRAJ15	SGI75460076	41299	TRAJ15	0.0	TRAJ15	0.0
other	TRB	SGI75460076	41446	TRB	0.014474	TRB	0.070948
other	TRBD2	SGI75460076	41450	TRBD2	0.0	TRBD2	0.0
other	TRBV6-3	SGI75460076	41515	TRBV6-3	0.0	TRBV6-3	0.0
other	TRD	SGI75460076	41566	TRD	0.001767	TRD	0.000143
other	TRG	SGI75460076	41657	TRG	0.0252	TRG	0.228007
other	TRGC1	SGI75460076	41692	TRGC1	0.033778	TRGC1	0.0
other	UGT1A	SGI75460076	42961	UGT1A	0.0	UGT1A	0.027699
