Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
pseudo	A2MP1	SGI75460104	6	A2MP1	0.000286	A2MP1	0.0112
pseudo	AA06	SGI75460104	10	AA06	0.0	AA06	0.0
pseudo	AACSP1	SGI75460104	13	AACSP1	1.2e-05	AACSP1	0.000671
pseudo	AADACP1	SGI75460104	19	AADACP1	0.002733	AADACP1	6.1e-05
pseudo	AARS1P1	SGI75460104	29	AARS1P1	0.0	AARS1P1	0.0
pseudo	AARSD1P1	SGI75460104	32	AARSD1P1	0.0	AARSD1P1	0.0
pseudo	ABCA11P	SGI75460104	43	ABCA11P	0.002829	ABCA11P	0.026083
pseudo	ABCA17P	SGI75460104	46	ABCA17P	0.001047	ABCA17P	0.003492
pseudo	ABCA3P1	SGI75460104	49	ABCA3P1	0.000912	ABCA3P1	0.0
pseudo	ABCB10P1	SGI75460104	59	ABCB10P1	0.003968	ABCB10P1	0.0
pseudo	ABCB10P3	SGI75460104	60	ABCB10P3	0.006342	ABCB10P3	0.0
pseudo	ABCB10P4	SGI75460104	61	ABCB10P4	0.012007	ABCB10P4	0.0
pseudo	ABCC13	SGI75460104	73	ABCC13	0.108755	ABCC13	0.181933
pseudo	ABCC6P1	SGI75460104	80	ABCC6P1	8.3e-05	ABCC6P1	0.002024
pseudo	ABCC6P2	SGI75460104	81	ABCC6P2	0.0	ABCC6P2	0.0
pseudo	ABCD1P1	SGI75460104	85	ABCD1P1	0.0	ABCD1P1	0.0
pseudo	ABCD1P2	SGI75460104	86	ABCD1P2	0.0	ABCD1P2	0.0
pseudo	ABCD1P3	SGI75460104	87	ABCD1P3	0.0	ABCD1P3	0.0
pseudo	ABCD1P4	SGI75460104	88	ABCD1P4	0.0	ABCD1P4	0.0
pseudo	ABCD1P5	SGI75460104	89	ABCD1P5	0.0	ABCD1P5	0.0
pseudo	ABCF2P1	SGI75460104	97	ABCF2P1	0.0	ABCF2P1	0.016839
pseudo	ABCF2P2	SGI75460104	98	ABCF2P2	0.0	ABCF2P2	0.0
pseudo	ABHD17AP1	SGI75460104	119	ABHD17AP1	0.059055	ABHD17AP1	0.0
pseudo	ABHD17AP3	SGI75460104	120	ABHD17AP3	0.0	ABHD17AP3	0.0
pseudo	ABHD17AP4	SGI75460104	121	ABHD17AP4	0.027815	ABHD17AP4	0.005064
pseudo	ABHD17AP5	SGI75460104	122	ABHD17AP5	0.016856	ABHD17AP5	0.0
