Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
protein_coding	A1BG	SGI75460105	0	A1BG	0.007439	A1BG	0.01926
protein_coding	A1CF	SGI75460105	2	A1CF	0.03666	A1CF	0.061278
protein_coding	A2M	SGI75460105	3	A2M	0.701438	A2M	0.780024
protein_coding	A2ML1	SGI75460105	5	A2ML1	0.0	A2ML1	0.0
protein_coding	A3GALT2	SGI75460105	7	A3GALT2	0.000112	A3GALT2	0.097297
protein_coding	A4GALT	SGI75460105	8	A4GALT	0.0	A4GALT	0.0
protein_coding	A4GNT	SGI75460105	9	A4GNT	0.0	A4GNT	0.0
protein_coding	AAAS	SGI75460105	11	AAAS	0.002098	AAAS	0.03584
protein_coding	AACS	SGI75460105	12	AACS	0.068864	AACS	0.0
protein_coding	AADAC	SGI75460105	14	AADAC	0.0	AADAC	0.0
protein_coding	AADACL2	SGI75460105	15	AADACL2	0.00251	AADACL2	0.0
protein_coding	AADACL3	SGI75460105	17	AADACL3	0.002222	AADACL3	0.097076
protein_coding	AADACL4	SGI75460105	18	AADACL4	0.0	AADACL4	0.0
protein_coding	AADAT	SGI75460105	20	AADAT	0.00683	AADAT	0.0
protein_coding	AAGAB	SGI75460105	21	AAGAB	0.188748	AAGAB	0.472444
protein_coding	AAK1	SGI75460105	22	AAK1	0.027316	AAK1	0.151711
protein_coding	AAMDC	SGI75460105	23	AAMDC	0.0	AAMDC	0.0
protein_coding	AAMP	SGI75460105	24	AAMP	0.170994	AAMP	0.174328
protein_coding	AANAT	SGI75460105	25	AANAT	0.005216	AANAT	1.543496
protein_coding	AAR2	SGI75460105	26	AAR2	0.282148	AAR2	0.677949
protein_coding	AARD	SGI75460105	27	AARD	0.000105	AARD	0.033635
protein_coding	AARS1	SGI75460105	28	AARS1	0.305515	AARS1	0.300508
protein_coding	AARS2	SGI75460105	30	AARS2	0.0	AARS2	0.005337
protein_coding	AARSD1	SGI75460105	31	AARSD1	0.0	AARSD1	0.0
protein_coding	AASDH	SGI75460105	33	AASDH	0.0	AASDH	0.0
protein_coding	AASDHPPT	SGI75460105	34	AASDHPPT	0.075616	AASDHPPT	0.134046
protein_coding	AASS	SGI75460105	35	AASS	0.023024	AASS	0.0
protein_coding	AATF	SGI75460105	37	AATF	0.200202	AATF	0.817059
protein_coding	AATK	SGI75460105	38	AATK	0.003315	AATK	0.211012
protein_coding	ABAT	SGI75460105	40	ABAT	0.0	ABAT	0.059765
protein_coding	ABCA1	SGI75460105	41	ABCA1	0.000905	ABCA1	0.241811
protein_coding	ABCA10	SGI75460105	42	ABCA10	0.001813	ABCA10	0.050319
protein_coding	ABCA12	SGI75460105	44	ABCA12	0.0	ABCA12	0.0
protein_coding	ABCA13	SGI75460105	45	ABCA13	0.008923	ABCA13	0.0
protein_coding	ABCA2	SGI75460105	47	ABCA2	0.016892	ABCA2	0.0
protein_coding	ABCA3	SGI75460105	48	ABCA3	0.004137	ABCA3	0.600206
protein_coding	ABCA4	SGI75460105	50	ABCA4	0.0	ABCA4	0.0
protein_coding	ABCA5	SGI75460105	51	ABCA5	0.012392	ABCA5	0.113085
protein_coding	ABCA6	SGI75460105	52	ABCA6	0.116833	ABCA6	0.179268
protein_coding	ABCA7	SGI75460105	53	ABCA7	0.045508	ABCA7	0.0
protein_coding	ABCA8	SGI75460105	54	ABCA8	0.0	ABCA8	0.0
protein_coding	ABCA9	SGI75460105	55	ABCA9	0.0	ABCA9	0.0
protein_coding	ABCB1	SGI75460105	57	ABCB1	0.012279	ABCB1	0.069157
protein_coding	ABCB10	SGI75460105	58	ABCB10	1.38532	ABCB10	1.838204
protein_coding	ABCB11	SGI75460105	62	ABCB11	0.0	ABCB11	0.0
protein_coding	ABCB4	SGI75460105	63	ABCB4	0.022992	ABCB4	0.0
protein_coding	ABCB5	SGI75460105	64	ABCB5	0.005079	ABCB5	0.087112
protein_coding	ABCB6	SGI75460105	65	ABCB6	0.028284	ABCB6	0.378911
protein_coding	ABCB7	SGI75460105	66	ABCB7	0.004198	ABCB7	0.011567
protein_coding	ABCB8	SGI75460105	67	ABCB8	0.0	ABCB8	0.00195
protein_coding	ABCB9	SGI75460105	68	ABCB9	0.0	ABCB9	0.0
protein_coding	ABCC1	SGI75460105	69	ABCC1	0.0	ABCC1	0.0
protein_coding	ABCC10	SGI75460105	70	ABCC10	0.063401	ABCC10	0.097685
protein_coding	ABCC11	SGI75460105	71	ABCC11	0.0	ABCC11	0.0
protein_coding	ABCC12	SGI75460105	72	ABCC12	0.008063	ABCC12	0.023978
protein_coding	ABCC2	SGI75460105	74	ABCC2	0.0	ABCC2	0.0
protein_coding	ABCC3	SGI75460105	75	ABCC3	0.016318	ABCC3	0.333014
protein_coding	ABCC4	SGI75460105	76	ABCC4	0.381632	ABCC4	0.42813
protein_coding	ABCC5	SGI75460105	77	ABCC5	0.269485	ABCC5	0.017798
protein_coding	ABCC6	SGI75460105	79	ABCC6	0.0	ABCC6	0.0
protein_coding	ABCC8	SGI75460105	82	ABCC8	0.000548	ABCC8	0.024515
protein_coding	ABCC9	SGI75460105	83	ABCC9	0.0	ABCC9	0.0
protein_coding	ABCD1	SGI75460105	84	ABCD1	0.0	ABCD1	0.0
protein_coding	ABCD2	SGI75460105	90	ABCD2	0.0	ABCD2	0.018829
protein_coding	ABCD3	SGI75460105	91	ABCD3	0.167843	ABCD3	0.722674
protein_coding	ABCD4	SGI75460105	92	ABCD4	0.002397	ABCD4	0.0
protein_coding	ABCE1	SGI75460105	93	ABCE1	0.130441	ABCE1	0.299664
protein_coding	ABCF1	SGI75460105	94	ABCF1	0.014364	ABCF1	0.084225
protein_coding	ABCF2	SGI75460105	95	ABCF2	0.029212	ABCF2	0.163124
protein_coding	ABCF2-H2BK1	SGI75460105	96	ABCF2-H2BK1	0.0	ABCF2-H2BK1	0.005958
protein_coding	ABCF3	SGI75460105	99	ABCF3	0.01268	ABCF3	0.0
protein_coding	ABCG1	SGI75460105	100	ABCG1	0.0	ABCG1	0.0
protein_coding	ABCG2	SGI75460105	101	ABCG2	0.358102	ABCG2	0.5129
protein_coding	ABCG4	SGI75460105	102	ABCG4	0.0	ABCG4	0.0
protein_coding	ABCG5	SGI75460105	103	ABCG5	0.0	ABCG5	0.0
protein_coding	ABCG8	SGI75460105	104	ABCG8	0.002486	ABCG8	0.017235
protein_coding	ABHD1	SGI75460105	105	ABHD1	0.0	ABHD1	0.0
protein_coding	ABHD10	SGI75460105	106	ABHD10	0.216489	ABHD10	0.340707
protein_coding	ABHD11	SGI75460105	107	ABHD11	0.0	ABHD11	0.0
protein_coding	ABHD12	SGI75460105	109	ABHD12	0.0	ABHD12	0.0
protein_coding	ABHD12B	SGI75460105	110	ABHD12B	0.0	ABHD12B	0.0
protein_coding	ABHD13	SGI75460105	111	ABHD13	0.0	ABHD13	0.0
protein_coding	ABHD14A	SGI75460105	112	ABHD14A	0.0	ABHD14A	0.0
protein_coding	ABHD14A-ACY1	SGI75460105	113	ABHD14A-ACY1	0.0	ABHD14A-ACY1	0.0
protein_coding	ABHD14B	SGI75460105	114	ABHD14B	0.005569	ABHD14B	0.356999
protein_coding	ABHD15	SGI75460105	115	ABHD15	0.00382	ABHD15	0.038301
protein_coding	ABHD16A	SGI75460105	116	ABHD16A	0.0	ABHD16A	0.125229
protein_coding	ABHD16B	SGI75460105	117	ABHD16B	0.0	ABHD16B	0.0229
protein_coding	ABHD17A	SGI75460105	118	ABHD17A	0.572768	ABHD17A	0.0
protein_coding	ABHD17B	SGI75460105	127	ABHD17B	0.0	ABHD17B	0.0
protein_coding	ABHD17C	SGI75460105	128	ABHD17C	0.00688	ABHD17C	0.223386
protein_coding	ABHD18	SGI75460105	129	ABHD18	0.006543	ABHD18	0.109264
protein_coding	ABHD2	SGI75460105	130	ABHD2	0.132187	ABHD2	0.264268
protein_coding	ABHD3	SGI75460105	131	ABHD3	0.0	ABHD3	0.0
protein_coding	ABHD4	SGI75460105	132	ABHD4	0.012385	ABHD4	0.026922
protein_coding	ABHD5	SGI75460105	133	ABHD5	0.340721	ABHD5	0.530355
protein_coding	ABHD6	SGI75460105	134	ABHD6	0.0	ABHD6	0.0
protein_coding	ABHD8	SGI75460105	135	ABHD8	0.002164	ABHD8	0.217082
protein_coding	ABI1	SGI75460105	136	ABI1	1.015057	ABI1	1.589643
protein_coding	ABI2	SGI75460105	138	ABI2	0.128249	ABI2	0.231386
protein_coding	ABI3	SGI75460105	139	ABI3	2.496651	ABI3	3.836312
protein_coding	ABI3BP	SGI75460105	140	ABI3BP	0.0	ABI3BP	0.0
protein_coding	ABITRAM	SGI75460105	141	ABITRAM	0.047767	ABITRAM	0.0
protein_coding	ABL1	SGI75460105	143	ABL1	0.006384	ABL1	0.282106
protein_coding	ABL2	SGI75460105	144	ABL2	0.023056	ABL2	0.043799
protein_coding	ABLIM1	SGI75460105	145	ABLIM1	0.320651	ABLIM1	0.503329
protein_coding	ABLIM2	SGI75460105	146	ABLIM2	0.0	ABLIM2	0.00845
protein_coding	ABLIM3	SGI75460105	147	ABLIM3	0.560898	ABLIM3	0.896786
protein_coding	ABO	SGI75460105	148	ABO	0.007095	ABO	0.0
protein_coding	ABR	SGI75460105	149	ABR	0.010721	ABR	0.061406
protein_coding	ABRA	SGI75460105	150	ABRA	0.0	ABRA	0.003173
protein_coding	ABRACL	SGI75460105	151	ABRACL	2.794914	ABRACL	4.393482
protein_coding	ABRAXAS1	SGI75460105	152	ABRAXAS1	0.35929	ABRAXAS1	0.0
protein_coding	ABRAXAS2	SGI75460105	153	ABRAXAS2	0.230117	ABRAXAS2	0.361079
protein_coding	ABT1	SGI75460105	154	ABT1	0.127823	ABT1	0.0
protein_coding	ABTB1	SGI75460105	156	ABTB1	0.446965	ABTB1	0.266612
protein_coding	ABTB2	SGI75460105	157	ABTB2	0.003707	ABTB2	0.338907
protein_coding	ACAA1	SGI75460105	158	ACAA1	0.037146	ACAA1	0.0
protein_coding	ACAA2	SGI75460105	159	ACAA2	0.058684	ACAA2	0.192854
protein_coding	ACACA	SGI75460105	161	ACACA	0.006438	ACACA	0.019768
protein_coding	ACACB	SGI75460105	162	ACACB	0.013011	ACACB	0.0
protein_coding	ACAD10	SGI75460105	163	ACAD10	0.001165	ACAD10	0.112328
protein_coding	ACAD11	SGI75460105	164	ACAD11	0.0	ACAD11	0.0
protein_coding	ACAD8	SGI75460105	165	ACAD8	0.0	ACAD8	0.0
protein_coding	ACAD9	SGI75460105	166	ACAD9	0.177624	ACAD9	0.0
protein_coding	ACADL	SGI75460105	167	ACADL	0.05505	ACADL	0.085143
protein_coding	ACADM	SGI75460105	168	ACADM	0.006585	ACADM	0.031517
protein_coding	ACADS	SGI75460105	169	ACADS	0.0	ACADS	0.439344
protein_coding	ACADSB	SGI75460105	170	ACADSB	0.014333	ACADSB	0.054405
protein_coding	ACADVL	SGI75460105	171	ACADVL	0.893399	ACADVL	1.030619
protein_coding	ACAN	SGI75460105	172	ACAN	0.0	ACAN	0.0
protein_coding	ACAP1	SGI75460105	173	ACAP1	0.0	ACAP1	0.0
protein_coding	ACAP2	SGI75460105	174	ACAP2	0.803621	ACAP2	2.905886
protein_coding	ACAP3	SGI75460105	175	ACAP3	0.0	ACAP3	0.009564
protein_coding	ACAT1	SGI75460105	176	ACAT1	0.008357	ACAT1	0.50593
protein_coding	ACAT2	SGI75460105	177	ACAT2	0.009116	ACAT2	1.424662
protein_coding	ACBD3	SGI75460105	178	ACBD3	0.067554	ACBD3	0.171629
protein_coding	ACBD4	SGI75460105	180	ACBD4	0.014438	ACBD4	0.0
protein_coding	ACBD5	SGI75460105	181	ACBD5	0.320458	ACBD5	0.504628
protein_coding	ACBD6	SGI75460105	182	ACBD6	1.05999	ACBD6	1.646694
protein_coding	ACBD7	SGI75460105	183	ACBD7	0.000137	ACBD7	0.057168
protein_coding	ACCS	SGI75460105	185	ACCS	0.016708	ACCS	0.0
protein_coding	ACCSL	SGI75460105	186	ACCSL	0.0	ACCSL	0.0
protein_coding	ACD	SGI75460105	187	ACD	0.068649	ACD	0.0
protein_coding	ACE	SGI75460105	188	ACE	0.0	ACE	0.009892
protein_coding	ACE2	SGI75460105	189	ACE2	0.00265	ACE2	0.123438
protein_coding	ACER1	SGI75460105	191	ACER1	0.0	ACER1	0.0
protein_coding	ACER2	SGI75460105	192	ACER2	0.197863	ACER2	0.304167
protein_coding	ACER3	SGI75460105	194	ACER3	0.00467	ACER3	0.0
protein_coding	ACHE	SGI75460105	195	ACHE	0.012122	ACHE	1.230671
protein_coding	ACIN1	SGI75460105	196	ACIN1	0.371124	ACIN1	0.557803
protein_coding	ACKR1	SGI75460105	197	ACKR1	0.030501	ACKR1	0.047247
protein_coding	ACKR2	SGI75460105	198	ACKR2	0.002507	ACKR2	0.065855
protein_coding	ACKR3	SGI75460105	199	ACKR3	0.0	ACKR3	0.729153
protein_coding	ACKR4	SGI75460105	200	ACKR4	0.002859	ACKR4	0.002925
protein_coding	ACLY	SGI75460105	202	ACLY	0.114632	ACLY	1.604512
protein_coding	ACMSD	SGI75460105	203	ACMSD	0.0	ACMSD	0.0
protein_coding	ACO1	SGI75460105	205	ACO1	0.073243	ACO1	0.134243
protein_coding	ACO2	SGI75460105	206	ACO2	0.012821	ACO2	0.144938
protein_coding	ACOD1	SGI75460105	207	ACOD1	0.0	ACOD1	0.0
