Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
rRNA	RNA18SN1	SGI75460105	31294	RNA18SN1	581.984558	RNA18SN1	0.0
rRNA	RNA18SN2	SGI75460105	31295	RNA18SN2	312.835175	RNA18SN2	0.0
rRNA	RNA18SN3	SGI75460105	31296	RNA18SN3	479.032135	RNA18SN3	0.0
rRNA	RNA28SN1	SGI75460105	31300	RNA28SN1	732.305786	RNA28SN1	0.0
rRNA	RNA28SN2	SGI75460105	31301	RNA28SN2	672.814453	RNA28SN2	0.0
rRNA	RNA28SN3	SGI75460105	31302	RNA28SN3	776.585938	RNA28SN3	0.0
rRNA	RNA45SN1	SGI75460105	31304	RNA45SN1	0.074722	RNA45SN1	0.0
rRNA	RNA45SN2	SGI75460105	31305	RNA45SN2	0.062357	RNA45SN2	0.024441
rRNA	RNA45SN3	SGI75460105	31306	RNA45SN3	0.11424	RNA45SN3	0.0
rRNA	RNA5-8SN1	SGI75460105	31307	RNA5-8SN1	10617.861328	RNA5-8SN1	0.0
rRNA	RNA5-8SN2	SGI75460105	31308	RNA5-8SN2	7050.976562	RNA5-8SN2	0.0
rRNA	RNA5-8SN3	SGI75460105	31309	RNA5-8SN3	15290.616211	RNA5-8SN3	0.0
rRNA	RNA5S1	SGI75460105	31318	RNA5S1	571.609558	RNA5S1	0.0
rRNA	RNA5S10	SGI75460105	31319	RNA5S10	3466.006348	RNA5S10	0.0
rRNA	RNA5S11	SGI75460105	31320	RNA5S11	3488.146484	RNA5S11	0.0
rRNA	RNA5S12	SGI75460105	31321	RNA5S12	3427.408447	RNA5S12	0.0
rRNA	RNA5S13	SGI75460105	31322	RNA5S13	3334.463135	RNA5S13	0.0
rRNA	RNA5S14	SGI75460105	31323	RNA5S14	3235.412598	RNA5S14	0.0
rRNA	RNA5S15	SGI75460105	31324	RNA5S15	1457.540649	RNA5S15	0.0
rRNA	RNA5S16	SGI75460105	31325	RNA5S16	1423.364502	RNA5S16	0.0
rRNA	RNA5S17	SGI75460105	31326	RNA5S17	581.163513	RNA5S17	0.0
rRNA	RNA5S2	SGI75460105	31327	RNA5S2	566.725098	RNA5S2	0.0
rRNA	RNA5S3	SGI75460105	31328	RNA5S3	574.004517	RNA5S3	0.0
rRNA	RNA5S4	SGI75460105	31329	RNA5S4	610.280151	RNA5S4	0.0
rRNA	RNA5S5	SGI75460105	31330	RNA5S5	3394.281494	RNA5S5	0.0
rRNA	RNA5S6	SGI75460105	31331	RNA5S6	3603.657471	RNA5S6	0.0
rRNA	RNA5S7	SGI75460105	31332	RNA5S7	3550.240234	RNA5S7	0.0
rRNA	RNA5S8	SGI75460105	31333	RNA5S8	3507.728027	RNA5S8	0.0
rRNA	RNA5S9	SGI75460105	31334	RNA5S9	113.629723	RNA5S9	0.0
