Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
snRNA	LOC124900488	SGI75460105	18402	LOC124900488	0.0	LOC124900488	0.725138
snRNA	LOC124900516	SGI75460105	18423	LOC124900516	0.0161	LOC124900516	0.0
snRNA	LOC124900632	SGI75460105	18464	LOC124900632	0.0	LOC124900632	0.0
snRNA	LOC124900883	SGI75460105	18465	LOC124900883	0.0	LOC124900883	0.0
snRNA	LOC124900884	SGI75460105	18466	LOC124900884	0.0	LOC124900884	0.0
snRNA	LOC124900885	SGI75460105	18467	LOC124900885	0.0	LOC124900885	0.0
snRNA	LOC124900887	SGI75460105	18469	LOC124900887	0.0	LOC124900887	0.0
snRNA	LOC124900889	SGI75460105	18471	LOC124900889	0.0	LOC124900889	0.0
snRNA	LOC124900915	SGI75460105	18497	LOC124900915	0.224119	LOC124900915	0.0
snRNA	LOC124901190	SGI75460105	18512	LOC124901190	0.0	LOC124901190	0.0
snRNA	LOC124901191	SGI75460105	18513	LOC124901191	0.0	LOC124901191	0.0
snRNA	LOC124901192	SGI75460105	18514	LOC124901192	0.0	LOC124901192	0.177831
snRNA	LOC124901219	SGI75460105	18541	LOC124901219	0.0	LOC124901219	0.0
snRNA	LOC124901224	SGI75460105	18546	LOC124901224	0.0	LOC124901224	0.0
snRNA	LOC124901516	SGI75460105	18561	LOC124901516	0.0	LOC124901516	0.0
snRNA	LOC124901518	SGI75460105	18563	LOC124901518	0.0	LOC124901518	0.0
snRNA	LOC124901522	SGI75460105	18567	LOC124901522	0.0	LOC124901522	0.0
snRNA	LOC124901523	SGI75460105	18568	LOC124901523	0.0	LOC124901523	0.0
snRNA	LOC124901863	SGI75460105	18647	LOC124901863	0.0	LOC124901863	0.0
snRNA	LOC124902076	SGI75460105	18648	LOC124902076	0.0	LOC124902076	0.0
snRNA	LOC124902077	SGI75460105	18649	LOC124902077	0.034925	LOC124902077	0.106699
snRNA	LOC124902331	SGI75460105	18678	LOC124902331	0.0	LOC124902331	0.0
snRNA	LOC124902333	SGI75460105	18680	LOC124902333	0.0	LOC124902333	0.0
snRNA	LOC124902335	SGI75460105	18682	LOC124902335	0.0	LOC124902335	0.0
snRNA	LOC124902818	SGI75460105	18744	LOC124902818	0.0	LOC124902818	0.0
snRNA	LOC124902821	SGI75460105	18747	LOC124902821	0.0	LOC124902821	0.0
snRNA	LOC124903091	SGI75460105	18778	LOC124903091	0.0	LOC124903091	0.0
snRNA	LOC124903094	SGI75460105	18781	LOC124903094	0.0	LOC124903094	0.0
snRNA	LOC124903096	SGI75460105	18783	LOC124903096	0.0	LOC124903096	0.0
snRNA	LOC124903097	SGI75460105	18784	LOC124903097	0.0	LOC124903097	0.0
snRNA	LOC124903120	SGI75460105	18807	LOC124903120	0.0	LOC124903120	0.0
snRNA	LOC124903275	SGI75460105	18836	LOC124903275	0.0	LOC124903275	0.0
snRNA	LOC124903414	SGI75460105	18838	LOC124903414	0.0	LOC124903414	0.0
snRNA	LOC124903782	SGI75460105	18897	LOC124903782	0.0	LOC124903782	0.0
snRNA	LOC124904107	SGI75460105	18928	LOC124904107	0.0	LOC124904107	0.0
snRNA	LOC124904108	SGI75460105	18929	LOC124904108	0.0	LOC124904108	0.0
snRNA	LOC124904109	SGI75460105	18930	LOC124904109	0.0	LOC124904109	0.246228
snRNA	LOC124904111	SGI75460105	18932	LOC124904111	0.0	LOC124904111	0.0
snRNA	LOC124904112	SGI75460105	18933	LOC124904112	0.0	LOC124904112	0.0
snRNA	LOC124904122	SGI75460105	18943	LOC124904122	0.017618	LOC124904122	0.154136
snRNA	LOC124904135	SGI75460105	18956	LOC124904135	1104.503174	LOC124904135	0.0
snRNA	LOC124904136	SGI75460105	18957	LOC124904136	1120.460449	LOC124904136	0.0
snRNA	LOC124904137	SGI75460105	18958	LOC124904137	1119.376343	LOC124904137	0.0
snRNA	LOC124904138	SGI75460105	18959	LOC124904138	1136.528076	LOC124904138	0.0
snRNA	LOC124904139	SGI75460105	18960	LOC124904139	1120.395264	LOC124904139	0.0
snRNA	LOC124904140	SGI75460105	18961	LOC124904140	1126.533691	LOC124904140	0.0
snRNA	LOC124904141	SGI75460105	18962	LOC124904141	1577.216553	LOC124904141	0.0
snRNA	LOC124904142	SGI75460105	18963	LOC124904142	1277.682495	LOC124904142	0.0
snRNA	LOC124904143	SGI75460105	18964	LOC124904143	1.742788	LOC124904143	0.0
snRNA	LOC124904144	SGI75460105	18965	LOC124904144	1.447661	LOC124904144	0.0
