Gene Name,TPM,count,cpm
A1BG,0.008899,5.0,0.592024529707554
A1BG-AS1,0.0,0.0,0.0
A1CF,0.007887,5.0,0.592024529707554
A2M,0.770282,245.0,29.00920195567015
A2M-AS1,0.010691,3.0,0.35521471782453246
A2ML1,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0
A3GALT2,0.00389,4.0,0.4736196237660433
A4GALT,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0
AA06,0.0,0.0,0.0
AAAS,0.0,0.0,0.0
AACS,0.0,0.0,0.0
AACSP1,0.0,0.0,0.0
AADAC,0.0,0.0,0.0
AADACL2,6.3e-05,1.0,0.11840490594151082
AADACL2-AS1,0.004319,51.0,6.038650203017052
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0
AADAT,0.0,0.0,0.0
AAGAB,0.202725,45.0,5.328220767367986
AAK1,0.015728,90.0,10.656441534735972
AAMDC,0.0,0.0,0.0
AAMP,0.1733,22.0,2.6049079307132383
AANAT,0.0,0.0,0.0
AAR2,0.029356,6.0,0.7104294356490649
AARD,0.001816,1.0,0.11840490594151082
AARS1,0.057257,14.0,1.6576686831811513
AARS1P1,0.0,0.0,0.0
AARS2,0.048633,16.0,1.894478495064173
AARSD1,0.009903,10.0,1.184049059415108
AARSD1P1,0.0,0.0,0.0
AASDH,0.126304,32.0,3.788956990128346
AASDHPPT,0.007516,11.0,1.3024539653566192
AASS,0.0,0.0,0.0
AATBC,0.0,0.0,0.0
AATF,0.105067,15.0,1.7760735891226622
AATK,0.022134,73.0,8.64355813373029
ABALON,0.0,0.0,0.0
ABAT,0.079278,29.0,3.433742272303814
ABCA1,0.001431,15.0,1.7760735891226622
ABCA10,0.000841,6.0,0.7104294356490649
ABCA11P,0.021401,70.0,8.288343415905757
ABCA12,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0
ABCA17P,0.000819,5.0,0.592024529707554
ABCA2,0.002772,2.0,0.23680981188302164
ABCA3,0.000482,3.0,0.35521471782453246
ABCA3P1,0.00393,1.0,0.11840490594151082
ABCA4,0.0,0.0,0.0
ABCA5,0.016367,39.0,4.617791331718922
ABCA6,0.087553,32.0,3.788956990128346
ABCA7,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0
ABCA9,0.0,0.0,0.0
ABCA9-AS1,0.002987,3.0,0.35521471782453246
ABCB1,0.001384,20.0,2.368098118830216
ABCB10,0.396331,103.0,12.195705311975614
ABCB10P1,0.004154,2.0,0.23680981188302164
ABCB10P3,0.00664,2.0,0.23680981188302164
ABCB10P4,0.0,0.0,0.0
ABCB11,0.0,0.0,0.0
ABCB4,0.163306,47.0,5.565030579251008
ABCB5,0.002077,20.0,2.368098118830216
ABCB6,0.042277,11.0,1.3024539653566192
ABCB7,0.037475,81.0,9.590797381262375
ABCB8,0.002719,4.0,0.4736196237660433
ABCB9,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0
ABCC10,0.001165,1.0,0.11840490594151082
ABCC11,0.005411,3.0,0.35521471782453246
ABCC12,0.000266,2.0,0.23680981188302164
ABCC13,0.014532,27.0,3.196932460420792
ABCC2,0.0,0.0,0.0
ABCC3,0.019194,74.0,8.7619630396718
ABCC4,0.4863,190.0,22.496932128887057
ABCC5,0.003351,2.0,0.23680981188302164
ABCC5-AS1,0.0,0.0,0.0
ABCC6,0.0,0.0,0.0
ABCC6P1,0.000273,1.0,0.11840490594151082
ABCC6P2,0.0,0.0,0.0
ABCC8,0.002465,14.0,1.6576686831811513
ABCC9,0.034801,21.0,2.4865030247717272
ABCD1,0.0,0.0,0.0
ABCD1P1,0.0,0.0,0.0
ABCD1P2,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0
ABCD2,0.026118,11.0,1.3024539653566192
ABCD3,0.165255,40.0,4.736196237660432
ABCD4,0.199236,43.0,5.091410955484966
ABCE1,0.029858,21.0,2.4865030247717272
ABCF1,0.008463,12.0,1.4208588712981298
ABCF2,0.012097,6.0,0.7104294356490649
ABCF2-H2BK1,0.00079,2.0,0.23680981188302164
ABCF2P1,0.004658,1.0,0.11840490594151082
ABCF2P2,0.0,0.0,0.0
ABCF3,0.171722,29.0,3.433742272303814
ABCG1,0.0,0.0,0.0
ABCG2,0.08933,29.0,3.433742272303814
ABCG4,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0
ABCG8,0.009359,28.0,3.3153373663623027
ABHD1,0.0,0.0,0.0
ABHD10,0.022072,22.0,2.6049079307132383
ABHD11,0.0,0.0,0.0
ABHD11-AS1,0.0,0.0,0.0
ABHD12,0.199553,27.0,3.196932460420792
ABHD12B,0.0,0.0,0.0
ABHD13,0.067034,24.0,2.8417177425962596
ABHD14A,0.0,0.0,0.0
ABHD14A-ACY1,0.0,0.0,0.0
ABHD14B,0.068532,28.0,3.3153373663623027
ABHD15,0.006004,3.0,0.35521471782453246
ABHD16A,0.001475,2.0,0.23680981188302164
ABHD16B,0.0,0.0,0.0
ABHD17A,0.274685,35.0,4.144171707952879
ABHD17AP1,0.010629,3.0,0.35521471782453246
ABHD17AP3,0.010241,3.0,0.35521471782453246
ABHD17AP4,0.0,0.0,0.0
ABHD17AP5,0.0,0.0,0.0
ABHD17AP6,0.008747,3.0,0.35521471782453246
ABHD17AP7,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0
ABHD17B,0.154736,32.0,3.788956990128346
ABHD17C,0.0012,5.0,0.592024529707554
ABHD18,0.005111,26.0,3.0785275544792814
ABHD2,0.217779,129.0,15.274232866454895
ABHD3,0.017139,3.0,0.35521471782453246
ABHD4,0.000307,1.0,0.11840490594151082
ABHD5,0.670553,236.0,27.94355780219655
ABHD6,0.0,0.0,0.0
ABHD8,0.000619,1.0,0.11840490594151082
ABI1,0.452729,111.0,13.1429445595077
ABI1P1,0.016073,5.0,0.592024529707554
ABI2,0.097163,44.0,5.209815861426477
ABI3,0.363402,40.0,4.736196237660432
ABI3BP,0.0,0.0,0.0
ABITRAM,0.121955,16.0,1.894478495064173
ABITRAMP1,0.0,0.0,0.0
ABL1,0.003236,38.0,4.499386425777411
ABL2,0.011631,10.0,1.184049059415108
ABLIM1,0.188634,101.0,11.958895500092591
ABLIM2,0.0,0.0,0.0
ABLIM3,0.351898,98.0,11.60368078226806
ABO,0.001769,3.0,0.35521471782453246
ABR,0.060845,20.0,2.368098118830216
ABRA,0.0,0.0,0.0
ABRACL,2.112636,111.0,13.1429445595077
ABRAXAS1,0.281814,80.0,9.472392475320865
ABRAXAS2,0.22671,45.0,5.328220767367986
ABT1,0.072777,19.0,2.2496932128887055
ABT1P1,0.0,0.0,0.0
ABTB1,0.629359,83.0,9.827607193145397
ABTB2,0.000229,4.0,0.4736196237660433
ACAA1,0.0,0.0,0.0
ACAA2,0.096034,201.0,23.799386094243673
ACAA2P1,0.0,0.0,0.0
ACACA,0.007069,6.0,0.7104294356490649
ACACB,0.011286,8.0,0.9472392475320865
ACAD10,0.004107,20.0,2.368098118830216
ACAD11,0.0,0.0,0.0
ACAD8,0.0,0.0,0.0
ACAD9,0.002288,1.0,0.11840490594151082
ACADL,0.0,0.0,0.0
ACADM,0.212974,47.0,5.565030579251008
ACADS,0.006302,6.0,0.7104294356490649
ACADSB,0.020032,66.0,7.814723792139715
ACADVL,0.192693,30.0,3.5521471782453244
ACAN,0.0,0.0,0.0
ACAP1,0.0,0.0,0.0
ACAP2,1.035053,490.0,58.0184039113403
ACAP3,0.0,0.0,0.0
ACAT1,0.221644,61.0,7.22269926243216
