Gene Name	fr	rf	star
A1BG	5	5	6
A1BG-AS1	0	0	0
A1CF	5	5	6
A2M	245	245	253
A2M-AS1	3	3	3
A2ML1	0	0	0
A2MP1	0	0	2
A3GALT2	4	4	2
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	0	0	0
AACS	0	0	0
AACSP1	0	0	2
AADAC	0	0	0
AADACL2	1	1	0
AADACL2-AS1	51	52	57
AADACL3	0	0	2
AADACL4	0	0	0
AADACP1	0	0	10
AADAT	0	0	0
AAGAB	45	44	45
AAK1	90	88	80
AAMDC	0	0	0
AAMP	22	23	22
AANAT	0	0	7
AAR2	6	6	6
AARD	1	1	1
AARS1	14	14	14
AARS1P1	0	0	0
AARS2	16	16	17
AARSD1	10	6	3
AARSD1P1	0	0	0
AASDH	32	32	39
AASDHPPT	11	11	11
AASS	0	0	0
AATBC	0	0	0
AATF	15	15	29
AATK	73	73	29
ABALON	0	0	0
ABAT	29	29	29
ABCA1	15	15	12
ABCA10	6	6	4
ABCA11P	70	68	68
ABCA12	0	0	0
ABCA13	0	0	0
ABCA17P	5	5	7
ABCA2	2	2	0
ABCA3	3	2	4
ABCA3P1	1	1	0
ABCA4	0	0	0
ABCA5	39	38	11
ABCA6	32	32	34
ABCA7	0	0	0
ABCA8	0	0	1
ABCA9	0	0	0
ABCA9-AS1	3	3	3
ABCB1	20	21	25
ABCB10	103	92	119
ABCB10P1	2	1	0
ABCB10P3	2	1	0
ABCB10P4	0	2	0
ABCB11	0	0	0
ABCB4	47	47	48
ABCB5	20	20	18
ABCB6	11	11	6
ABCB7	81	79	93
ABCB8	4	4	2
ABCB9	0	0	0
ABCC1	0	0	0
ABCC10	1	1	0
ABCC11	3	3	0
ABCC12	2	0	2
ABCC13	27	29	454
ABCC2	0	0	0
ABCC3	74	74	9
ABCC4	190	190	204
ABCC5	2	2	2
ABCC5-AS1	0	0	1
ABCC6	0	0	0
ABCC6P1	1	2	0
ABCC6P2	0	0	0
ABCC8	14	15	14
ABCC9	21	21	19
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	11	11	0
ABCD3	40	40	42
ABCD4	43	43	45
ABCE1	21	21	80
ABCF1	12	12	83
ABCF2	6	6	2
ABCF2-H2BK1	2	2	2
ABCF2P1	1	1	0
ABCF2P2	0	0	0
ABCF3	29	29	30
ABCG1	0	0	1
ABCG2	29	29	29
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	28	28	30
ABHD1	0	0	0
ABHD10	22	22	22
ABHD11	0	0	0
ABHD11-AS1	0	0	0
ABHD12	27	27	27
ABHD12B	0	0	0
ABHD13	24	24	24
ABHD14A	0	0	0
ABHD14A-ACY1	0	0	1
ABHD14B	28	28	109
ABHD15	3	3	3
ABHD16A	2	2	12
ABHD16B	0	0	2
ABHD17A	35	38	41
ABHD17AP1	3	2	0
ABHD17AP3	3	3	3
ABHD17AP4	0	0	0
ABHD17AP5	0	0	0
ABHD17AP6	3	0	0
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	32	32	32
ABHD17C	5	6	1
ABHD18	26	25	23
ABHD2	129	129	128
ABHD3	3	3	4
ABHD4	1	1	1
ABHD5	236	236	241
ABHD6	0	0	0
ABHD8	1	0	3
ABI1	111	111	113
ABI1P1	5	0	0
ABI2	44	44	44
ABI3	40	40	40
ABI3BP	0	0	1
ABITRAM	16	16	16
ABITRAMP1	0	0	0
ABL1	38	38	43
ABL2	10	10	6
ABLIM1	101	101	113
ABLIM2	0	0	1
ABLIM3	98	98	104
ABO	3	3	1
ABR	20	20	96
ABRA	0	0	0
ABRACL	111	111	111
ABRAXAS1	80	80	85
ABRAXAS2	45	45	46
ABT1	19	19	0
ABT1P1	0	0	0
ABTB1	83	83	92
ABTB2	4	3	12
ACAA1	0	0	0
ACAA2	201	202	167
ACAA2P1	0	0	0
ACACA	6	6	20
ACACB	8	8	7
ACAD10	20	20	16
