Gene type	Gene Name	fr	rf	star
pseudo	A2MP1	0	0	2
pseudo	AA06	0	0	0
pseudo	AACSP1	0	0	2
pseudo	AADACP1	0	0	10
pseudo	AARS1P1	0	0	0
pseudo	AARSD1P1	0	0	0
pseudo	ABCA11P	70	68	68
pseudo	ABCA17P	5	5	7
pseudo	ABCA3P1	1	1	0
pseudo	ABCB10P1	2	1	0
pseudo	ABCB10P3	2	1	0
pseudo	ABCB10P4	0	2	0
pseudo	ABCC13	27	29	454
pseudo	ABCC6P1	1	2	0
pseudo	ABCC6P2	0	0	0
pseudo	ABCD1P1	0	0	0
pseudo	ABCD1P2	0	0	0
pseudo	ABCD1P3	0	0	0
pseudo	ABCD1P4	0	0	0
pseudo	ABCD1P5	0	0	0
pseudo	ABCF2P1	1	1	0
pseudo	ABCF2P2	0	0	0
pseudo	ABHD17AP1	3	2	0
pseudo	ABHD17AP3	3	3	3
pseudo	ABHD17AP4	0	0	0
pseudo	ABHD17AP5	0	0	0
pseudo	ABHD17AP6	3	0	0
pseudo	ABHD17AP7	0	0	0
pseudo	ABHD17AP8	0	0	0
pseudo	ABHD17AP9	0	0	0
pseudo	ABI1P1	5	0	0
pseudo	ABITRAMP1	0	0	0
pseudo	ABT1P1	0	0	0
pseudo	ACAA2P1	0	0	0
pseudo	ACE3P	1	0	0
pseudo	ACER2P1	0	0	0
pseudo	ACKR4P1	4	4	0
pseudo	ACNATP	0	0	0
pseudo	ACRP1	0	0	0
pseudo	ACSM5P1	0	0	3
pseudo	ACTBP1	0	0	2
pseudo	ACTBP10	1	1	0
pseudo	ACTBP11	0	0	1
pseudo	ACTBP12	0	0	0
pseudo	ACTBP14	0	0	0
pseudo	ACTBP15	0	0	0
pseudo	ACTBP2	4	6	8
pseudo	ACTBP3	0	0	0
pseudo	ACTBP4	1	1	1
pseudo	ACTBP6	0	0	0
pseudo	ACTBP7	0	0	0
pseudo	ACTBP8	1	1	0
pseudo	ACTBP9	0	0	2
pseudo	ACTG1P1	1	1	0
pseudo	ACTG1P10	0	0	24
pseudo	ACTG1P11	0	0	0
pseudo	ACTG1P12	0	0	0
pseudo	ACTG1P13	0	0	0
pseudo	ACTG1P14	0	0	0
pseudo	ACTG1P15	0	0	0
pseudo	ACTG1P16	0	0	0
pseudo	ACTG1P17	0	0	0
pseudo	ACTG1P18	0	0	0
pseudo	ACTG1P19	0	0	0
pseudo	ACTG1P2	0	1	0
pseudo	ACTG1P20	0	0	0
pseudo	ACTG1P21	0	0	0
pseudo	ACTG1P22	0	0	0
pseudo	ACTG1P23	3	0	1
pseudo	ACTG1P24	1	1	0
pseudo	ACTG1P25	0	0	0
pseudo	ACTG1P3	0	0	0
pseudo	ACTG1P4	1	1	0
pseudo	ACTG1P9	0	0	0
pseudo	ACTL11P	0	0	0
pseudo	ACTN4P1	0	0	0
pseudo	ACTP1	0	0	0
pseudo	ACTR1AP1	0	0	0
pseudo	ACTR3BP1	0	0	0
pseudo	ACTR3BP2	0	0	0
pseudo	ACTR3BP3	0	0	0
pseudo	ACTR3BP4	0	0	0
pseudo	ACTR3BP5	0	0	0
pseudo	ACTR3BP6	0	0	0
pseudo	ACTR3BP7	0	0	0
pseudo	ACTR3P1	0	0	6
pseudo	ACTR3P2	2	2	0
pseudo	ACTR3P3	0	0	0
pseudo	ACTR6P1	0	0	0
pseudo	ACTRT1P1	0	0	0
pseudo	ADAD1P1	0	0	0
pseudo	ADAD1P2	0	0	0
pseudo	ADAM1A	1	1	1
pseudo	ADAM1B	0	0	0
pseudo	ADAM20P1	1	1	1
pseudo	ADAM20P2	0	0	0
pseudo	ADAM20P3	0	0	0
pseudo	ADAM21P1	0	0	0
pseudo	ADAM24P	0	0	1
pseudo	ADAM3A	2	3	1
pseudo	ADAM3B	0	0	1
pseudo	ADAM5	2	2	0
pseudo	ADAM6	0	0	0
pseudo	ADAMTS7P1	3	4	0
pseudo	ADAMTS7P3	0	0	0
pseudo	ADAMTS7P4	2	1	0
pseudo	ADCY10P1	14	14	16
pseudo	ADGRA3P1	0	0	0
pseudo	ADGRE4P	1	1	2
pseudo	ADGRF5P1	0	0	0
pseudo	ADGRF5P2	0	0	0
pseudo	ADH5P2	0	0	0
pseudo	ADH5P3	0	0	0
pseudo	ADH5P4	8	8	0
pseudo	ADH5P5	0	0	0
pseudo	ADI1P1	8	8	8
pseudo	ADI1P2	0	0	0
pseudo	ADI1P3	0	0	0
pseudo	ADIPOR1P1	0	0	0
pseudo	ADIPOR1P2	1	1	1
pseudo	ADORA2BP1	0	0	0
pseudo	AFG3L1P	3	3	3
pseudo	AFG3L2P1	4	4	2
pseudo	AGAP10P	2	3	0
pseudo	AGAP12P	1	2	2
pseudo	AGAP13P	6	2	0
pseudo	AGAP14P	3	4	0
pseudo	AGAP7P	12	12	0
pseudo	AGGF1P1	0	0	0
pseudo	AGGF1P10	0	0	0
pseudo	AGGF1P2	0	0	0
pseudo	AGGF1P3	1	1	0
pseudo	AGGF1P4	0	0	0
pseudo	AGGF1P5	0	0	0
pseudo	AGGF1P6	1	1	0
pseudo	AGGF1P7	0	0	0
pseudo	AGGF1P8	0	0	0
pseudo	AGGF1P9	0	0	0
pseudo	AGKP1	0	0	0
pseudo	AGKP2	0	0	0
pseudo	AGPAT5P1	0	0	2
pseudo	AHCTF1P1	8	9	10
pseudo	AHCYP1	0	0	0
pseudo	AHCYP2	0	0	0
pseudo	AHCYP3	0	0	0
pseudo	AHCYP4	0	0	0
pseudo	AHCYP5	0	0	0
pseudo	AHCYP6	0	0	1
pseudo	AHCYP7	0	0	0
pseudo	AHCYP8	0	0	0
pseudo	AHSA2P	14	13	122
pseudo	AIDAP1	29	2	0
pseudo	AIDAP2	5	0	0
pseudo	AIDAP3	0	0	0
pseudo	AIFM1P1	0	0	1
pseudo	AIG1P1	0	0	0
pseudo	AIMP1P1	2	2	0
pseudo	AIMP1P2	0	0	0
pseudo	AK2P1	3	3	0
pseudo	AK2P2	0	0	0
pseudo	AK3P2	0	0	0
pseudo	AK3P3	0	0	0
pseudo	AK3P4	0	0	0
