Gene type	Gene Name	fr	rf	star
tRNA	TRA-AGC10-1	0	0	0
tRNA	TRA-AGC1-1	1	1	0
tRNA	TRA-AGC11-1	12	12	18
tRNA	TRA-AGC12-1	0	0	0
tRNA	TRA-AGC12-3	0	0	0
tRNA	TRA-AGC13-2	0	0	0
tRNA	TRA-AGC14-1	0	0	0
tRNA	TRA-AGC14-2	0	0	0
tRNA	TRA-AGC15-1	0	0	1
tRNA	TRA-AGC2-1	12	3	0
tRNA	TRA-AGC2-2	28	32	0
tRNA	TRA-AGC24-1	0	0	0
tRNA	TRA-AGC3-1	23	24	0
tRNA	TRA-AGC4-1	38	38	0
tRNA	TRA-AGC5-1	1	1	0
tRNA	TRA-AGC6-1	0	0	0
tRNA	TRA-AGC7-1	7	7	0
tRNA	TRA-AGC8-1	94	96	283
tRNA	TRA-AGC8-2	29	26	8
tRNA	TRA-AGC9-1	1	1	0
tRNA	TRA-CGC1-1	34	35	0
tRNA	TRA-CGC2-1	170	170	1
tRNA	TRA-CGC3-1	11	11	24
tRNA	TRA-CGC4-1	3	3	0
tRNA	TRA-TGC1-1	3	3	0
tRNA	TRA-TGC2-1	34	34	1
tRNA	TRA-TGC3-1	102	101	8
tRNA	TRA-TGC3-2	249	249	46
tRNA	TRA-TGC4-1	449	449	517
tRNA	TRA-TGC5-1	2	2	0
tRNA	TRA-TGC6-1	1	1	0
tRNA	TRA-TGC7-1	0	0	0
tRNA	TRC-GCA10-1	1	0	0
tRNA	TRC-GCA1-1	1	1	2
tRNA	TRC-GCA11-1	4	4	3
tRNA	TRC-GCA12-1	1	1	2
tRNA	TRC-GCA13-1	1	1	1
tRNA	TRC-GCA14-1	4	4	3
tRNA	TRC-GCA15-1	0	0	0
tRNA	TRC-GCA16-1	0	0	0
tRNA	TRC-GCA17-1	5	5	2
tRNA	TRC-GCA18-1	1	0	2
tRNA	TRC-GCA19-1	3	2	2
tRNA	TRC-GCA20-1	1	1	0
tRNA	TRC-GCA2-1	16	17	1
tRNA	TRC-GCA21-1	0	1	1
tRNA	TRC-GCA2-2	28	28	17
tRNA	TRC-GCA22-1	1	1	0
tRNA	TRC-GCA2-3	18	20	9
tRNA	TRC-GCA23-1	4	2	2
tRNA	TRC-GCA2-4	34	33	28
tRNA	TRC-GCA3-1	2	0	2
tRNA	TRC-GCA4-1	66	68	106
tRNA	TRC-GCA5-1	4	4	4
tRNA	TRC-GCA6-1	1	0	0
tRNA	TRC-GCA7-1	4	4	9
tRNA	TRC-GCA8-1	3	3	1
tRNA	TRC-GCA9-1	1	0	0
tRNA	TRC-GCA9-2	1	0	0
tRNA	TRC-GCA9-3	1	0	0
tRNA	TRC-GCA9-4	1	0	0
tRNA	TRD-GTC1-1	5363	5355	6243
tRNA	TRD-GTC2-1	8373	10720	0
tRNA	TRD-GTC2-10	163	160	21
tRNA	TRD-GTC2-11	5634	6352	2
tRNA	TRD-GTC2-2	9498	11796	0
tRNA	TRD-GTC2-3	10548	12350	0
tRNA	TRD-GTC2-4	12428	13245	0
tRNA	TRD-GTC2-5	12928	12807	0
tRNA	TRD-GTC2-6	4001	5174	11
tRNA	TRD-GTC2-7	8050	7827	1483
tRNA	TRD-GTC2-8	3499	3584	70
tRNA	TRD-GTC2-9	4234	4299	46
tRNA	TRD-GTC3-1	21	111	33
tRNA	TRE-CTC1-1	1553	1584	220
tRNA	TRE-CTC1-2	7834	12068	0
tRNA	TRE-CTC1-3	8975	12686	0
tRNA	TRE-CTC1-4	11478	13927	0
tRNA	TRE-CTC1-5	15513	15386	0
tRNA	TRE-CTC1-6	1447	1476	0
tRNA	TRE-CTC1-7	2988	3125	35
tRNA	TRE-CTC2-1	107	105	187
tRNA	TRE-TTC1-1	3475	3467	582
tRNA	TRE-TTC1-2	3474	3484	59
tRNA	TRE-TTC2-1	49439	50321	31203
tRNA	TRE-TTC2-2	5492	4655	2032
tRNA	TRE-TTC3-1	139	81	0
tRNA	TRE-TTC4-1	390	394	0
tRNA	TRE-TTC4-2	440	447	31
tRNA	TRF-GAA1-1	1	1	0
tRNA	TRF-GAA1-2	2	2	0
tRNA	TRF-GAA1-3	16	10	0
tRNA	TRF-GAA1-4	211	230	287
tRNA	TRF-GAA1-5	1	1	2
tRNA	TRF-GAA1-6	23	14	3
tRNA	TRF-GAA2-1	1	1	0
tRNA	TRF-GAA3-1	1	1	0
tRNA	TRF-GAA4-1	1	0	0
tRNA	TRF-GAA5-1	1	1	1
tRNA	TRF-GAA6-1	0	0	0
tRNA	TRG-CCC1-1	168	204	0
tRNA	TRG-CCC1-2	21	27	2
tRNA	TRG-CCC2-1	1245	559	203
tRNA	TRG-CCC2-2	7047	7759	6223
tRNA	TRG-CCC3-1	0	0	1
tRNA	TRG-CCC4-1	5	3	15
tRNA	TRG-CCC5-1	1	1	0
tRNA	TRG-CCC6-1	7	5	7
tRNA	TRG-GCC1-1	347	402	0
tRNA	TRG-GCC1-2	402	441	0
tRNA	TRG-GCC1-3	471	488	0
tRNA	TRG-GCC1-4	554	512	0
tRNA	TRG-GCC1-5	527	469	37
tRNA	TRG-GCC2-1	12502	13592	781
tRNA	TRG-GCC2-2	173	147	138
tRNA	TRG-GCC2-3	3614	3245	45
tRNA	TRG-GCC2-4	1479	897	384
tRNA	TRG-GCC2-5	743	320	27
tRNA	TRG-GCC2-6	5281	5350	168
tRNA	TRG-GCC3-1	606	234	462
tRNA	TRG-GCC4-1	1	1	2
tRNA	TRG-TCC1-1	2172	2181	3180
tRNA	TRG-TCC2-1	34	38	15
tRNA	TRG-TCC2-2	389	525	0
tRNA	TRG-TCC2-3	419	544	0
tRNA	TRG-TCC2-4	504	590	0
tRNA	TRG-TCC2-5	639	625	0
tRNA	TRG-TCC2-6	501	533	89
tRNA	TRG-TCC3-1	1127	1136	1270
tRNA	TRG-TCC4-1	2	2	7
tRNA	TRH-GTG1-1	60	16	0
tRNA	TRH-GTG1-2	62	18	5
tRNA	TRH-GTG1-3	62	18	0
tRNA	TRH-GTG1-4	213	41	3
tRNA	TRH-GTG1-5	62	18	6
tRNA	TRH-GTG1-6	314	18	2
tRNA	TRH-GTG1-7	284	229	172
tRNA	TRH-GTG1-8	438	250	167
tRNA	TRH-GTG1-9	67	362	2
tRNA	TRI-AAT1-1	107	108	635
tRNA	TRI-AAT2-1	16	13	6
tRNA	TRI-AAT3-1	30	27	27
tRNA	TRI-AAT4-1	16	16	22
tRNA	TRI-AAT5-1	16	16	0
tRNA	TRI-AAT5-2	27	11	6
tRNA	TRI-AAT5-3	250	245	6
tRNA	TRI-AAT5-4	16	22	2
tRNA	TRI-AAT5-5	21	28	1
tRNA	TRI-AAT6-1	1	1	2
tRNA	TRI-AAT7-1	9	6	4
tRNA	TRI-AAT7-2	3	2	0
tRNA	TRI-AAT8-1	214	240	0
tRNA	TRI-AAT9-1	1	1	6
tRNA	TRI-GAT1-1	2	1	0
tRNA	TRI-GAT1-2	2	2	0
tRNA	TRI-GAT1-3	2	2	0
tRNA	TRI-TAT1-1	20	20	36
tRNA	TRI-TAT2-1	36	36	35
tRNA	TRI-TAT2-2	0	0	2
tRNA	TRI-TAT2-3	1	1	2
tRNA	TRI-TAT3-1	1	1	3
tRNA	TRK-CTT1-1	9523	9598	8862
tRNA	TRK-CTT1-2	940	830	71
tRNA	TRK-CTT2-1	727	737	44
tRNA	TRK-CTT2-2	119	121	132
tRNA	TRK-CTT2-3	645	570	144
tRNA	TRK-CTT2-4	706	719	1
tRNA	TRK-CTT2-5	283	304	211
tRNA	TRK-CTT3-1	221	167	2
tRNA	TRK-CTT4-1	125	149	176
tRNA	TRK-CTT5-1	3	3	2
tRNA	TRK-CTT6-1	29	17	13
tRNA	TRK-CTT7-1	1	1	1
tRNA	TRK-CTT8-1	1	1	2
tRNA	TRK-CTT9-1	0	0	2
tRNA	TRK-TTT1-1	26	26	92
tRNA	TRK-TTT2-1	11	11	5
tRNA	TRK-TTT3-1	257	182	11
tRNA	TRK-TTT3-2	424	538	5
tRNA	TRK-TTT3-3	32	30	1
tRNA	TRK-TTT3-4	235	227	1
tRNA	TRK-TTT3-5	5	6	123
tRNA	TRK-TTT4-1	9	5	110
tRNA	TRK-TTT5-1	37	33	23
tRNA	TRK-TTT6-1	16	14	102
tRNA	TRK-TTT7-1	1	1	0
tRNA	TRK-TTT8-1	1	1	0
tRNA	TRK-TTT9-1	0	0	2
tRNA	TRL-AAG1-1	2	1	1
tRNA	TRL-AAG1-2	7	7	0
tRNA	TRL-AAG1-3	30	30	1
tRNA	TRL-AAG2-1	89	97	1
tRNA	TRL-AAG2-2	28	24	0
tRNA	TRL-AAG2-3	32	24	26
tRNA	TRL-AAG2-4	3	3	1
tRNA	TRL-AAG3-1	1	1	0
tRNA	TRL-AAG4-1	5	1	2
tRNA	TRL-CAA1-1	6	6	2
tRNA	TRL-CAA1-2	4	3	0
tRNA	TRL-CAA2-1	1	1	3
tRNA	TRL-CAA3-1	1	1	2
tRNA	TRL-CAA4-1	25	25	36
tRNA	TRL-CAA5-1	0	0	0
tRNA	TRL-CAA6-1	0	0	0
tRNA	TRL-CAG1-1	14	13	0
tRNA	TRL-CAG1-2	15	15	0
tRNA	TRL-CAG1-3	16	16	0
tRNA	TRL-CAG1-4	17	16	0
tRNA	TRL-CAG1-5	13	13	0
tRNA	TRL-CAG1-6	86	86	6
tRNA	TRL-CAG1-7	7	7	0
tRNA	TRL-CAG2-1	7	7	3
tRNA	TRL-CAG2-2	16	16	6
tRNA	TRL-TAA1-1	41	41	46
tRNA	TRL-TAA2-1	0	0	2
tRNA	TRL-TAA3-1	2	2	4
tRNA	TRL-TAA4-1	0	0	7
tRNA	TRL-TAG1-1	10	10	9
tRNA	TRL-TAG2-1	16	8	34
tRNA	TRL-TAG3-1	68	69	5
