Gene Name	fr	rf	star
A1BG	9.255272454	9.297062285	12.37037562
A1BG-AS1	1.392386121	1.398673087	1.642940512
A1CF	0.245715198	0.246824662	0.289930679
A2M	31.12392507	31.26445724	37.88427533
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	0	0	0
A3GALT2	0.327620264	0.32909955	0
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0.081905066	0.082274887	0
AAAS	3.603822903	3.620095049	0.289930679
AACS	0.327620264	0.32909955	0.289930679
AACSP1	4.340968496	3.949194599	4.638890857
AADAC	1.146670924	1.151848425	1.353009833
AADACL2	3.194297573	3.208720612	2.319445428
AADACL2-AS1	7.289550871	7.075640323	6.571762047
AADACL3	0.081905066	0.082274887	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	0	0	0
AAGAB	6.388595145	6.417441223	7.538197642
AAK1	19.0019753	18.92322412	35.95140414
AAMDC	0.655240528	0.6581991	0.773148476
AAMP	2.293341847	2.303696849	1.93287119
AANAT	0	0	0.483217798
AAR2	7.780981267	7.81611431	8.987851035
AARD	0	0	0.09664356
AARS1	2.211436781	2.221421962	2.512732547
AARS1P1	0	0	0
AARS2	0.573335462	0.575924212	0.289930679
AARSD1	0.491430396	0.411374437	0.193287119
AARSD1P1	0	0	0
AASDH	0.327620264	0.32909955	0.193287119
AASDHPPT	16.135298	16.20815283	18.36227631
AASS	0	0	0
AATBC	1.310481055	1.3163982	1.546296952
AATF	0.081905066	0.082274887	14.49653393
AATK	0.900955726	1.151848425	0.579861357
ABALON	0	0	0
ABAT	4.013348232	4.031469486	4.638890857
ABCA1	0.982860792	1.069573537	3.092593904
ABCA10	1.801911451	1.727772637	1.836227631
ABCA11P	9.500987652	9.050237622	11.30729646
ABCA12	0.491430396	0.493649325	0.579861357
ABCA13	3.276202639	3.290995499	3.769098821
ABCA17P	4.66858876	4.854218361	2.609376107
ABCA2	0	0	0
ABCA3	0.81905066	0.822748875	0.773148476
