Gene Name	fr	rf	star
A1BG	0.216279	0.217368	0.323792
A1BG-AS1	0.08392	0.08424	0.110994
A1CF	0.003561	0.003571	0.00471
A2M	1.275405	1.278948	1.739953
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	0	0	0
A3GALT2	0.003865	0.003875	0
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0.002913	0.001702	0
AAAS	0.049344	0.049103	0.003724
AACS	0.015704	0.015747	0.013501
AACSP1	0.015793	0.014258	0.018792
AADAC	0.134944	0.135319	0.184608
AADACL2	0.022263	0.022325	0.018317
AADACL2-AS1	0.008004	0.007744	0.008022
AADACL3	0.000539	0.00054	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	0	0	0
AAGAB	0.377727	0.378776	0.499585
AAK1	0.124343	0.124357	0.044025
AAMDC	0.166086	0.166548	0.238429
AAMP	0.073959	0.074164	0.068089
AANAT	0	0	0.006084
AAR2	0.62654	0.62828	0.810365
AARD	0	0	0.001391
AARS1	0.123768	0.124112	0.15976
AARS1P1	0	0	0
AARS2	0.021092	0.021328	0.010454
AARSD1	0.006726	0.005525	0.001659
AARSD1P1	0	0	0
AASDH	0.016707	0.016754	0.010744
AASDHPPT	0.149541	0.149956	0.190671
AASS	0	0	0
AATBC	0.037354	0.037458	0.049404
AATF	0.006974	0.006994	1.534621
AATK	0.00333	0.004341	0.002464
ABALON	0	0	0
ABAT	0.140416	0.140806	0.183034
ABCA1	0.001265	0.001314	0.004592
ABCA10	0.003616	0.003331	0.0041
ABCA11P	0.037957	0.036025	0.050613
ABCA12	0.008591	0.008615	0.011362
ABCA13	0.036756	0.036858	0.047138
ABCA17P	0.010502	0.010896	0.006425
ABCA2	0	0	0
ABCA3	0.002283	0.002266	0.002486
ABCA3P1	0	0	0
ABCA4	0	0	0
ABCA5	0.030692	0.029724	0.033161
ABCA6	0.118956	0.119287	0.192019
ABCA7	0.423471	0.424647	0.579023
ABCA8	0.006496	0.006514	0.010422
ABCA9	0	0	0
ABCA9-AS1	0.021696	0.021756	0.028696
ABCB1	0.01565	0.015636	0.019081
ABCB10	1.511089	1.552194	2.007854
ABCB10P1	0.0011	0.002532	0
ABCB10P3	0.001487	0.002609	0
ABCB10P4	0.020278	0.001118	0
ABCB11	0	0	0
ABCB4	0.044891	0.045016	0.057806
ABCB5	0.010631	0.011409	0.009388
ABCB6	0.146756	0.148593	0.223282
ABCB7	0.124636	0.125158	0.320938
ABCB8	0.001455	0.001459	0.003134
ABCB9	0	0	0
ABCC1	0	0	0.067326
ABCC10	0	0	0
ABCC11	0.003399	0.003408	0
ABCC12	0.008053	0.008075	0.003541
ABCC13	0.041414	0.041676	0.0488
ABCC2	0	0	0
ABCC3	0.057023	0.05645	0.039032
ABCC4	1.05056	1.053478	1.450181
ABCC5	0.070247	0.070442	0.102882
ABCC5-AS1	0	0	0.003105
ABCC6	0	0	0
ABCC6P1	0	0	0
ABCC6P2	0.001435	0.001439	0
ABCC8	0.005313	0.00478	0.006548
ABCC9	0.056254	0.05641	0.075358
ABCD1	0.005749	0.005765	0.014208
ABCD1P1	0.006753	0.006772	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0.123887	0.082821	0.163854
ABCD2	0.154519	0.154948	0.204369
ABCD3	0.29715	0.297976	0.418179
ABCD4	0.026315	0.026388	0.034805
ABCE1	0.462994	0.436968	2.176433
ABCF1	0.024683	0.024902	0.6843
ABCF2	0.012146	0.012038	0.019019
ABCF2-H2BK1	0.009494	0.009409	0.014906
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	0.236596	0.237253	0.31804
ABCG1	0.067555	0.067743	0.091698
ABCG2	0.447591	0.448834	0.644623
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	0.011411	0.011443	0.01311
ABHD1	0	0	0
ABHD10	0.146206	0.14831	0.381837
