Gene type	Gene Name	fr	rf	star
snRNA	LOC124900488	0	0	0
snRNA	LOC124900516	0	0	0
snRNA	LOC124900632	0	0	0
snRNA	LOC124900883	0	0	0
snRNA	LOC124900884	0	0	0
snRNA	LOC124900885	0	0	0
snRNA	LOC124900887	0	0	0
snRNA	LOC124900889	0	0	0
snRNA	LOC124900915	9	10	9
snRNA	LOC124901190	0	0	0
snRNA	LOC124901191	0	0	0
snRNA	LOC124901192	0	0	0
snRNA	LOC124901219	0	0	0
snRNA	LOC124901224	0	0	0
snRNA	LOC124901516	0	0	0
snRNA	LOC124901518	0	0	0
snRNA	LOC124901522	0	0	0
snRNA	LOC124901523	0	0	0
snRNA	LOC124901863	0	0	0
snRNA	LOC124902076	0	0	0
snRNA	LOC124902077	0	0	0
snRNA	LOC124902331	0	0	0
snRNA	LOC124902333	0	0	0
snRNA	LOC124902335	0	0	0
snRNA	LOC124902818	0	0	0
snRNA	LOC124902821	0	0	0
snRNA	LOC124903091	0	0	0
snRNA	LOC124903094	0	0	0
snRNA	LOC124903096	0	0	0
snRNA	LOC124903097	0	0	0
snRNA	LOC124903120	0	0	0
snRNA	LOC124903275	0	0	0
snRNA	LOC124903414	0	0	0
snRNA	LOC124903782	0	0	0
snRNA	LOC124904107	0	0	0
snRNA	LOC124904108	0	0	0
snRNA	LOC124904109	0	0	0
snRNA	LOC124904111	0	0	0
snRNA	LOC124904112	0	0	0
snRNA	LOC124904122	0	0	61
snRNA	LOC124904135	13016	16249	0
snRNA	LOC124904136	13263	16158	0
snRNA	LOC124904137	13140	15818	0
snRNA	LOC124904138	13171	15605	0
snRNA	LOC124904139	12980	15306	0
snRNA	LOC124904140	13010	15327	0
snRNA	LOC124904141	14146	14092	0
snRNA	LOC124904142	8089	8814	0
snRNA	LOC124904143	7615	9468	0
snRNA	LOC124904144	7635	9483	0
snRNA	LOC124904145	8018	4793	344
snRNA	LOC124904146	4455	10222	12
snRNA	LOC124904147	0	0	0
snRNA	LOC124904364	0	0	0
snRNA	LOC124904613	2395	133	38
snRNA	LOC124904616	11167	6691	0
snRNA	LOC124904619	1524	1382	1314
snRNA	LOC124904621	479	479	482
snRNA	LOC124904624	1	1	0
snRNA	LOC124904627	4	4	4
snRNA	LOC124904631	0	0	0
snRNA	LOC124904634	0	0	0
snRNA	LOC124904651	0	0	0
snRNA	LOC124904694	0	0	0
snRNA	LOC124904697	0	0	0
snRNA	LOC124904706	0	0	0
snRNA	LOC124904727	0	0	0
snRNA	LOC124904732	0	0	0
snRNA	LOC124904741	0	0	0
snRNA	LOC124904748	0	0	0
snRNA	LOC124904756	0	0	0
snRNA	LOC124904769	0	0	0
snRNA	LOC124904986	0	0	0
snRNA	LOC124905062	0	0	0
snRNA	LOC124905168	0	0	0
snRNA	LOC124905169	0	0	0
snRNA	LOC124905170	0	0	0
snRNA	LOC124905264	0	0	0
snRNA	LOC124905265	0	0	0
snRNA	LOC124905307	0	0	0
snRNA	LOC124906135	0	0	0
snRNA	LOC124906137	0	0	0
snRNA	LOC124906338	2	2	0
snRNA	LOC124906342	0	0	0
snRNA	LOC124906343	0	0	0
snRNA	RN7SK	22319	18046	22790
snRNA	RNU11	9979	9980	6168
snRNA	RNU1-1	109528	133326	4
snRNA	RNU12	5971	5971	5933
snRNA	RNU1-2	35566	19923	3
snRNA	RNU1-3	110022	127729	0
snRNA	RNU1-4	2009	17699	0
snRNA	RNU2-1	12460	16992	0
snRNA	RNU4-1	4234	4554	4808
snRNA	RNU4-2	16180	16134	11843
snRNA	RNU4ATAC	935	935	902
snRNA	RNU5A-1	59	59	86
snRNA	RNU5B-1	56	56	84
snRNA	RNU5D-1	4	4	4
snRNA	RNU5E-1	6	7	39
snRNA	RNU5F-1	9	9	9
snRNA	RNU6-1	1294	1323	0
snRNA	RNU6-2	2373	1738	579
snRNA	RNU6-7	13	16	0
snRNA	RNU6-8	31	22	0
snRNA	RNU6-9	1104	585	592
snRNA	RNU6ATAC	273	274	270
snRNA	RNU7-1	4	4	40
snRNA	RNVU1-1	3	6	3
snRNA	RNVU1-14	33	33	33
snRNA	RNVU1-15	24	24	11
snRNA	RNVU1-17	14	11	9
snRNA	RNVU1-18	49350	3212	197
snRNA	RNVU1-19	27	28	0
snRNA	RNVU1-2A	14	21	0
snRNA	RNVU1-3	0	0	0
snRNA	RNVU1-4	0	0	0
snRNA	RNVU1-6	28	28	36
snRNA	RNVU1-7	26941	2493	24394
snRNA	RNVU1-8	9	9	8
snRNA	SNAR-A1	4	3	0
snRNA	SNAR-A10	15	15	0
snRNA	SNAR-A11	15	17	0
snRNA	SNAR-A12	0	0	0
snRNA	SNAR-A13	0	0	0
snRNA	SNAR-A14	1	2	0
snRNA	SNAR-A2	3	4	0
snRNA	SNAR-A3	3	3	0
snRNA	SNAR-A4	1	2	0
snRNA	SNAR-A5	14	2	0
snRNA	SNAR-A6	13	2	0
snRNA	SNAR-A7	10	17	0
snRNA	SNAR-A8	11	16	0
snRNA	SNAR-A9	10	16	0
snRNA	SNAR-B1	0	0	0
snRNA	SNAR-B2	0	0	0
snRNA	SNAR-C1	0	0	0
snRNA	SNAR-C2	0	0	0
snRNA	SNAR-C3	0	0	0
snRNA	SNAR-C4	0	0	0
snRNA	SNAR-C5	0	0	0
snRNA	SNAR-D	0	0	0
snRNA	SNAR-E	0	0	0
snRNA	SNAR-F	0	0	0
snRNA	SNAR-G1	0	0	0
snRNA	SNAR-G2	0	0	0
snRNA	SNAR-H	0	0	0
snRNA	SNAR-I	0	0	0
