Gene Name	fr	rf	star
A1BG	20	20	20
A1BG-AS1	0	0	0
A1CF	3	3	3
A2M	99	99	102
A2M-AS1	2	2	0
A2ML1	0	0	0
A2MP1	30	30	164
A3GALT2	22	22	25
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	1
AAAS	5	6	6
AACS	0	0	0
AACSP1	7	7	21
AADAC	0	0	0
AADACL2	2	2	0
AADACL2-AS1	22	22	162
AADACL3	19	19	11
AADACL4	0	0	0
AADACP1	19	19	19
AADAT	0	0	0
AAGAB	66	66	95
AAK1	74	72	57
AAMDC	1	1	1
AAMP	38	38	34
AANAT	464	451	450
AAR2	6	6	6
AARD	4	3	2
AARS1	10	10	10
AARS1P1	0	0	0
AARS2	1	1	1
AARSD1	0	0	0
AARSD1P1	0	0	0
AASDH	9	9	8
AASDHPPT	40	40	40
AASS	20	20	20
AATBC	3	3	3
AATF	5	5	66
AATK	1	1	12
ABALON	0	0	0
ABAT	15	15	32
ABCA1	30	28	50
ABCA10	2	2	7
ABCA11P	0	0	0
ABCA12	3	3	3
ABCA13	26	26	30
ABCA17P	23	22	39
ABCA2	0	0	0
ABCA3	21	21	146
ABCA3P1	0	0	0
ABCA4	5	5	5
ABCA5	20	9	65
ABCA6	2	2	2
ABCA7	6	6	7
ABCA8	0	0	19
ABCA9	0	0	0
ABCA9-AS1	1	1	0
ABCB1	118	132	455
ABCB10	76	73	80
ABCB10P1	0	0	0
ABCB10P3	0	0	0
ABCB10P4	0	1	0
ABCB11	1	1	1
ABCB4	0	0	0
ABCB5	53	54	80
ABCB6	9	9	9
ABCB7	31	30	13
ABCB8	0	0	2
ABCB9	0	0	0
ABCC1	0	0	6
ABCC10	3	3	3
ABCC11	0	0	0
ABCC12	27	27	26
ABCC13	103	103	50
ABCC2	1	1	1
ABCC3	271	271	728
ABCC4	187	187	196
ABCC5	5	5	5
ABCC5-AS1	2	2	3
ABCC6	0	0	0
ABCC6P1	25	21	62
ABCC6P2	0	0	0
ABCC8	36	36	46
ABCC9	0	0	0
ABCD1	2	2	2
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	4	4	5
ABCD3	11	11	55
ABCD4	0	0	0
ABCE1	61	56	80
ABCF1	5	5	37
ABCF2	15	15	16
ABCF2-H2BK1	14	14	15
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	0	0	0
ABCG1	18	18	18
ABCG2	35	35	39
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	14	15	4
ABHD1	0	0	0
ABHD10	30	30	32
ABHD11	16	16	16
ABHD11-AS1	0	0	0
ABHD12	0	0	0
ABHD12B	0	0	0
ABHD13	3	3	3
ABHD14A	0	0	0
ABHD14A-ACY1	0	0	0
ABHD14B	28	28	55
ABHD15	46	46	46
ABHD16A	2	2	11
ABHD16B	0	0	0
ABHD17A	38	30	34
ABHD17AP1	0	8	1
ABHD17AP3	0	1	0
ABHD17AP4	0	0	0
ABHD17AP5	0	0	0
ABHD17AP6	2	2	0
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	25	25	27
ABHD17C	35	35	63
ABHD18	251	250	123
ABHD2	82	82	95
ABHD3	19	19	19
ABHD4	24	24	24
ABHD5	40	40	40
ABHD6	0	0	0
ABHD8	23	22	28
ABI1	201	201	196
ABI1P1	0	0	0
ABI2	68	68	71
ABI3	97	97	97
ABI3BP	1	1	2
ABITRAM	26	26	27
ABITRAMP1	0	0	0
ABL1	401	412	767
ABL2	26	26	30
ABLIM1	154	154	162
ABLIM2	3	3	5
ABLIM3	148	148	158
ABO	12	12	0
ABR	12	12	25
ABRA	2	2	1
ABRACL	75	75	76
ABRAXAS1	20	23	30
ABRAXAS2	64	64	67
ABT1	2	2	0
ABT1P1	0	0	0
ABTB1	129	129	136
ABTB2	0	0	0
ACAA1	37	37	38
ACAA2	32	32	65
ACAA2P1	0	0	0
ACACA	8	6	8
ACACB	19	19	20
ACAD10	10	10	7
ACAD11	0	0	0
ACAD8	16	16	16
ACAD9	24	24	24
ACADL	0	0	0
ACADM	10	10	15
ACADS	55	65	75
ACADSB	185	185	50
ACADVL	3	3	3
ACAN	0	0	0
ACAP1	0	0	18
ACAP2	223	223	217
ACAP3	0	0	1
ACAT1	74	74	138
ACAT2	168	178	432
ACBD3	170	169	97
ACBD3-AS1	0	0	0
ACBD4	0	0	0
ACBD5	35	35	38
ACBD6	11	11	11
ACBD7	3	3	12
ACBD7-DCLRE1CP1	0	0	0
ACCS	0	0	0
ACCSL	0	0	0
ACD	0	0	0
ACE	0	0	0
ACE2	17	17	17
ACE3P	4	5	16
ACER1	0	0	0
ACER2	8	8	9
ACER2P1	0	0	0
ACER3	71	70	82
ACHE	64	63	132
ACIN1	72	72	79
ACKR1	17	17	17
ACKR2	23	24	30
ACKR3	0	0	0
ACKR4	2	2	2
ACKR4P1	1	1	3
ACLY	80	80	83
ACMSD	0	0	0
ACNATP	0	0	0
ACO1	3	3	3
ACO2	21	22	35
ACOD1	0	0	0
ACOT1	0	0	0
ACOT11	92	89	68
ACOT12	1	1	1
ACOT13	6	6	11
ACOT2	16	16	17
ACOT4	2	2	2
ACOT6	39	39	103
ACOT7	39	39	29
ACOT8	0	0	0
ACOT9	25	25	21
ACOX1	71	71	72
ACOX2	0	0	0
ACOX3	0	0	0
ACOXL	1	1	6
ACOXL-AS1	1	1	1
ACP1	163	163	176
ACP2	14	14	19
ACP3	3	3	3
ACP4	9	9	9
ACP5	11	11	18
ACP6	0	0	0
ACP7	0	0	0
ACR	2	2	0
ACRBP	199	199	208
ACRP1	0	0	0
ACRV1	1	1	4
ACSBG1	8	8	10
ACSBG2	1	1	2
ACSF2	27	27	27
ACSF3	11	11	11
ACSL1	104	104	108
ACSL3	10	10	16
ACSL4	168	168	166
ACSL5	30	30	61
ACSL6	72	72	72
ACSM1	3	3	3
ACSM2A	0	0	0
ACSM2B	3	3	0
ACSM3	3	3	3
ACSM4	9	9	8
ACSM5	45	46	194
ACSM5P1	0	0	1
ACSM6	0	0	0
ACSS1	6	6	6
ACSS2	24	24	24
ACSS3	0	0	0
ACTA1	0	0	5
ACTA2	10	10	28
ACTA2-AS1	0	0	1
ACTB	5894	5872	5957
ACTBL2	2	2	0
ACTBP1	0	0	0
ACTBP10	1	1	0
ACTBP11	0	0	0
ACTBP12	0	0	0
ACTBP14	0	0	0
ACTBP15	0	0	0
ACTBP2	2	3	0
ACTBP3	0	0	0
ACTBP4	0	0	1
ACTBP6	0	0	0
ACTBP7	0	0	0
ACTBP8	0	0	0
ACTBP9	0	0	0
ACTC1	0	0	0
ACTE1P	16	16	17
ACTG1	584	579	344
ACTG1P1	0	0	1
ACTG1P10	0	0	2
ACTG1P11	5	6	0
ACTG1P12	0	0	0
ACTG1P13	0	0	0
ACTG1P14	0	0	0
ACTG1P15	0	0	0
ACTG1P16	6	6	6
ACTG1P17	1	1	0
ACTG1P18	0	0	0
ACTG1P19	0	0	0
ACTG1P2	17	17	0
ACTG1P20	0	0	0
ACTG1P21	0	0	0
ACTG1P22	0	0	0
ACTG1P23	0	0	1
ACTG1P24	0	0	0
ACTG1P25	2	2	5
ACTG1P3	0	0	0
ACTG1P4	0	0	0
ACTG1P9	0	0	1
ACTG2	6	7	9
ACTL10	0	0	0
ACTL11P	0	0	0
ACTL6A	23	23	16
ACTL6B	2	2	2
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	1
ACTN1	124	124	126
ACTN1-DT	21	20	19
ACTN2	10	10	18
ACTN3	9	9	1
ACTN4	0	0	63
ACTN4P1	0	0	0
ACTP1	0	0	0
ACTR10	49	49	53
ACTR1A	18	18	21
ACTR1AP1	0	0	0
ACTR1B	0	0	0
ACTR2	1541	1538	6680
ACTR3	816	804	767
ACTR3-AS1	18	18	368
ACTR3B	30	29	100
ACTR3BP1	0	0	0
ACTR3BP2	0	0	0
ACTR3BP3	0	0	0
ACTR3BP4	0	0	0
ACTR3BP5	0	0	0
ACTR3BP6	0	0	0
ACTR3BP7	0	0	0
ACTR3C	0	0	0
ACTR3P1	0	0	0
ACTR3P2	8	8	3
ACTR3P3	0	0	0
ACTR5	89	89	518
ACTR6	19	19	19
ACTR6P1	0	0	0
ACTR8	7	7	7
ACTRT1	0	0	0
ACTRT1P1	0	0	0
ACTRT2	0	0	0
ACTRT3	1	1	0
ACVR1	18	12	139
ACVR1B	5	5	50
ACVR1C	69	69	395
ACVR2A	67	67	61
ACVR2B	35	31	184
ACVR2B-AS1	0	0	0
ACVRL1	0	0	0
ACY1	4	5	2
ACY3	0	0	0
ACYP1	1	1	1
ACYP2	194	198	727
ADA	35	35	19
ADA2	35	35	36
ADAD1	0	0	0
ADAD1P1	0	0	1
ADAD1P2	0	0	1
ADAD2	1	1	3
ADAL	23	23	24
ADAM10	173	232	200
ADAM11	1	1	2
ADAM12	0	0	3
ADAM15	15	15	9
ADAM17	11	11	11
ADAM18	32	31	19
ADAM19	24	24	24
ADAM1A	2	2	2
ADAM1B	0	0	0
ADAM2	0	0	0
ADAM20	0	0	0
ADAM20P1	1	1	0
ADAM20P2	0	0	0
ADAM20P3	0	0	0
ADAM21	0	0	0
ADAM21P1	0	0	0
ADAM22	0	0	0
ADAM23	3	3	3
ADAM24P	0	0	0
ADAM28	0	0	0
ADAM29	0	0	0
ADAM30	3	3	3
ADAM32	0	0	0
ADAM33	0	0	0
ADAM3A	6	5	14
ADAM3B	0	0	3
ADAM5	5	5	25
ADAM6	0	0	0
ADAM7	19	19	58
ADAM7-AS1	22	22	155
ADAM7-AS2	1	1	1
ADAM8	7	7	10
ADAM9	3	3	3
ADAMDEC1	7	7	11
ADAMTS1	19	19	19
ADAMTS10	0	0	0
ADAMTS12	0	0	0
ADAMTS13	0	0	0
ADAMTS14	0	0	0
ADAMTS15	0	0	0
ADAMTS16	0	0	0
ADAMTS16-DT	3	3	3
ADAMTS17	0	0	0
ADAMTS18	0	0	0
ADAMTS19	0	0	0
ADAMTS19-AS1	0	0	0
ADAMTS2	0	0	0
ADAMTS20	1	1	2
ADAMTS3	8	8	5
ADAMTS4	9	9	16
ADAMTS5	2	2	2
ADAMTS6	31	31	11
ADAMTS7	0	0	0
ADAMTS7P1	31	31	48
ADAMTS7P3	0	0	0
ADAMTS7P4	2	2	2
ADAMTS8	0	0	0
ADAMTS9	2	2	2
ADAMTS9-AS1	0	1	8
ADAMTS9-AS2	126	126	549
ADAMTSL1	3	3	3
ADAMTSL2	0	0	0
ADAMTSL3	0	0	0
ADAMTSL4	0	0	1
ADAMTSL4-AS1	13	13	18
ADAMTSL5	0	0	0
ADAP1	181	202	148
ADAP2	0	0	0
ADAR	304	304	309
ADARB1	0	0	0
