Gene type	Gene Name	fr	rf	star
protein_coding	A1BG	20	20	20
protein_coding	A1CF	3	3	3
protein_coding	A2M	99	99	102
protein_coding	A2ML1	0	0	0
protein_coding	A3GALT2	22	22	25
protein_coding	A4GALT	0	0	0
protein_coding	A4GNT	0	0	0
protein_coding	AAAS	5	6	6
protein_coding	AACS	0	0	0
protein_coding	AADAC	0	0	0
protein_coding	AADACL2	2	2	0
protein_coding	AADACL3	19	19	11
protein_coding	AADACL4	0	0	0
protein_coding	AADAT	0	0	0
protein_coding	AAGAB	66	66	95
protein_coding	AAK1	74	72	57
protein_coding	AAMDC	1	1	1
protein_coding	AAMP	38	38	34
protein_coding	AANAT	464	451	450
protein_coding	AAR2	6	6	6
protein_coding	AARD	4	3	2
protein_coding	AARS1	10	10	10
protein_coding	AARS2	1	1	1
protein_coding	AARSD1	0	0	0
protein_coding	AASDH	9	9	8
protein_coding	AASDHPPT	40	40	40
protein_coding	AASS	20	20	20
protein_coding	AATF	5	5	66
protein_coding	AATK	1	1	12
protein_coding	ABAT	15	15	32
protein_coding	ABCA1	30	28	50
protein_coding	ABCA10	2	2	7
protein_coding	ABCA12	3	3	3
protein_coding	ABCA13	26	26	30
protein_coding	ABCA2	0	0	0
protein_coding	ABCA3	21	21	146
protein_coding	ABCA4	5	5	5
protein_coding	ABCA5	20	9	65
protein_coding	ABCA6	2	2	2
protein_coding	ABCA7	6	6	7
protein_coding	ABCA8	0	0	19
protein_coding	ABCA9	0	0	0
protein_coding	ABCB1	118	132	455
protein_coding	ABCB10	76	73	80
protein_coding	ABCB11	1	1	1
protein_coding	ABCB4	0	0	0
protein_coding	ABCB5	53	54	80
protein_coding	ABCB6	9	9	9
protein_coding	ABCB7	31	30	13
protein_coding	ABCB8	0	0	2
protein_coding	ABCB9	0	0	0
protein_coding	ABCC1	0	0	6
protein_coding	ABCC10	3	3	3
protein_coding	ABCC11	0	0	0
protein_coding	ABCC12	27	27	26
protein_coding	ABCC2	1	1	1
protein_coding	ABCC3	271	271	728
protein_coding	ABCC4	187	187	196
protein_coding	ABCC5	5	5	5
protein_coding	ABCC6	0	0	0
protein_coding	ABCC8	36	36	46
protein_coding	ABCC9	0	0	0
protein_coding	ABCD1	2	2	2
protein_coding	ABCD2	4	4	5
protein_coding	ABCD3	11	11	55
protein_coding	ABCD4	0	0	0
protein_coding	ABCE1	61	56	80
protein_coding	ABCF1	5	5	37
protein_coding	ABCF2	15	15	16
protein_coding	ABCF2-H2BK1	14	14	15
protein_coding	ABCF3	0	0	0
protein_coding	ABCG1	18	18	18
protein_coding	ABCG2	35	35	39
protein_coding	ABCG4	0	0	0
protein_coding	ABCG5	0	0	0
protein_coding	ABCG8	14	15	4
protein_coding	ABHD1	0	0	0
protein_coding	ABHD10	30	30	32
protein_coding	ABHD11	16	16	16
protein_coding	ABHD12	0	0	0
protein_coding	ABHD12B	0	0	0
protein_coding	ABHD13	3	3	3
protein_coding	ABHD14A	0	0	0
protein_coding	ABHD14A-ACY1	0	0	0
protein_coding	ABHD14B	28	28	55
protein_coding	ABHD15	46	46	46
protein_coding	ABHD16A	2	2	11
protein_coding	ABHD16B	0	0	0
protein_coding	ABHD17A	38	30	34
protein_coding	ABHD17B	25	25	27
protein_coding	ABHD17C	35	35	63
protein_coding	ABHD18	251	250	123
protein_coding	ABHD2	82	82	95
protein_coding	ABHD3	19	19	19
protein_coding	ABHD4	24	24	24
protein_coding	ABHD5	40	40	40
protein_coding	ABHD6	0	0	0
protein_coding	ABHD8	23	22	28
protein_coding	ABI1	201	201	196
protein_coding	ABI2	68	68	71
protein_coding	ABI3	97	97	97
protein_coding	ABI3BP	1	1	2
protein_coding	ABITRAM	26	26	27
protein_coding	ABL1	401	412	767
protein_coding	ABL2	26	26	30
protein_coding	ABLIM1	154	154	162
protein_coding	ABLIM2	3	3	5
protein_coding	ABLIM3	148	148	158
protein_coding	ABO	12	12	0
protein_coding	ABR	12	12	25
protein_coding	ABRA	2	2	1
protein_coding	ABRACL	75	75	76
protein_coding	ABRAXAS1	20	23	30
protein_coding	ABRAXAS2	64	64	67
protein_coding	ABT1	2	2	0
protein_coding	ABTB1	129	129	136
protein_coding	ABTB2	0	0	0
protein_coding	ACAA1	37	37	38
protein_coding	ACAA2	32	32	65
protein_coding	ACACA	8	6	8
protein_coding	ACACB	19	19	20
protein_coding	ACAD10	10	10	7
protein_coding	ACAD11	0	0	0
protein_coding	ACAD8	16	16	16
protein_coding	ACAD9	24	24	24
protein_coding	ACADL	0	0	0
protein_coding	ACADM	10	10	15
protein_coding	ACADS	55	65	75
protein_coding	ACADSB	185	185	50
protein_coding	ACADVL	3	3	3
protein_coding	ACAN	0	0	0
protein_coding	ACAP1	0	0	18
protein_coding	ACAP2	223	223	217
protein_coding	ACAP3	0	0	1
protein_coding	ACAT1	74	74	138
protein_coding	ACAT2	168	178	432
protein_coding	ACBD3	170	169	97
protein_coding	ACBD4	0	0	0
protein_coding	ACBD5	35	35	38
protein_coding	ACBD6	11	11	11
protein_coding	ACBD7	3	3	12
protein_coding	ACCS	0	0	0
protein_coding	ACCSL	0	0	0
protein_coding	ACD	0	0	0
protein_coding	ACE	0	0	0
protein_coding	ACE2	17	17	17
protein_coding	ACER1	0	0	0
protein_coding	ACER2	8	8	9
protein_coding	ACER3	71	70	82
protein_coding	ACHE	64	63	132
protein_coding	ACIN1	72	72	79
protein_coding	ACKR1	17	17	17
protein_coding	ACKR2	23	24	30
protein_coding	ACKR3	0	0	0
protein_coding	ACKR4	2	2	2
protein_coding	ACLY	80	80	83
protein_coding	ACMSD	0	0	0
protein_coding	ACO1	3	3	3
protein_coding	ACO2	21	22	35
protein_coding	ACOD1	0	0	0
protein_coding	ACOT1	0	0	0
protein_coding	ACOT11	92	89	68
protein_coding	ACOT12	1	1	1
protein_coding	ACOT13	6	6	11
protein_coding	ACOT2	16	16	17
protein_coding	ACOT4	2	2	2
protein_coding	ACOT6	39	39	103
protein_coding	ACOT7	39	39	29
protein_coding	ACOT8	0	0	0
protein_coding	ACOT9	25	25	21
protein_coding	ACOX1	71	71	72
protein_coding	ACOX2	0	0	0
protein_coding	ACOX3	0	0	0
protein_coding	ACOXL	1	1	6
protein_coding	ACP1	163	163	176
protein_coding	ACP2	14	14	19
protein_coding	ACP3	3	3	3
protein_coding	ACP4	9	9	9
protein_coding	ACP5	11	11	18
protein_coding	ACP6	0	0	0
protein_coding	ACP7	0	0	0
protein_coding	ACR	2	2	0
protein_coding	ACRBP	199	199	208
protein_coding	ACRV1	1	1	4
protein_coding	ACSBG1	8	8	10
protein_coding	ACSBG2	1	1	2
protein_coding	ACSF2	27	27	27
protein_coding	ACSF3	11	11	11
protein_coding	ACSL1	104	104	108
protein_coding	ACSL3	10	10	16
protein_coding	ACSL4	168	168	166
protein_coding	ACSL5	30	30	61
protein_coding	ACSL6	72	72	72
protein_coding	ACSM1	3	3	3
protein_coding	ACSM2A	0	0	0
protein_coding	ACSM2B	3	3	0
protein_coding	ACSM3	3	3	3
protein_coding	ACSM4	9	9	8
protein_coding	ACSM5	45	46	194
protein_coding	ACSM6	0	0	0
protein_coding	ACSS1	6	6	6
protein_coding	ACSS2	24	24	24
protein_coding	ACSS3	0	0	0
protein_coding	ACTA1	0	0	5
protein_coding	ACTA2	10	10	28
protein_coding	ACTB	5894	5872	5957
protein_coding	ACTBL2	2	2	0
protein_coding	ACTC1	0	0	0
protein_coding	ACTG1	584	579	344
protein_coding	ACTG2	6	7	9
protein_coding	ACTL10	0	0	0
protein_coding	ACTL6A	23	23	16
protein_coding	ACTL6B	2	2	2
protein_coding	ACTL7A	0	0	0
protein_coding	ACTL7B	0	0	0
protein_coding	ACTL8	0	0	0
protein_coding	ACTL9	0	0	1
protein_coding	ACTN1	124	124	126
protein_coding	ACTN2	10	10	18
protein_coding	ACTN3	9	9	1
protein_coding	ACTN4	0	0	63
protein_coding	ACTR10	49	49	53
protein_coding	ACTR1A	18	18	21
protein_coding	ACTR1B	0	0	0
protein_coding	ACTR2	1541	1538	6680
protein_coding	ACTR3	816	804	767
protein_coding	ACTR3B	30	29	100
protein_coding	ACTR3C	0	0	0
protein_coding	ACTR5	89	89	518
protein_coding	ACTR6	19	19	19
protein_coding	ACTR8	7	7	7
protein_coding	ACTRT1	0	0	0
protein_coding	ACTRT2	0	0	0
protein_coding	ACTRT3	1	1	0
protein_coding	ACVR1	18	12	139
protein_coding	ACVR1B	5	5	50
protein_coding	ACVR1C	69	69	395
protein_coding	ACVR2A	67	67	61
protein_coding	ACVR2B	35	31	184
protein_coding	ACVRL1	0	0	0
protein_coding	ACY1	4	5	2
protein_coding	ACY3	0	0	0
protein_coding	ACYP1	1	1	1
protein_coding	ACYP2	194	198	727
protein_coding	ADA	35	35	19
protein_coding	ADA2	35	35	36
protein_coding	ADAD1	0	0	0
protein_coding	ADAD2	1	1	3
protein_coding	ADAL	23	23	24
protein_coding	ADAM10	173	232	200
protein_coding	ADAM11	1	1	2
protein_coding	ADAM12	0	0	3
protein_coding	ADAM15	15	15	9
protein_coding	ADAM17	11	11	11
protein_coding	ADAM18	32	31	19
protein_coding	ADAM19	24	24	24
protein_coding	ADAM2	0	0	0
protein_coding	ADAM20	0	0	0
protein_coding	ADAM21	0	0	0
protein_coding	ADAM22	0	0	0
protein_coding	ADAM23	3	3	3
protein_coding	ADAM28	0	0	0
protein_coding	ADAM29	0	0	0
protein_coding	ADAM30	3	3	3
protein_coding	ADAM32	0	0	0
protein_coding	ADAM33	0	0	0
protein_coding	ADAM7	19	19	58
protein_coding	ADAM8	7	7	10
protein_coding	ADAM9	3	3	3
protein_coding	ADAMDEC1	7	7	11
protein_coding	ADAMTS1	19	19	19
protein_coding	ADAMTS10	0	0	0
protein_coding	ADAMTS12	0	0	0
protein_coding	ADAMTS13	0	0	0
protein_coding	ADAMTS14	0	0	0
protein_coding	ADAMTS15	0	0	0
protein_coding	ADAMTS16	0	0	0
protein_coding	ADAMTS17	0	0	0
protein_coding	ADAMTS18	0	0	0
protein_coding	ADAMTS19	0	0	0
protein_coding	ADAMTS2	0	0	0
protein_coding	ADAMTS20	1	1	2
protein_coding	ADAMTS3	8	8	5
protein_coding	ADAMTS4	9	9	16
protein_coding	ADAMTS5	2	2	2
protein_coding	ADAMTS6	31	31	11
protein_coding	ADAMTS7	0	0	0
protein_coding	ADAMTS8	0	0	0
protein_coding	ADAMTS9	2	2	2
protein_coding	ADAMTSL1	3	3	3
protein_coding	ADAMTSL2	0	0	0
protein_coding	ADAMTSL3	0	0	0
protein_coding	ADAMTSL4	0	0	1
protein_coding	ADAMTSL5	0	0	0
protein_coding	ADAP1	181	202	148
protein_coding	ADAP2	0	0	0
protein_coding	ADAR	304	304	309
protein_coding	ADARB1	0	0	0
protein_coding	ADARB2	147	147	367
protein_coding	ADAT1	34	34	48
protein_coding	ADAT2	8	8	12
protein_coding	ADAT3	0	0	0
protein_coding	ADCK1	1	1	1
protein_coding	ADCK2	0	0	0
protein_coding	ADCK5	0	0	0
protein_coding	ADCY1	2	2	2
protein_coding	ADCY10	0	0	0
protein_coding	ADCY2	1	1	2
protein_coding	ADCY3	27	27	26
protein_coding	ADCY4	4	3	0
protein_coding	ADCY5	1	1	1
protein_coding	ADCY6	2	2	1
protein_coding	ADCY7	12	12	13
protein_coding	ADCY8	0	0	0
protein_coding	ADCY9	0	0	0
protein_coding	ADCYAP1	0	0	3
protein_coding	ADCYAP1R1	1	1	1
protein_coding	ADD1	249	249	261
protein_coding	ADD2	67	67	70
protein_coding	ADD3	228	228	242
protein_coding	ADGB	112	113	322
protein_coding	ADGRA1	0	0	0
protein_coding	ADGRA2	0	0	0
protein_coding	ADGRA3	0	0	0
protein_coding	ADGRB1	0	0	0
protein_coding	ADGRB2	0	0	0
protein_coding	ADGRB3	374	372	534
protein_coding	ADGRD1	1	1	1
protein_coding	ADGRD2	0	0	0
protein_coding	ADGRE1	51	51	53
protein_coding	ADGRE2	8	8	8
protein_coding	ADGRE3	25	25	26
protein_coding	ADGRE5	102	101	82
protein_coding	ADGRF1	2	2	2
protein_coding	ADGRF2	29	27	19
protein_coding	ADGRF3	2	2	0
protein_coding	ADGRF4	0	0	2
protein_coding	ADGRF5	19	19	22
protein_coding	ADGRG1	32	32	128
protein_coding	ADGRG2	0	0	0
protein_coding	ADGRG3	8	8	12
protein_coding	ADGRG4	0	0	0
protein_coding	ADGRG5	11	11	11
protein_coding	ADGRG6	0	0	0
protein_coding	ADGRG7	2	2	3
protein_coding	ADGRL1	0	0	17
protein_coding	ADGRL2	3	3	13
protein_coding	ADGRL3	2	2	6
protein_coding	ADGRL4	13	13	17
protein_coding	ADGRV1	3	3	3
protein_coding	ADH1A	2	2	1
protein_coding	ADH1B	24	24	25
protein_coding	ADH1C	14	14	14
protein_coding	ADH4	10	10	14
protein_coding	ADH5	64	64	73
protein_coding	ADH6	11	11	159
protein_coding	ADH7	0	0	1
protein_coding	ADHFE1	1	1	1
protein_coding	ADI1	56	56	49
protein_coding	ADIG	0	0	1
protein_coding	ADIPOQ	16	16	13
protein_coding	ADIPOR1	1017	1017	1076
protein_coding	ADIPOR2	0	0	16
protein_coding	ADIRF	3	3	4
protein_coding	ADK	56	56	61
protein_coding	ADM	16	16	16
protein_coding	ADM2	0	0	0
protein_coding	ADM5	0	0	0
protein_coding	ADNP	129	129	131
protein_coding	ADNP2	29	29	37
protein_coding	ADO	38	38	38
protein_coding	ADORA1	0	0	0
protein_coding	ADORA2A	1	1	1
protein_coding	ADORA2B	0	0	0
protein_coding	ADORA3	0	0	0
protein_coding	ADPGK	0	0	0
protein_coding	ADPRH	22	22	22
protein_coding	ADPRHL1	3	3	3
protein_coding	ADPRM	26	26	25
protein_coding	ADPRS	34	34	35
protein_coding	ADRA1A	0	0	0
protein_coding	ADRA1B	0	0	0
protein_coding	ADRA1D	4	4	109
protein_coding	ADRA2A	0	0	0
protein_coding	ADRA2B	0	0	0
protein_coding	ADRA2C	0	0	0
protein_coding	ADRB1	1	1	35
protein_coding	ADRB2	19	19	19
protein_coding	ADRB3	0	0	0
protein_coding	ADRM1	62	62	64
protein_coding	ADSL	138	139	135
protein_coding	ADSS1	0	0	0
protein_coding	ADSS2	47	47	60
protein_coding	ADTRP	0	0	0
protein_coding	AEBP1	2	2	0
protein_coding	AEBP2	27	27	29
protein_coding	AEN	16	16	18
protein_coding	AFAP1	6	6	6
protein_coding	AFAP1L1	41	41	42
protein_coding	AFAP1L2	22	22	22
protein_coding	AFDN	51	51	52
protein_coding	AFF1	326	324	340
protein_coding	AFF2	279	268	584
protein_coding	AFF3	43	43	46
protein_coding	AFF4	145	145	151
protein_coding	AFG1L	11	11	11
protein_coding	AFG3L2	18	18	20
protein_coding	AFM	0	0	0
protein_coding	AFMID	6	6	6
protein_coding	AFP	2	2	3
protein_coding	AFTPH	304	301	326
protein_coding	AGA	0	0	0
protein_coding	AGAP1	0	0	1
protein_coding	AGAP2	28	28	29
protein_coding	AGAP3	3	3	3
protein_coding	AGAP4	1	1	10
protein_coding	AGAP5	0	3	0
protein_coding	AGAP6	1	2	1
protein_coding	AGAP9	1	1	1
protein_coding	AGBL1	2	2	9
protein_coding	AGBL2	4	4	0
protein_coding	AGBL3	2	2	2
protein_coding	AGBL4	0	0	0
protein_coding	AGBL5	3	3	3
protein_coding	AGER	0	0	0
protein_coding	AGFG1	82	82	153
protein_coding	AGFG2	0	0	0
protein_coding	AGGF1	290	285	149
protein_coding	AGK	0	0	0
protein_coding	AGL	65	65	67
protein_coding	AGMAT	1	1	7
protein_coding	AGMO	0	0	0
protein_coding	AGO1	63	63	65
protein_coding	AGO2	169	169	170
protein_coding	AGO3	2	2	2
protein_coding	AGO4	81	81	82
protein_coding	AGPAT1	7	7	41
protein_coding	AGPAT2	5	5	6
