Gene type	Gene Name	fr	rf	star
lncRNA	A1BG-AS1	0	0	0
lncRNA	A2M-AS1	2	2	0
lncRNA	AADACL2-AS1	37	36	191
lncRNA	AATBC	0	0	1
lncRNA	ABALON	0	0	0
lncRNA	ABCA9-AS1	0	0	0
lncRNA	ABCC5-AS1	2	2	0
lncRNA	ABHD11-AS1	0	0	1
lncRNA	ACBD3-AS1	0	0	2
lncRNA	ACBD7-DCLRE1CP1	0	0	0
lncRNA	ACOXL-AS1	2	2	3
lncRNA	ACTA2-AS1	3	3	3
lncRNA	ACTE1P	4	4	3
lncRNA	ACTN1-DT	3	3	1
lncRNA	ACTR3-AS1	26	26	450
lncRNA	ACVR2B-AS1	0	0	0
lncRNA	ADAM7-AS1	88	92	194
lncRNA	ADAM7-AS2	1	1	1
lncRNA	ADAMTS16-DT	1	0	1
lncRNA	ADAMTS19-AS1	0	0	1
lncRNA	ADAMTS9-AS1	4	4	12
lncRNA	ADAMTS9-AS2	125	124	532
lncRNA	ADAMTSL4-AS1	12	12	0
lncRNA	ADARB2-AS1	1	1	8
lncRNA	ADCY6-DT	0	0	0
lncRNA	ADD3-AS1	6	6	24
lncRNA	ADGB-DT	0	0	0
lncRNA	ADGRA1-AS1	0	0	0
lncRNA	ADGRB3-DT	0	0	0
lncRNA	ADGRD1-AS1	0	0	0
lncRNA	ADGRF5-AS1	1	1	1
lncRNA	ADGRL1-AS1	9	9	0
lncRNA	ADGRL3-AS1	35	59	252
lncRNA	ADIPOQ-AS1	1	1	2
lncRNA	ADIRF-AS1	0	0	0
lncRNA	ADNP-AS1	2	2	2
lncRNA	ADORA2A-AS1	6	6	46
lncRNA	ADPGK-AS1	0	0	3
lncRNA	AFAP1-AS1	0	0	1
lncRNA	AFDN-DT	0	0	1
lncRNA	AFF1-AS1	0	0	1
lncRNA	AFTPH-DT	2	2	5
lncRNA	AGAP11	6	6	4
lncRNA	AGAP1-IT1	0	0	0
lncRNA	AGAP2-AS1	0	0	1
lncRNA	AGBL1-AS1	8	8	11
lncRNA	AGBL4-AS1	1	1	0
lncRNA	AGBL4-IT1	5	8	10
lncRNA	AGBL5-AS1	0	0	0
lncRNA	AGPAT4-IT1	0	0	0
lncRNA	AHI1-DT	72	72	105
lncRNA	AIRN	0	0	2
lncRNA	AKAP17A_1	2	2	0
lncRNA	AKT3-IT1	0	0	0
lncRNA	ALDH1A2-AS1	3	3	4
lncRNA	ALDH1A3-AS1	0	1	1
lncRNA	ALDH1L1-AS1	0	0	2
lncRNA	ALDH1L1-AS2	7	7	10
lncRNA	ALG14-AS1	0	0	3
lncRNA	ALKBH3-AS1	0	0	0
lncRNA	ALMS1-IT1	1	1	0
lncRNA	ALOX12-AS1	59	58	604
lncRNA	ANKRD18DP	4	4	0
lncRNA	ANKRD20A4-ANKRD20A20P	31	30	19
lncRNA	ANKRD34C-AS1	61	70	180
lncRNA	ANKRD42-DT	1	1	7
lncRNA	ANKRD44-AS1	0	0	0
lncRNA	ANKRD44-IT1	16	16	53
lncRNA	ANKRD62P1-PARP4P3	1	1	0
lncRNA	ANO3-AS1	0	0	0
lncRNA	ANP32A-IT1	0	0	0
lncRNA	ANXA2R-AS1	0	0	0
lncRNA	ANXA2R-OT1	80	76	128
lncRNA	AOAH-IT1	0	0	0
lncRNA	AOX3P-AOX2P	0	0	0
lncRNA	AP1G2-AS1	0	0	1
