Gene Name	fr	rf	star
A1BG	11	11	11
A1BG-AS1	0	0	0
A1CF	0	0	0
A2M	71	71	76
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	14	14	36
A3GALT2	1	1	5
A4GALT	19	19	19
A4GNT	0	0	0
AA06	0	0	0
AAAS	7	6	3
AACS	0	0	0
AACSP1	3	3	21
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	14	14	80
AADACL3	5	5	7
AADACL4	3	3	3
AADACP1	0	0	3
AADAT	0	0	0
AAGAB	24	24	44
AAK1	84	83	102
AAMDC	18	20	21
AAMP	43	43	42
AANAT	174	172	95
AAR2	22	22	22
AARD	1	1	1
AARS1	3	3	0
AARS1P1	0	0	0
AARS2	0	0	2
AARSD1	0	0	0
AARSD1P1	0	0	0
AASDH	12	12	12
AASDHPPT	86	86	87
AASS	0	0	0
AATBC	0	0	0
AATF	0	0	46
AATK	5	5	12
ABALON	3	3	5
ABAT	9	9	20
ABCA1	14	14	27
ABCA10	8	8	13
ABCA11P	0	0	0
ABCA12	0	0	0
ABCA13	11	11	18
ABCA17P	15	15	20
ABCA2	0	0	0
ABCA3	15	14	140
ABCA3P1	0	0	0
ABCA4	0	0	0
ABCA5	9	8	23
ABCA6	23	23	23
ABCA7	0	0	0
ABCA8	0	0	5
ABCA9	1	1	1
ABCA9-AS1	8	8	8
ABCB1	48	53	392
ABCB10	308	324	369
ABCB10P1	3	5	0
ABCB10P3	3	5	0
ABCB10P4	9	3	0
ABCB11	0	0	0
ABCB4	0	0	0
ABCB5	83	83	94
ABCB6	29	29	40
ABCB7	20	20	24
ABCB8	1	1	1
ABCB9	0	0	0
ABCC1	0	0	0
ABCC10	2	2	2
ABCC11	0	0	0
ABCC12	21	21	23
ABCC13	17	17	79
ABCC2	1	1	1
ABCC3	168	168	521
ABCC4	305	305	335
ABCC5	30	30	31
ABCC5-AS1	1	1	0
ABCC6	0	0	0
ABCC6P1	5	5	24
ABCC6P2	0	0	0
ABCC8	3	3	11
ABCC9	0	0	0
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	0	0	0
ABCD3	32	32	68
ABCD4	25	25	27
ABCE1	111	58	56
ABCF1	3	3	22
ABCF2	47	47	61
ABCF2-H2BK1	1	1	1
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	14	14	14
ABCG1	0	0	0
ABCG2	38	38	32
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	4	4	1
ABHD1	0	0	0
ABHD10	62	62	39
ABHD11	0	0	7
ABHD11-AS1	0	0	1
ABHD12	42	42	43
ABHD12B	0	0	0
ABHD13	62	62	62
ABHD14A	0	0	0
ABHD14A-ACY1	0	0	0
ABHD14B	1	1	13
ABHD15	14	14	14
ABHD16A	5	5	0
ABHD16B	0	0	0
ABHD17A	17	10	13
ABHD17AP1	0	3	2
ABHD17AP3	0	0	0
ABHD17AP4	5	4	0
ABHD17AP5	0	0	0
ABHD17AP6	0	4	0
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	0	0	3
ABHD17C	65	65	62
ABHD18	39	39	94
ABHD2	95	95	96
ABHD3	11	11	11
ABHD4	44	44	31
ABHD5	190	190	190
ABHD6	0	0	0
ABHD8	10	10	14
ABI1	244	245	225
ABI1P1	0	0	0
ABI2	45	45	46
ABI3	89	89	89
ABI3BP	0	0	0
ABITRAM	11	11	11
ABITRAMP1	0	0	0
ABL1	189	189	555
ABL2	20	20	23
ABLIM1	223	223	225
ABLIM2	0	0	0
ABLIM3	74	74	77
ABO	12	12	0
ABR	11	5	12
ABRA	0	0	0
ABRACL	72	72	72
ABRAXAS1	68	68	70
ABRAXAS2	75	75	75
ABT1	34	34	0
ABT1P1	0	0	0
ABTB1	151	151	166
ABTB2	19	18	77
ACAA1	0	0	1
ACAA2	64	64	65
ACAA2P1	0	0	0
ACACA	0	0	0
ACACB	20	20	21
ACAD10	24	24	27
ACAD11	4	4	6
ACAD8	0	0	0
ACAD9	19	19	19
ACADL	0	0	0
ACADM	44	44	13
ACADS	12	13	20
ACADSB	73	73	53
ACADVL	76	76	76
ACAN	0	0	0
ACAP1	0	0	3
ACAP2	305	305	279
ACAP3	0	0	0
ACAT1	173	173	193
ACAT2	44	45	166
ACBD3	160	161	166
ACBD3-AS1	0	0	0
ACBD4	0	0	0
ACBD5	49	49	49
ACBD6	8	8	8
ACBD7	4	4	11
ACBD7-DCLRE1CP1	0	0	0
ACCS	0	0	0
ACCSL	0	0	0
ACD	21	21	21
ACE	0	0	0
ACE2	2	1	2
ACE3P	8	8	9
ACER1	0	0	0
ACER2	0	0	0
ACER2P1	0	0	0
ACER3	4	4	4
ACHE	31	31	35
ACIN1	155	155	160
ACKR1	0	0	0
ACKR2	16	16	22
ACKR3	0	0	0
ACKR4	8	8	5
ACKR4P1	8	8	4
ACLY	77	77	77
ACMSD	0	0	0
ACNATP	0	0	0
ACO1	5	5	7
ACO2	107	107	95
ACOD1	0	0	0
ACOT1	0	11	0
ACOT11	20	20	17
ACOT12	0	0	0
ACOT13	49	49	16
ACOT2	28	18	25
ACOT4	3	3	3
ACOT6	32	32	47
ACOT7	45	45	45
ACOT8	37	37	37
ACOT9	29	29	35
ACOX1	35	35	38
ACOX2	0	0	0
ACOX3	0	0	0
ACOXL	1	1	3
ACOXL-AS1	0	0	0
ACP1	427	427	429
ACP2	23	23	23
ACP3	7	7	7
ACP4	0	0	0
ACP5	19	19	19
ACP6	0	0	0
ACP7	0	0	0
ACR	0	0	0
ACRBP	174	174	179
ACRP1	0	0	1
ACRV1	1	1	7
ACSBG1	3	3	5
ACSBG2	1	1	1
ACSF2	0	0	0
ACSF3	0	0	0
ACSL1	89	89	89
ACSL3	11	11	8
ACSL4	224	224	227
ACSL5	32	33	74
ACSL6	281	280	311
ACSM1	0	0	0
ACSM2A	0	1	0
ACSM2B	8	7	2
ACSM3	3	3	4
ACSM4	7	7	7
ACSM5	23	23	115
ACSM5P1	0	0	0
ACSM6	0	0	0
ACSS1	22	22	22
ACSS2	0	0	1
ACSS3	0	0	0
ACTA1	0	0	5
ACTA2	1	1	10
ACTA2-AS1	0	0	0
ACTB	7150	7121	7273
ACTBL2	0	0	0
ACTBP1	0	0	0
ACTBP10	0	0	0
ACTBP11	0	0	1
ACTBP12	0	0	0
ACTBP14	0	0	0
ACTBP15	0	0	0
ACTBP2	2	2	0
ACTBP3	0	0	0
ACTBP4	1	1	2
ACTBP6	0	0	0
ACTBP7	0	0	1
ACTBP8	0	0	0
ACTBP9	0	0	0
ACTC1	0	0	0
ACTE1P	1	1	0
ACTG1	810	806	415
ACTG1P1	0	0	0
ACTG1P10	3	3	3
ACTG1P11	1	1	0
ACTG1P12	1	1	0
ACTG1P13	0	0	0
ACTG1P14	0	0	1
ACTG1P15	0	0	0
ACTG1P16	0	0	4
ACTG1P17	3	3	0
ACTG1P18	0	0	0
ACTG1P19	0	0	0
ACTG1P2	3	3	0
ACTG1P20	0	0	0
ACTG1P21	0	0	0
ACTG1P22	0	0	0
ACTG1P23	0	0	0
ACTG1P24	0	0	0
ACTG1P25	1	1	0
ACTG1P3	0	0	0
ACTG1P4	0	0	0
ACTG1P9	0	0	0
ACTG2	2	2	7
ACTL10	0	0	0
ACTL11P	2	2	3
ACTL6A	15	15	16
ACTL6B	1	1	2
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	0
ACTN1	225	225	228
ACTN1-DT	3	3	0
ACTN2	9	9	34
ACTN3	2	2	4
ACTN4	0	12	75
ACTN4P1	0	0	0
ACTP1	0	0	0
ACTR10	90	90	94
ACTR1A	50	50	50
ACTR1AP1	0	0	0
ACTR1B	0	0	5
ACTR2	712	712	2792
ACTR3	1016	1017	1028
ACTR3-AS1	59	59	256
ACTR3B	24	24	117
ACTR3BP1	0	0	0
ACTR3BP2	0	0	0
ACTR3BP3	0	0	0
ACTR3BP4	0	0	0
ACTR3BP5	0	0	0
ACTR3BP6	0	0	0
ACTR3BP7	0	0	0
ACTR3C	0	0	0
ACTR3P1	0	0	0
ACTR3P2	0	0	0
ACTR3P3	0	0	0
ACTR5	37	37	395
ACTR6	50	50	56
ACTR6P1	0	0	0
ACTR8	50	50	50
ACTRT1	0	0	0
ACTRT1P1	0	0	0
ACTRT2	0	0	0
ACTRT3	0	0	0
ACVR1	34	34	42
ACVR1B	2	2	67
ACVR1C	22	22	179
ACVR2A	29	29	35
ACVR2B	38	33	271
ACVR2B-AS1	0	0	0
ACVRL1	0	0	0
ACY1	9	9	9
ACY3	0	0	0
ACYP1	0	0	1
ACYP2	132	130	445
ADA	67	67	67
ADA2	66	66	67
ADAD1	0	0	0
ADAD1P1	0	0	0
ADAD1P2	0	0	0
ADAD2	0	0	0
ADAL	3	3	24
ADAM10	81	87	96
ADAM11	0	0	0
ADAM12	40	40	4
ADAM15	0	0	0
ADAM17	38	38	43
ADAM18	30	30	13
ADAM19	23	23	24
ADAM1A	0	0	0
ADAM1B	0	0	0
ADAM2	0	0	0
ADAM20	0	0	0
ADAM20P1	0	0	0
ADAM20P2	0	0	0
ADAM20P3	0	0	0
ADAM21	0	0	0
ADAM21P1	0	0	0
ADAM22	0	0	0
ADAM23	0	0	0
ADAM24P	0	0	1
ADAM28	4	4	8
ADAM29	0	0	0
ADAM30	0	0	0
ADAM32	0	0	0
ADAM33	0	0	0
ADAM3A	4	4	16
ADAM3B	0	0	3
ADAM5	9	9	27
ADAM6	0	0	0
ADAM7	9	9	30
ADAM7-AS1	0	0	104
ADAM7-AS2	1	1	1
ADAM8	3	3	3
ADAM9	2	2	3
ADAMDEC1	3	3	6
ADAMTS1	0	0	0
ADAMTS10	0	0	0
ADAMTS12	0	0	0
ADAMTS13	0	0	0
ADAMTS14	0	0	0
ADAMTS15	0	0	0
ADAMTS16	0	0	0
ADAMTS16-DT	0	1	0
ADAMTS17	0	0	0
ADAMTS18	1	1	2
ADAMTS19	0	0	0
ADAMTS19-AS1	0	0	0
ADAMTS2	1	1	1
ADAMTS20	0	0	0
ADAMTS3	11	11	11
ADAMTS4	0	0	0
ADAMTS5	70	70	70
ADAMTS6	0	0	0
ADAMTS7	0	0	0
ADAMTS7P1	16	16	27
ADAMTS7P3	0	0	0
ADAMTS7P4	0	0	0
ADAMTS8	0	0	0
ADAMTS9	21	21	21
ADAMTS9-AS1	2	2	10
ADAMTS9-AS2	71	71	390
ADAMTSL1	0	0	0
ADAMTSL2	0	0	0
ADAMTSL3	1	1	0
ADAMTSL4	0	0	0
ADAMTSL4-AS1	6	7	9
ADAMTSL5	0	0	0
ADAP1	103	118	68
ADAP2	0	0	0
ADAR	402	402	361
ADARB1	3	3	3
ADARB2	84	85	225
ADARB2-AS1	1	1	9
ADAT1	62	62	66
ADAT2	0	0	1
ADAT3	0	0	0
ADCK1	0	0	0
ADCK2	0	0	0
ADCK5	0	0	0
ADCY1	0	0	0
ADCY10	0	0	0
ADCY10P1	23	23	30
ADCY2	1	1	1
ADCY3	0	0	0
ADCY4	2	1	0
ADCY5	0	0	0
ADCY6	0	0	0
ADCY6-DT	0	0	0
ADCY7	21	21	21
ADCY8	0	0	0
ADCY9	3	3	3
ADCYAP1	0	0	2
ADCYAP1R1	0	0	0
ADD1	478	478	480
ADD2	227	227	239
ADD3	531	531	540
ADD3-AS1	2	2	17
ADGB	81	80	244
ADGB-DT	0	0	0
ADGRA1	0	0	0
ADGRA1-AS1	0	0	0
ADGRA2	0	0	0
ADGRA3	0	0	0
ADGRA3P1	0	0	0
ADGRB1	0	0	0
ADGRB2	1	1	0
ADGRB3	200	201	346
ADGRB3-DT	0	0	0
ADGRD1	0	0	0
