Gene Name	fr	rf	star
A1BG	0.496909867	0.525119319	0.708568536
A1BG-AS1	0.546600853	0.577631251	0.708568536
A1CF	0.14907296	0.157535796	0.118094756
A2M	4.124351893	4.358490347	5.3733114
A2M-AS1	0.29814592	0.315071591	0.354284268
A2ML1	0	0	0
A2MP1	0.198763947	0.210047728	0.177142134
A3GALT2	0.29814592	0.315071591	0.472379024
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	0.695673813	0.682655115	0.413331646
AACS	1.291965653	1.365310229	1.535231829
AACSP1	0.049690987	0.052511932	0
AADAC	0	0	0
AADACL2	0.099381973	0.105023864	0
AADACL2-AS1	0.14907296	0.157535796	0.531426402
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	0.248454933	0.262559659	0.29523689
AADAT	0	0	0
AAGAB	4.223733866	4.463514211	4.428553352
AAK1	28.57231733	30.19436084	32.12177364
AAMDC	0.44721888	0.472607387	0.531426402
AAMP	2.9814592	3.150715914	3.719984815
AANAT	1.19258368	1.155262502	1.358089695
AAR2	2.08702144	2.205501139	2.420942499
AARD	0	0	0
AARS1	3.776514986	3.990906824	4.664742864
AARS1P1	0	0	0
AARS2	0.496909867	0.525119319	0.472379024
AARSD1	0.099381973	0.105023864	0.236189512
AARSD1P1	0	0	0
AASDH	1.689493546	1.785405684	2.243800365
AASDHPPT	8.099630826	8.559444898	9.56567524
AASS	0	0	0.059047378
AATBC	0.397527893	0.420095455	0.472379024
AATF	1.19258368	1.260286365	3.129511035
AATK	8.894686612	9.399635809	11.39614396
ABALON	0	0	0
ABAT	3.031150186	3.203227845	3.660937437
ABCA1	2.484549333	2.625596595	2.716179389
ABCA10	1.093201707	1.155262502	1.18094756
ABCA11P	0.795055787	0.84019091	0.649521158
ABCA12	0	0	0
ABCA13	1.04351072	1.10275057	1.299042316
ABCA17P	0.546600853	0.577631251	1.121900182
ABCA2	1.04351072	1.10275057	1.417137073
ABCA3	2.037330453	2.152989208	2.952368901
ABCA3P1	0.049690987	0.052511932	0
ABCA4	0	0	0
ABCA5	4.521879786	5.198681257	4.48760073
ABCA6	0.14907296	0.157535796	0.354284268
ABCA7	8.049939839	8.506932967	10.92376493
ABCA8	0	0	0.059047378
ABCA9	0	0	0
ABCA9-AS1	0	0	0.059047378
ABCB1	1.590111573	1.732893752	4.19236384
ABCB10	13.81409429	15.07092445	19.0723031
ABCB10P1	0.099381973	0.105023864	0
ABCB10P3	0.099381973	0.210047728	0
ABCB10P4	0.198763947	0.052511932	0
ABCB11	0	0	0
ABCB4	1.093201707	1.155262502	1.358089695
ABCB5	0.248454933	0.315071591	0.531426402
ABCB6	0.695673813	0.735167046	0.354284268
ABCB7	7.006429119	7.141622737	7.971396033
ABCB8	2.037330453	2.152989208	0.59047378
ABCB9	0	0	0
ABCC1	1.987639466	2.100477276	6.199974692
ABCC10	1.888257493	1.995453412	2.361895121
ABCC11	0	0	0
ABCC12	0.198763947	0.210047728	0.118094756
ABCC13	2.733004266	2.888156254	3.424747925
ABCC2	0.14907296	0.157535796	0.177142134
ABCC3	9.242523519	9.819731264	12.51804414
ABCC4	37.51669493	39.64650858	44.58077041
ABCC5	2.186403413	2.310525003	2.598084633
ABCC5-AS1	0	0	0
ABCC6	0	0	0
ABCC6P1	0	0	0.118094756
ABCC6P2	0	0	0
ABCC8	0.198763947	0.210047728	0.177142134
ABCC9	0	0	0
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	3.180223146	3.360763641	3.956174327
ABCD3	2.2360944	2.363036935	2.716179389
ABCD4	0.7453648	0.787678978	0.944758048
ABCE1	11.72707285	11.71016081	17.24183438
ABCF1	0.546600853	0.577631251	4.015221705
ABCF2	2.931768213	3.098203982	3.719984815
ABCF2-H2BK1	0.347836907	0.367583523	0.413331646
ABCF2P1	0	0	0.177142134
ABCF2P2	0	0	0
ABCF3	1.987639466	2.100477276	2.598084633
ABCG1	0.29814592	0.315071591	0.354284268
