Gene Name	fr	rf	star
A1BG	0.00081	0.000869	0.001184
A1BG-AS1	0	0	0
A1CF	0.022278	0.022987	0.024264
A2M	0.934618	0.96434	1.070493
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	0.157386	0.157518	1.105689
A3GALT2	0.013657	0.010694	0.069425
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0.000733
AAAS	0.033211	0.03111	0.031568
AACS	0.023103	0.023838	0.02551
AACSP1	0.030487	0.031189	0.035984
AADAC	0.016781	0.017315	0.018529
AADACL2	0	0	0
AADACL2-AS1	0.006681	0.006837	0.035885
AADACL3	0.09278	0.094932	0.050364
AADACL4	0	0	0
AADACP1	0	0	0.002119
AADAT	0	0	0
AAGAB	0.278785	0.287651	0.461815
AAK1	0.038364	0.037979	0.04055
AAMDC	0	0	0
AAMP	0.338393	0.35003	0.270644
AANAT	1.422663	1.408223	1.311237
AAR2	0	0	0
AARD	0.002364	0.002439	0.017748
AARS1	0.065876	0.067971	0.091259
AARS1P1	0	0	0
AARS2	0.006928	0.007148	0.063208
AARSD1	0.012005	0.012498	0.005976
AARSD1P1	0	0	0
AASDH	0.33283	0.343415	0.367348
AASDHPPT	0.084455	0.087141	0.104266
AASS	0	0	0
AATBC	0.012645	0.013047	0.014925
AATF	0.371412	0.383224	0.416323
AATK	0.019519	0.020153	0.02347
ABALON	0	0	0.00402
ABAT	0.184805	0.190682	0.219857
ABCA1	0.003902	0.004007	0.01161
ABCA10	0.009573	0.009378	0.008424
ABCA11P	0	0	0
ABCA12	0.023404	0.024149	0.025842
ABCA13	0.00907	0.009358	0.010014
ABCA17P	0.00572	0.005902	0.008852
ABCA2	0	0	0
ABCA3	0.013657	0.014109	0.058261
ABCA3P1	0	0	0
ABCA4	0.001925	0.001986	0.002125
ABCA5	0.00431	0.004228	0.013716
ABCA6	0.087428	0.090208	0.098503
ABCA7	0.05686	0.058669	0.064346
ABCA8	0.005171	0.005335	0.278603
ABCA9	0	0	0
ABCA9-AS1	0	0	0.001606
ABCB1	0.008098	0.00896	0.012698
ABCB10	0.985513	1.005675	1.143739
ABCB10P1	0.001009	0.001041	0
ABCB10P3	0	0	0
ABCB10P4	0.001612	0.004363	0
ABCB11	0	0	0
ABCB4	0.061854	0.063821	0.069287
ABCB5	0.019835	0.020504	0.034387
ABCB6	0.197488	0.179871	0.238106
ABCB7	0.010606	0.011701	0.021084
ABCB8	0.014132	0.014582	0.017242
ABCB9	0	0	0
ABCC1	0	0	0
ABCC10	0.039718	0.040981	0.048471
ABCC11	0	0	0
ABCC12	0.00737	0.007633	0.004337
ABCC13	0.269633	0.278187	0.134065
ABCC2	0.103935	0.10724	0.11476
ABCC3	0.097405	0.09993	0.212498
ABCC4	1.405936	1.450647	1.541048
ABCC5	0.108282	0.111726	0.11956
ABCC5-AS1	0.000302	0.000311	0
ABCC6	0	0	0
ABCC6P1	0.006922	0.007142	0.054842
ABCC6P2	0	0	0
ABCC8	0.008555	0.008721	0.011434
ABCC9	0.002266	0.002338	0
ABCD1	0.026438	0.027278	0.033883
ABCD1P1	0	0	0.004949
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0.002127	0.002194	0
ABCD1P5	0.007122	0.007348	0.007864
ABCD2	0.078286	0.080776	0.08644
ABCD3	0.276136	0.284918	0.699806
ABCD4	0.002007	0.002071	0.002216
ABCE1	0.907514	0.925259	1.024292
ABCF1	0.012383	0.012777	0.24498
ABCF2	0.019452	0.020101	0.142069
ABCF2-H2BK1	0.015102	0.015583	0.015666
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	0.055698	0.05747	0.083322
ABCG1	0.163114	0.168302	0.180103
ABCG2	0.620095	0.639815	0.691903
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	0.082114	0.084776	0.018199
ABHD1	0	0	0
ABHD10	0.066262	0.068369	0.85794
ABHD11	0.069453	0.071662	0.076687
ABHD11-AS1	0	0	0
ABHD12	0.275854	0.284627	0.353374
ABHD12B	0	0	0
ABHD13	0.295792	0.305199	0.331691
ABHD14A	0	0	0.005163
ABHD14A-ACY1	0.014241	0.013406	0.05021
ABHD14B	0.283888	0.292092	0.612905
ABHD15	0	0	0.005725
ABHD16A	0.016362	0.016882	0.26893
ABHD16B	0	0	0
ABHD17A	0.303176	0.242682	0.232803
ABHD17AP1	0.030352	0.036964	0
ABHD17AP3	0.003038	0.02717	0
ABHD17AP4	9.30E-05	0.001511	0
ABHD17AP5	0	0	0
ABHD17AP6	0.029792	0.032983	0
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	0.231754	0.239124	0.260678
ABHD17C	0.031588	0.032593	0.030057
ABHD18	0.105502	0.107332	0.042826
ABHD2	0.511417	0.527681	0.569111
ABHD3	0.219774	0.226763	0.264468
ABHD4	0.355786	0.367573	0.42255
ABHD5	1.227126	1.265681	1.164667
ABHD6	0	0	0
ABHD8	0.100013	0.102052	0.160231
ABI1	1.967188	2.029748	2.321831
ABI1P1	0.002363	0.000693	0
ABI2	0.682791	0.703613	0.73357
ABI3	1.413708	1.458667	1.569204
ABI3BP	0	0	0
