Gene type	Gene Name	fr	rf	star
lncRNA	A1BG-AS1	0	0	0
lncRNA	A2M-AS1	3	3	3
lncRNA	AADACL2-AS1	51	52	57
lncRNA	AATBC	0	0	0
lncRNA	ABALON	0	0	0
lncRNA	ABCA9-AS1	3	3	3
lncRNA	ABCC5-AS1	0	0	1
lncRNA	ABHD11-AS1	0	0	0
lncRNA	ACBD3-AS1	1	1	0
lncRNA	ACBD7-DCLRE1CP1	0	0	0
lncRNA	ACOXL-AS1	0	0	0
lncRNA	ACTA2-AS1	0	0	1
lncRNA	ACTE1P	1	1	0
lncRNA	ACTN1-DT	1	1	1
lncRNA	ACTR3-AS1	8	9	8
lncRNA	ACVR2B-AS1	0	0	0
lncRNA	ADAM7-AS1	0	0	8
lncRNA	ADAM7-AS2	1	1	2
lncRNA	ADAMTS16-DT	0	0	0
lncRNA	ADAMTS19-AS1	0	0	1
lncRNA	ADAMTS9-AS1	1	1	1
lncRNA	ADAMTS9-AS2	92	93	104
lncRNA	ADAMTSL4-AS1	0	0	1
lncRNA	ADARB2-AS1	1	1	1
lncRNA	ADCY6-DT	0	0	0
lncRNA	ADD3-AS1	4	4	3
lncRNA	ADGB-DT	0	0	0
lncRNA	ADGRA1-AS1	0	0	0
lncRNA	ADGRB3-DT	0	0	1
lncRNA	ADGRD1-AS1	0	0	0
lncRNA	ADGRF5-AS1	0	0	0
lncRNA	ADGRL1-AS1	9	8	1
lncRNA	ADGRL3-AS1	24	21	28
lncRNA	ADIPOQ-AS1	0	0	0
lncRNA	ADIRF-AS1	1	2	1
lncRNA	ADNP-AS1	3	7	3
lncRNA	ADORA2A-AS1	8	8	6
lncRNA	ADPGK-AS1	1	1	1
lncRNA	AFAP1-AS1	0	0	2
lncRNA	AFDN-DT	0	0	4
lncRNA	AFF1-AS1	10	10	9
lncRNA	AFTPH-DT	0	0	9
lncRNA	AGAP11	7	7	6
lncRNA	AGAP1-IT1	0	0	0
lncRNA	AGAP2-AS1	0	0	0
lncRNA	AGBL1-AS1	0	0	3
lncRNA	AGBL4-AS1	2	2	2
lncRNA	AGBL4-IT1	14	21	18
lncRNA	AGBL5-AS1	0	0	1
lncRNA	AGPAT4-IT1	0	0	0
lncRNA	AHI1-DT	2	3	3
lncRNA	AIRN	0	0	1
lncRNA	AKAP17A_1	5	5	0
lncRNA	AKT3-IT1	1	1	0
lncRNA	ALDH1A2-AS1	1	1	0
lncRNA	ALDH1A3-AS1	0	0	5
lncRNA	ALDH1L1-AS1	0	0	0
lncRNA	ALDH1L1-AS2	1	1	1
lncRNA	ALG14-AS1	0	0	1
lncRNA	ALKBH3-AS1	0	0	1
lncRNA	ALMS1-IT1	0	0	0
lncRNA	ALOX12-AS1	35	35	39
lncRNA	ANKRD18DP	1	1	0
lncRNA	ANKRD20A4-ANKRD20A20P	10	14	0
lncRNA	ANKRD34C-AS1	7	2	1
lncRNA	ANKRD42-DT	1	0	0
lncRNA	ANKRD44-AS1	0	0	0
lncRNA	ANKRD44-IT1	43	43	43
lncRNA	ANKRD62P1-PARP4P3	0	0	0
lncRNA	ANO3-AS1	0	0	0
lncRNA	ANP32A-IT1	0	0	0
lncRNA	ANXA2R-AS1	1	1	1
lncRNA	ANXA2R-OT1	25	25	25
lncRNA	AOAH-IT1	0	0	0
lncRNA	AOX3P-AOX2P	0	0	0
lncRNA	AP1G2-AS1	0	0	0
lncRNA	AP4B1-AS1	17	12	4
lncRNA	APCDD1L-DT	11	10	10
lncRNA	APOA1-AS	3	3	1
lncRNA	APOBEC3B-AS1	0	0	0
lncRNA	APOC4-APOC2	0	0	0
lncRNA	APRG1	3	2	4
lncRNA	APTR	4	4	10
lncRNA	AQP4-AS1	14	14	18
lncRNA	AQP5-AS1	1	1	1
lncRNA	ARAP1-AS2	0	0	0
lncRNA	ARF4-AS1	3	3	3
lncRNA	ARFGEF1-DT	21	20	23
lncRNA	ARHGAP11A-DT	1	1	0
lncRNA	ARHGAP11B-DT	1	0	0
lncRNA	ARHGAP19-SLIT1	2	2	28
lncRNA	ARHGAP22-IT1	0	0	0
lncRNA	ARHGAP26-AS1	0	1	4
lncRNA	ARHGAP26-IT1	0	0	0
lncRNA	ARHGAP27P1-BPTFP1-KPNA2P3	9	9	9
lncRNA	ARHGAP28-AS1	0	0	0
lncRNA	ARHGAP31-AS1	0	0	1
lncRNA	ARHGAP42-AS1	0	0	0
lncRNA	ARHGAP44-AS1	1	1	1
lncRNA	ARHGAP5-AS1	0	0	0
lncRNA	ARHGEF17-AS1	0	0	1
lncRNA	ARHGEF26-AS1	16	16	17
lncRNA	ARHGEF35-AS1	15	9	8
lncRNA	ARHGEF38-IT1	0	0	0
lncRNA	ARHGEF3-AS1	1	1	0
lncRNA	ARHGEF7-AS1	0	0	0
lncRNA	ARHGEF7-AS2	1	1	1
lncRNA	ARHGEF9-IT1	0	0	0
lncRNA	ARIH2OS	22	22	22
lncRNA	ARL2-SNX15	3	3	8
lncRNA	ARLNC1	10	11	10
lncRNA	ARMC2-AS1	0	0	0
lncRNA	ARNTL2-AS1	9	8	1
lncRNA	ARRDC1-AS1	7	7	14
lncRNA	ARRDC3-AS1	1	1	1
lncRNA	ARSD-AS1	0	0	0
lncRNA	ASAH1-AS1	0	0	0
lncRNA	ASAP1-IT1	1	1	0
lncRNA	ASAP1-IT2	0	0	0
lncRNA	ASB15-AS1	1	1	1
lncRNA	ASB16-AS1	6	6	5
lncRNA	ASH1L-AS1	1	1	0
lncRNA	ASMTL_1	6	5	0
lncRNA	ASMTL-AS1	1	2	0
lncRNA	ASMTL-AS1_1	0	0	0
lncRNA	AS-PTPRE	1	1	0
lncRNA	ASTN2-AS1	31	31	24
lncRNA	ATE1-AS1	2	2	1
lncRNA	ATP11A-AS1	0	0	1
lncRNA	ATP11AUN	5	5	1
lncRNA	ATP13A3-DT	0	0	0
lncRNA	ATP13A4-AS1	0	0	0
lncRNA	ATP13A5-AS1	0	0	0
lncRNA	ATP1A1-AS1	2	1	3
lncRNA	ATP2A1-AS1	0	0	0
lncRNA	ATP2B1-AS1	1	1	0
lncRNA	ATP2B2-IT2	1	0	0
lncRNA	ATP2C2-AS1	0	0	2
lncRNA	ATP6AP1-DT	0	0	1
lncRNA	ATP6V0E2-AS1	0	0	1
lncRNA	ATP6V1B1-AS1	10	10	2
lncRNA	ATP6V1G2-DDX39B	0	0	94
lncRNA	ATP8B1-AS1	4	4	3
lncRNA	ATRIP-TREX1	0	0	0
lncRNA	ATXN1-AS1	0	1	3
lncRNA	ATXN2-AS	0	0	0
lncRNA	ATXN8OS	7	7	3
lncRNA	B3GALT1-AS1	16	16	13
lncRNA	B3GALT5-AS1	0	0	0
lncRNA	B3GAT1-DT	0	1	2
lncRNA	B4GALT1-AS1	0	0	2
lncRNA	B4GALT4-AS1	5	4	10
lncRNA	B4GAT1-DT	2	2	0
lncRNA	BAALC-AS1	0	0	1
lncRNA	BAALC-AS2	0	0	1
lncRNA	BABAM2-AS1	0	0	0
lncRNA	BACE1-AS	0	0	0
lncRNA	BACH1-IT2	0	0	0
lncRNA	BACH1-IT3	0	0	4
lncRNA	BAIAP2-DT	0	0	0
lncRNA	BALR6	9	7	13
lncRNA	BANCR	0	1	0
lncRNA	BARX1-DT	0	0	0
lncRNA	BASP1-AS1	4	5	5
lncRNA	BAZ1A-AS1	0	0	0
lncRNA	BAZ2B-AS1	0	0	1
lncRNA	BBOX1-AS1	4	4	5
