Gene type	Gene Name	fr	rf	star
snRNA	LOC124900488	0	0	0
snRNA	LOC124900516	0	0	0
snRNA	LOC124900632	0	0	0
snRNA	LOC124900883	0	0	0
snRNA	LOC124900884	0	0	0
snRNA	LOC124900885	0	0	0
snRNA	LOC124900887	1	1	0
snRNA	LOC124900889	0	0	0
snRNA	LOC124900915	25	23	19
snRNA	LOC124901190	0	0	0
snRNA	LOC124901191	0	0	0
snRNA	LOC124901192	0	0	0
snRNA	LOC124901219	0	0	0
snRNA	LOC124901224	0	0	0
snRNA	LOC124901516	1	0	0
snRNA	LOC124901518	0	0	0
snRNA	LOC124901522	0	0	0
snRNA	LOC124901523	0	0	0
snRNA	LOC124901863	0	0	0
snRNA	LOC124902076	0	0	0
snRNA	LOC124902077	0	0	0
snRNA	LOC124902331	0	0	0
snRNA	LOC124902333	0	0	0
snRNA	LOC124902335	0	0	0
snRNA	LOC124902818	0	0	0
snRNA	LOC124902821	0	0	0
snRNA	LOC124903091	0	0	0
snRNA	LOC124903094	0	0	0
snRNA	LOC124903096	0	0	0
snRNA	LOC124903097	0	0	0
snRNA	LOC124903120	0	0	0
snRNA	LOC124903275	0	0	0
snRNA	LOC124903414	0	0	0
snRNA	LOC124903782	0	0	0
snRNA	LOC124904107	0	0	0
snRNA	LOC124904108	0	0	0
snRNA	LOC124904109	0	0	0
snRNA	LOC124904111	0	0	0
snRNA	LOC124904112	0	0	0
snRNA	LOC124904122	2	4	2
snRNA	LOC124904135	11861	13255	0
snRNA	LOC124904136	11889	13319	0
snRNA	LOC124904137	11957	13128	0
snRNA	LOC124904138	12015	13108	0
snRNA	LOC124904139	11379	12429	0
snRNA	LOC124904140	11485	12385	0
snRNA	LOC124904141	12606	11581	0
snRNA	LOC124904142	6	5	0
snRNA	LOC124904143	11	6	0
snRNA	LOC124904144	11	5	0
snRNA	LOC124904145	5178	7549	5763
snRNA	LOC124904146	4417	9728	7
snRNA	LOC124904147	0	0	0
snRNA	LOC124904364	0	0	0
snRNA	LOC124904613	1000	114	7
snRNA	LOC124904616	4337	3157	1
snRNA	LOC124904619	1419	1584	1098
snRNA	LOC124904621	107	108	108
snRNA	LOC124904624	1	1	0
snRNA	LOC124904627	0	0	0
snRNA	LOC124904631	1	1	0
snRNA	LOC124904634	1	1	0
snRNA	LOC124904651	0	0	0
snRNA	LOC124904694	0	0	0
snRNA	LOC124904697	0	0	0
snRNA	LOC124904706	0	0	0
snRNA	LOC124904727	0	0	0
snRNA	LOC124904732	0	0	0
snRNA	LOC124904741	0	0	0
snRNA	LOC124904748	0	0	0
snRNA	LOC124904756	0	0	0
snRNA	LOC124904769	0	0	0
snRNA	LOC124904986	0	0	0
snRNA	LOC124905062	0	0	0
snRNA	LOC124905168	0	0	0
snRNA	LOC124905169	0	0	0
snRNA	LOC124905170	0	0	0
snRNA	LOC124905264	0	0	0
snRNA	LOC124905265	0	0	0
snRNA	LOC124905307	0	0	0
snRNA	LOC124906135	0	0	0
snRNA	LOC124906137	0	0	0
snRNA	LOC124906338	0	0	0
snRNA	LOC124906342	0	0	0
snRNA	LOC124906343	0	0	0
snRNA	RN7SK	11486	9597	12510
snRNA	RNU11	11857	11858	8919
snRNA	RNU1-1	52127	160737	4
snRNA	RNU12	2529	2529	2529
snRNA	RNU1-2	27509	1013	5
snRNA	RNU1-3	52912	152615	0
snRNA	RNU1-4	35702	1038	0
snRNA	RNU2-1	11789	13570	0
snRNA	RNU4-1	4351	4626	5540
snRNA	RNU4-2	17619	17500	13491
snRNA	RNU4ATAC	572	572	547
snRNA	RNU5A-1	168	167	299
snRNA	RNU5B-1	270	270	449
snRNA	RNU5D-1	1	2	2
snRNA	RNU5E-1	39	39	60
snRNA	RNU5F-1	8	8	12
snRNA	RNU6-1	2086	2076	0
snRNA	RNU6-2	2399	1220	1717
snRNA	RNU6-7	1626	1882	0
snRNA	RNU6-8	1867	2093	0
snRNA	RNU6-9	4129	3043	1753
snRNA	RNU6ATAC	157	158	127
snRNA	RNU7-1	51	51	76
snRNA	RNVU1-1	1846	2182	18
snRNA	RNVU1-14	27	27	30
snRNA	RNVU1-15	43	43	33
snRNA	RNVU1-17	5	5	4
snRNA	RNVU1-18	29089	6512	66
snRNA	RNVU1-19	1714	1460	0
snRNA	RNVU1-2A	50	78	0
snRNA	RNVU1-3	1	1	1
snRNA	RNVU1-4	2	2	2
snRNA	RNVU1-6	13	13	15
snRNA	RNVU1-7	17954	7032	8676
snRNA	RNVU1-8	24	24	12
snRNA	SNAR-A1	1	1	0
snRNA	SNAR-A10	3	3	0
snRNA	SNAR-A11	4	3	0
snRNA	SNAR-A12	0	0	0
snRNA	SNAR-A13	0	0	0
snRNA	SNAR-A14	3	3	0
snRNA	SNAR-A2	1	0	0
snRNA	SNAR-A3	1	1	0
snRNA	SNAR-A4	3	2	0
snRNA	SNAR-A5	2	3	0
snRNA	SNAR-A6	2	2	0
snRNA	SNAR-A7	2	4	0
snRNA	SNAR-A8	3	2	0
snRNA	SNAR-A9	3	3	0
snRNA	SNAR-B1	0	0	0
snRNA	SNAR-B2	0	0	0
snRNA	SNAR-C1	0	0	0
snRNA	SNAR-C2	0	0	0
snRNA	SNAR-C3	0	0	0
snRNA	SNAR-C4	0	0	0
snRNA	SNAR-C5	0	0	0
snRNA	SNAR-D	0	0	0
snRNA	SNAR-E	1	1	1
snRNA	SNAR-F	0	0	0
snRNA	SNAR-G1	0	0	0
snRNA	SNAR-G2	0	0	0
snRNA	SNAR-H	0	0	0
snRNA	SNAR-I	0	0	0
