Gene type	Gene Name	fr	rf	star
tRNA	TRA-AGC10-1	0	0	0
tRNA	TRA-AGC1-1	3	3	0
tRNA	TRA-AGC11-1	14	14	30
tRNA	TRA-AGC12-1	0	0	0
tRNA	TRA-AGC12-3	0	0	0
tRNA	TRA-AGC13-2	0	0	0
tRNA	TRA-AGC14-1	0	0	0
tRNA	TRA-AGC14-2	0	0	0
tRNA	TRA-AGC15-1	0	0	0
tRNA	TRA-AGC2-1	21	8	0
tRNA	TRA-AGC2-2	91	98	0
tRNA	TRA-AGC24-1	0	0	0
tRNA	TRA-AGC3-1	45	47	1
tRNA	TRA-AGC4-1	30	29	0
tRNA	TRA-AGC5-1	1	1	0
tRNA	TRA-AGC6-1	1	1	0
tRNA	TRA-AGC7-1	9	8	0
tRNA	TRA-AGC8-1	100	106	295
tRNA	TRA-AGC8-2	23	17	9
tRNA	TRA-AGC9-1	0	0	0
tRNA	TRA-CGC1-1	56	56	0
tRNA	TRA-CGC2-1	56	82	1
tRNA	TRA-CGC3-1	17	17	25
tRNA	TRA-CGC4-1	2	2	0
tRNA	TRA-TGC1-1	1	1	1
tRNA	TRA-TGC2-1	31	31	0
tRNA	TRA-TGC3-1	83	83	7
tRNA	TRA-TGC3-2	529	553	122
tRNA	TRA-TGC4-1	796	796	873
tRNA	TRA-TGC5-1	0	0	0
tRNA	TRA-TGC6-1	1	1	0
tRNA	TRA-TGC7-1	0	0	0
tRNA	TRC-GCA10-1	0	0	0
tRNA	TRC-GCA1-1	0	0	1
tRNA	TRC-GCA11-1	2	2	6
tRNA	TRC-GCA12-1	0	0	0
tRNA	TRC-GCA13-1	0	0	1
tRNA	TRC-GCA14-1	2	2	7
tRNA	TRC-GCA15-1	1	1	1
tRNA	TRC-GCA16-1	0	0	0
tRNA	TRC-GCA17-1	1	1	2
tRNA	TRC-GCA18-1	0	0	0
tRNA	TRC-GCA19-1	0	0	0
tRNA	TRC-GCA20-1	0	0	1
tRNA	TRC-GCA2-1	9	10	0
tRNA	TRC-GCA21-1	0	0	0
tRNA	TRC-GCA2-2	22	23	5
tRNA	TRC-GCA22-1	0	0	1
tRNA	TRC-GCA2-3	13	14	11
tRNA	TRC-GCA23-1	2	2	2
tRNA	TRC-GCA2-4	53	52	46
tRNA	TRC-GCA3-1	2	2	2
tRNA	TRC-GCA4-1	39	39	97
tRNA	TRC-GCA5-1	7	7	7
tRNA	TRC-GCA6-1	1	1	2
tRNA	TRC-GCA7-1	1	1	19
tRNA	TRC-GCA8-1	0	0	0
tRNA	TRC-GCA9-1	0	0	0
tRNA	TRC-GCA9-2	0	0	0
tRNA	TRC-GCA9-3	0	0	0
tRNA	TRC-GCA9-4	0	0	0
tRNA	TRD-GTC1-1	11809	11801	13018
tRNA	TRD-GTC2-1	8292	21636	0
tRNA	TRD-GTC2-10	325	302	42
tRNA	TRD-GTC2-11	26134	26316	698
tRNA	TRD-GTC2-2	16819	22288	0
tRNA	TRD-GTC2-3	19363	23119	0
tRNA	TRD-GTC2-4	22851	24551	0
tRNA	TRD-GTC2-5	29347	26620	0
tRNA	TRD-GTC2-6	9360	11340	24
tRNA	TRD-GTC2-7	19992	17837	5475
tRNA	TRD-GTC2-8	13374	12627	147
tRNA	TRD-GTC2-9	2323	2461	150
tRNA	TRD-GTC3-1	29	97	51
tRNA	TRE-CTC1-1	3856	3929	686
tRNA	TRE-CTC1-2	20766	32767	0
tRNA	TRE-CTC1-3	24546	34323	0
tRNA	TRE-CTC1-4	30686	37394	0
tRNA	TRE-CTC1-5	46107	44936	0
tRNA	TRE-CTC1-6	3677	3747	1
tRNA	TRE-CTC1-7	44869	46321	85
tRNA	TRE-CTC2-1	183	202	631
tRNA	TRE-TTC1-1	97	89	1079
tRNA	TRE-TTC1-2	10864	10876	85
tRNA	TRE-TTC2-1	83247	86791	46422
tRNA	TRE-TTC2-2	10082	6625	4411
tRNA	TRE-TTC3-1	154	158	0
tRNA	TRE-TTC4-1	211	217	0
tRNA	TRE-TTC4-2	3366	3430	65
tRNA	TRF-GAA1-1	2	1	0
tRNA	TRF-GAA1-2	3	2	0
tRNA	TRF-GAA1-3	22	13	0
tRNA	TRF-GAA1-4	263	294	355
tRNA	TRF-GAA1-5	4	5	2
tRNA	TRF-GAA1-6	1	1	2
tRNA	TRF-GAA2-1	2	2	0
tRNA	TRF-GAA3-1	2	2	0
tRNA	TRF-GAA4-1	1	1	0
tRNA	TRF-GAA5-1	1	1	0
tRNA	TRF-GAA6-1	0	0	0
tRNA	TRG-CCC1-1	27	31	0
tRNA	TRG-CCC1-2	12	14	0
tRNA	TRG-CCC2-1	1641	706	191
tRNA	TRG-CCC2-2	10843	11850	8187
tRNA	TRG-CCC3-1	0	0	0
tRNA	TRG-CCC4-1	0	0	1
tRNA	TRG-CCC5-1	1	1	0
tRNA	TRG-CCC6-1	5	5	6
tRNA	TRG-GCC1-1	461	1267	0
tRNA	TRG-GCC1-2	984	1321	0
tRNA	TRG-GCC1-3	1272	1437	0
tRNA	TRG-GCC1-4	2114	1775	0
tRNA	TRG-GCC1-5	1426	1312	147
tRNA	TRG-GCC2-1	6717	9200	1346
tRNA	TRG-GCC2-2	531	325	164
tRNA	TRG-GCC2-3	6430	4502	66
tRNA	TRG-GCC2-4	876	200	629
tRNA	TRG-GCC2-5	1100	446	67
tRNA	TRG-GCC2-6	6529	6710	482
tRNA	TRG-GCC3-1	516	64	745
tRNA	TRG-GCC4-1	0	0	0
tRNA	TRG-TCC1-1	5632	5672	7919
tRNA	TRG-TCC2-1	78	88	40
tRNA	TRG-TCC2-2	866	1234	0
tRNA	TRG-TCC2-3	998	1289	0
tRNA	TRG-TCC2-4	1181	1377	0
tRNA	TRG-TCC2-5	1686	1618	0
tRNA	TRG-TCC2-6	1896	2037	433
tRNA	TRG-TCC3-1	2951	2983	3091
tRNA	TRG-TCC4-1	1	1	19
tRNA	TRH-GTG1-1	51	67	0
tRNA	TRH-GTG1-2	43	59	4
tRNA	TRH-GTG1-3	38	54	0
tRNA	TRH-GTG1-4	247	249	0
tRNA	TRH-GTG1-5	38	56	2
tRNA	TRH-GTG1-6	108	55	0
tRNA	TRH-GTG1-7	237	298	97
tRNA	TRH-GTG1-8	446	376	79
tRNA	TRH-GTG1-9	50	77	0
tRNA	TRI-AAT1-1	53	53	355
tRNA	TRI-AAT2-1	16	15	9
tRNA	TRI-AAT3-1	15	15	24
tRNA	TRI-AAT4-1	43	44	52
tRNA	TRI-AAT5-1	16	14	0
tRNA	TRI-AAT5-2	63	52	2
tRNA	TRI-AAT5-3	83	62	10
tRNA	TRI-AAT5-4	13	13	20
tRNA	TRI-AAT5-5	132	152	102
tRNA	TRI-AAT6-1	1	1	0
tRNA	TRI-AAT7-1	28	27	2
tRNA	TRI-AAT7-2	22	20	0
tRNA	TRI-AAT8-1	319	363	1
tRNA	TRI-AAT9-1	1	1	7
tRNA	TRI-GAT1-1	0	0	0
tRNA	TRI-GAT1-2	0	0	0
tRNA	TRI-GAT1-3	0	0	0
tRNA	TRI-TAT1-1	15	15	66
tRNA	TRI-TAT2-1	56	56	53
tRNA	TRI-TAT2-2	0	0	2
tRNA	TRI-TAT2-3	0	0	3
tRNA	TRI-TAT3-1	0	0	4
tRNA	TRK-CTT1-1	23136	23764	22152
tRNA	TRK-CTT1-2	804	265	300
tRNA	TRK-CTT2-1	2121	2183	64
tRNA	TRK-CTT2-2	10	16	348
tRNA	TRK-CTT2-3	977	744	329
tRNA	TRK-CTT2-4	2114	2168	1
tRNA	TRK-CTT2-5	394	397	270
tRNA	TRK-CTT3-1	57	25	0
tRNA	TRK-CTT4-1	168	244	202
tRNA	TRK-CTT5-1	1	1	0
tRNA	TRK-CTT6-1	41	5	10
tRNA	TRK-CTT7-1	3	0	1
tRNA	TRK-CTT8-1	0	0	2
tRNA	TRK-CTT9-1	0	0	1
tRNA	TRK-TTT1-1	15	13	103
tRNA	TRK-TTT2-1	5	5	1
tRNA	TRK-TTT3-1	226	153	13
tRNA	TRK-TTT3-2	433	528	7
tRNA	TRK-TTT3-3	116	116	0
tRNA	TRK-TTT3-4	396	391	4
