Gene type	Gene Name	fr	rf	star
pseudo	A2MP1	30	30	164
pseudo	AA06	0	0	1
pseudo	AACSP1	7	7	21
pseudo	AADACP1	19	19	19
pseudo	AARS1P1	0	0	0
pseudo	AARSD1P1	0	0	0
pseudo	ABCA11P	0	0	0
pseudo	ABCA17P	23	22	39
pseudo	ABCA3P1	0	0	0
pseudo	ABCB10P1	0	0	0
pseudo	ABCB10P3	0	0	0
pseudo	ABCB10P4	0	1	0
pseudo	ABCC13	103	103	50
pseudo	ABCC6P1	25	21	62
pseudo	ABCC6P2	0	0	0
pseudo	ABCD1P1	0	0	0
pseudo	ABCD1P2	0	0	0
pseudo	ABCD1P3	0	0	0
pseudo	ABCD1P4	0	0	0
pseudo	ABCD1P5	0	0	0
pseudo	ABCF2P1	0	0	0
pseudo	ABCF2P2	0	0	0
pseudo	ABHD17AP1	0	8	1
pseudo	ABHD17AP3	0	1	0
pseudo	ABHD17AP4	0	0	0
pseudo	ABHD17AP5	0	0	0
pseudo	ABHD17AP6	2	2	0
pseudo	ABHD17AP7	0	0	0
pseudo	ABHD17AP8	0	0	0
pseudo	ABHD17AP9	0	0	0
pseudo	ABI1P1	0	0	0
pseudo	ABITRAMP1	0	0	0
pseudo	ABT1P1	0	0	0
pseudo	ACAA2P1	0	0	0
pseudo	ACE3P	4	5	16
pseudo	ACER2P1	0	0	0
pseudo	ACKR4P1	1	1	3
pseudo	ACNATP	0	0	0
pseudo	ACRP1	0	0	0
pseudo	ACSM5P1	0	0	1
pseudo	ACTBP1	0	0	0
pseudo	ACTBP10	1	1	0
pseudo	ACTBP11	0	0	0
pseudo	ACTBP12	0	0	0
pseudo	ACTBP14	0	0	0
pseudo	ACTBP15	0	0	0
pseudo	ACTBP2	2	3	0
pseudo	ACTBP3	0	0	0
pseudo	ACTBP4	0	0	1
pseudo	ACTBP6	0	0	0
pseudo	ACTBP7	0	0	0
pseudo	ACTBP8	0	0	0
pseudo	ACTBP9	0	0	0
pseudo	ACTG1P1	0	0	1
pseudo	ACTG1P10	0	0	2
pseudo	ACTG1P11	5	6	0
pseudo	ACTG1P12	0	0	0
pseudo	ACTG1P13	0	0	0
pseudo	ACTG1P14	0	0	0
pseudo	ACTG1P15	0	0	0
pseudo	ACTG1P16	6	6	6
pseudo	ACTG1P17	1	1	0
pseudo	ACTG1P18	0	0	0
pseudo	ACTG1P19	0	0	0
pseudo	ACTG1P2	17	17	0
pseudo	ACTG1P20	0	0	0
pseudo	ACTG1P21	0	0	0
pseudo	ACTG1P22	0	0	0
pseudo	ACTG1P23	0	0	1
pseudo	ACTG1P24	0	0	0
pseudo	ACTG1P25	2	2	5
pseudo	ACTG1P3	0	0	0
pseudo	ACTG1P4	0	0	0
pseudo	ACTG1P9	0	0	1
pseudo	ACTL11P	0	0	0
pseudo	ACTN4P1	0	0	0
pseudo	ACTP1	0	0	0
pseudo	ACTR1AP1	0	0	0
pseudo	ACTR3BP1	0	0	0
pseudo	ACTR3BP2	0	0	0
pseudo	ACTR3BP3	0	0	0
pseudo	ACTR3BP4	0	0	0
pseudo	ACTR3BP5	0	0	0
pseudo	ACTR3BP6	0	0	0
pseudo	ACTR3BP7	0	0	0
pseudo	ACTR3P1	0	0	0
pseudo	ACTR3P2	8	8	3
pseudo	ACTR3P3	0	0	0
pseudo	ACTR6P1	0	0	0
pseudo	ACTRT1P1	0	0	0
pseudo	ADAD1P1	0	0	1
pseudo	ADAD1P2	0	0	1
pseudo	ADAM1A	2	2	2
pseudo	ADAM1B	0	0	0
pseudo	ADAM20P1	1	1	0
pseudo	ADAM20P2	0	0	0
pseudo	ADAM20P3	0	0	0
pseudo	ADAM21P1	0	0	0
pseudo	ADAM24P	0	0	0
pseudo	ADAM3A	6	5	14
pseudo	ADAM3B	0	0	3
pseudo	ADAM5	5	5	25
pseudo	ADAM6	0	0	0
pseudo	ADAMTS7P1	31	31	48
pseudo	ADAMTS7P3	0	0	0
pseudo	ADAMTS7P4	2	2	2
pseudo	ADCY10P1	5	6	12
pseudo	ADGRA3P1	0	0	0
pseudo	ADGRE4P	24	23	25
pseudo	ADGRF5P1	3	3	3
pseudo	ADGRF5P2	0	0	0
pseudo	ADH5P2	0	0	0
pseudo	ADH5P3	0	0	0
pseudo	ADH5P4	2	2	0
pseudo	ADH5P5	0	0	0
pseudo	ADI1P1	0	0	0
pseudo	ADI1P2	0	0	0
pseudo	ADI1P3	0	0	0
pseudo	ADIPOR1P1	0	0	0
pseudo	ADIPOR1P2	0	0	0
pseudo	ADORA2BP1	0	0	0
pseudo	AFG3L1P	7	8	6
pseudo	AFG3L2P1	1	1	5
pseudo	AGAP10P	8	11	8
pseudo	AGAP12P	3	6	0
pseudo	AGAP13P	7	15	0
pseudo	AGAP14P	2	6	0
pseudo	AGAP7P	41	13	24
pseudo	AGGF1P1	0	0	0
pseudo	AGGF1P10	1	1	0
pseudo	AGGF1P2	0	0	0
pseudo	AGGF1P3	0	0	0
pseudo	AGGF1P4	0	0	0
pseudo	AGGF1P5	0	0	0
pseudo	AGGF1P6	0	0	0
pseudo	AGGF1P7	0	0	0
pseudo	AGGF1P8	0	0	0
pseudo	AGGF1P9	0	0	0
pseudo	AGKP1	0	0	0
pseudo	AGKP2	0	0	0
pseudo	AGPAT5P1	0	0	0
pseudo	AHCTF1P1	62	53	9
pseudo	AHCYP1	0	0	0
pseudo	AHCYP2	0	0	0
pseudo	AHCYP3	0	0	0
pseudo	AHCYP4	0	0	1
pseudo	AHCYP5	0	0	0
pseudo	AHCYP6	17	17	20
pseudo	AHCYP7	0	0	0
pseudo	AHCYP8	0	0	0
pseudo	AHSA2P	224	224	1582
pseudo	AIDAP1	0	0	0
pseudo	AIDAP2	0	0	0
pseudo	AIDAP3	0	0	0
pseudo	AIFM1P1	0	0	0
pseudo	AIG1P1	0	0	0
pseudo	AIMP1P1	0	0	0
pseudo	AIMP1P2	0	0	0
pseudo	AK2P1	6	2	0
pseudo	AK2P2	0	0	0
pseudo	AK3P2	0	0	0
pseudo	AK3P3	0	0	0
pseudo	AK3P4	0	0	0
pseudo	AK3P5	0	0	0
pseudo	AK3P6	1	1	4
pseudo	AK4P1	0	0	0
pseudo	AK4P2	0	0	0
pseudo	AK4P3	1	1	0
pseudo	AK4P4	0	0	0
pseudo	AK4P5	0	0	0
pseudo	AK4P6	0	0	0
pseudo	AKAP17BP	0	0	0
