Gene type	Gene Name	fr	rf	star
protein_coding	A1BG	1	1	1
protein_coding	A1CF	12	12	12
protein_coding	A2M	240	240	249
protein_coding	A2ML1	0	0	0
protein_coding	A3GALT2	11	9	49
protein_coding	A4GALT	0	0	0
protein_coding	A4GNT	0	0	0
protein_coding	AAAS	26	23	22
protein_coding	AACS	5	5	5
protein_coding	AADAC	2	2	2
protein_coding	AADACL2	0	0	0
protein_coding	AADACL3	64	63	32
protein_coding	AADACL4	0	0	0
protein_coding	AADAT	0	0	0
protein_coding	AAGAB	50	50	74
protein_coding	AAK1	104	103	65
protein_coding	AAMDC	0	0	0
protein_coding	AAMP	110	110	80
protein_coding	AANAT	1286	1234	1073
protein_coding	AAR2	0	0	0
protein_coding	AARD	1	1	6
protein_coding	AARS1	13	13	16
protein_coding	AARS2	2	2	15
protein_coding	AARSD1	10	10	5
protein_coding	AASDH	67	67	67
protein_coding	AASDHPPT	96	96	108
protein_coding	AASS	0	0	0
protein_coding	AATF	42	42	42
protein_coding	AATK	53	53	55
protein_coding	ABAT	55	55	59
protein_coding	ABCA1	31	31	84
protein_coding	ABCA10	50	48	40
protein_coding	ABCA12	12	12	12
protein_coding	ABCA13	9	9	9
protein_coding	ABCA2	0	0	0
protein_coding	ABCA3	48	48	185
protein_coding	ABCA4	1	1	1
protein_coding	ABCA5	20	19	56
protein_coding	ABCA6	26	26	26
protein_coding	ABCA7	21	21	22
protein_coding	ABCA8	2	2	82
protein_coding	ABCA9	0	0	0
protein_coding	ABCB1	92	99	131
protein_coding	ABCB10	206	204	216
protein_coding	ABCB11	0	0	0
protein_coding	ABCB4	15	15	15
protein_coding	ABCB5	152	152	238
protein_coding	ABCB6	68	56	41
protein_coding	ABCB7	61	65	109
protein_coding	ABCB8	15	15	17
protein_coding	ABCB9	0	0	0
protein_coding	ABCC1	0	0	0
protein_coding	ABCC10	11	11	13
protein_coding	ABCC11	0	0	0
protein_coding	ABCC12	30	30	16
protein_coding	ABCC2	33	33	33
protein_coding	ABCC3	302	300	595
protein_coding	ABCC4	444	444	441
protein_coding	ABCC5	35	35	35
protein_coding	ABCC6	0	0	0
protein_coding	ABCC8	39	39	48
protein_coding	ABCC9	2	2	0
protein_coding	ABCD1	6	6	7
protein_coding	ABCD2	27	27	27
protein_coding	ABCD3	54	54	124
protein_coding	ABCD4	1	1	1
protein_coding	ABCE1	214	212	212
protein_coding	ABCF1	14	14	62
protein_coding	ABCF2	17	17	43
protein_coding	ABCF2-H2BK1	16	16	15
protein_coding	ABCF3	8	8	11
protein_coding	ABCG1	28	28	28
protein_coding	ABCG2	158	158	160
protein_coding	ABCG4	0	0	0
protein_coding	ABCG5	0	0	0
protein_coding	ABCG8	195	195	40
protein_coding	ABHD1	0	0	0
protein_coding	ABHD10	52	52	117
protein_coding	ABHD11	6	6	6
protein_coding	ABHD12	30	30	34
protein_coding	ABHD12B	0	0	0
protein_coding	ABHD13	85	85	86
protein_coding	ABHD14A	0	0	2
protein_coding	ABHD14A-ACY1	11	10	6
protein_coding	ABHD14B	94	94	184
protein_coding	ABHD15	0	0	2
protein_coding	ABHD16A	15	15	30
protein_coding	ABHD16B	0	0	0
protein_coding	ABHD17A	31	24	22
protein_coding	ABHD17B	39	39	39
protein_coding	ABHD17C	103	103	89
protein_coding	ABHD18	424	418	156
protein_coding	ABHD2	244	244	246
protein_coding	ABHD3	25	25	27
protein_coding	ABHD4	95	95	82
protein_coding	ABHD5	218	218	230
protein_coding	ABHD6	0	0	0
protein_coding	ABHD8	61	61	89
protein_coding	ABI1	387	387	413
protein_coding	ABI2	247	247	241
protein_coding	ABI3	125	125	125
protein_coding	ABI3BP	0	0	0
protein_coding	ABITRAM	32	32	32
protein_coding	ABL1	1357	1412	1660
protein_coding	ABL2	26	26	31
protein_coding	ABLIM1	376	376	402
protein_coding	ABLIM2	43	43	43
protein_coding	ABLIM3	184	184	191
protein_coding	ABO	24	24	3
protein_coding	ABR	30	26	72
protein_coding	ABRA	0	0	1
protein_coding	ABRACL	167	167	172
protein_coding	ABRAXAS1	170	170	174
protein_coding	ABRAXAS2	133	133	138
protein_coding	ABT1	11	11	0
protein_coding	ABTB1	289	289	308
protein_coding	ABTB2	125	124	635
protein_coding	ACAA1	24	24	24
protein_coding	ACAA2	133	133	180
protein_coding	ACACA	2	2	0
protein_coding	ACACB	14	14	15
protein_coding	ACAD10	68	68	27
protein_coding	ACAD11	0	0	0
protein_coding	ACAD8	0	0	0
protein_coding	ACAD9	35	35	35
protein_coding	ACADL	0	0	0
protein_coding	ACADM	30	30	40
protein_coding	ACADS	199	231	254
protein_coding	ACADSB	509	512	136
protein_coding	ACADVL	82	82	105
protein_coding	ACAN	0	0	0
protein_coding	ACAP1	0	0	51
protein_coding	ACAP2	639	639	644
protein_coding	ACAP3	0	0	1
protein_coding	ACAT1	402	401	359
protein_coding	ACAT2	146	148	169
protein_coding	ACBD3	155	154	128
protein_coding	ACBD4	16	16	17
protein_coding	ACBD5	103	103	111
protein_coding	ACBD6	104	104	98
protein_coding	ACBD7	6	6	18
protein_coding	ACCS	26	26	27
protein_coding	ACCSL	0	0	0
protein_coding	ACD	16	16	16
protein_coding	ACE	0	0	0
protein_coding	ACE2	60	61	62
protein_coding	ACER1	0	0	0
protein_coding	ACER2	8	8	11
