Gene type	Gene Name	fr	rf	star
Mt_tRNA	TRNA	4812	4806	64
Mt_tRNA	TRNC	41552	41083	42323
Mt_tRNA	TRND	7421	7203	2500
Mt_tRNA	TRNE	22013	22010	328
Mt_tRNA	TRNF	6165	6165	7857
Mt_tRNA	TRNG	28303	28302	35277
Mt_tRNA	TRNH	84125	84126	89325
Mt_tRNA	TRNI	4372	4337	6598
Mt_tRNA	TRNK	91209	91105	8883
Mt_tRNA	TRNL1	252935	252865	267900
Mt_tRNA	TRNL2	42745	42818	76625
Mt_tRNA	TRNM	171599	171650	197683
Mt_tRNA	TRNN	25487	25515	56
Mt_tRNA	TRNP	8669	8668	9899
Mt_tRNA	TRNQ	3050	3050	22
Mt_tRNA	TRNR	11404	11415	12127
Mt_tRNA	TRNS1	1851	1847	39
Mt_tRNA	TRNS2	13651	13651	14879
Mt_tRNA	TRNT	7437	7436	10331
Mt_tRNA	TRNV	266842	266801	279729
Mt_tRNA	TRNW	1462	1460	1948
Mt_tRNA	TRNY	2831	2840	2960
