Gene type	Gene Name	fr	rf	star
miRNA	MIR100	3	3	4
miRNA	MIR101-1	6	6	0
miRNA	MIR101-2	4	4	87
miRNA	MIR10226	0	0	0
miRNA	MIR10392	4	4	6
miRNA	MIR10393	4	4	4
miRNA	MIR10394	4	4	4
miRNA	MIR10396A	0	0	0
miRNA	MIR10396B	0	0	0
miRNA	MIR10397	0	0	0
miRNA	MIR10398	0	0	0
miRNA	MIR10399	0	0	0
miRNA	MIR103A1	14	14	3
miRNA	MIR103A2	8	8	429
miRNA	MIR103B1	0	0	0
miRNA	MIR103B2	0	0	0
miRNA	MIR10400	0	0	0
miRNA	MIR105-1	0	0	0
miRNA	MIR105-2	0	0	0
miRNA	MIR10522	0	0	0
miRNA	MIR10523	0	0	0
miRNA	MIR10524	0	0	0
miRNA	MIR10525	0	0	0
miRNA	MIR10526	0	0	0
miRNA	MIR10527	0	0	0
miRNA	MIR106A	1	1	5
miRNA	MIR106B	1	1	10
miRNA	MIR107	0	0	0
miRNA	MIR10A	0	0	2
miRNA	MIR10B	0	0	0
miRNA	MIR1-1	0	0	0
miRNA	MIR11181	0	0	0
miRNA	MIR11399	0	0	0
miRNA	MIR11400	0	0	0
miRNA	MIR11401	0	0	0
miRNA	MIR1178	0	0	0
miRNA	MIR1179	2	2	2
miRNA	MIR1180	0	0	0
miRNA	MIR1181	0	0	0
miRNA	MIR1182	0	0	0
miRNA	MIR1183	0	0	0
miRNA	MIR1184-1	0	0	0
miRNA	MIR1184-2	0	0	0
miRNA	MIR1184-3	0	0	0
miRNA	MIR1185-1	0	0	0
miRNA	MIR1185-2	0	0	0
miRNA	MIR1193	0	0	0
miRNA	MIR1197	0	0	0
miRNA	MIR1199	0	0	0
miRNA	MIR1-2	0	0	0
miRNA	MIR1200	0	0	0
miRNA	MIR1202	0	0	0
miRNA	MIR1203	0	0	0
miRNA	MIR1204	0	0	0
miRNA	MIR1205	0	0	0
miRNA	MIR1206	0	0	0
miRNA	MIR1207	0	0	0
miRNA	MIR1208	0	0	0
miRNA	MIR12113	0	0	0
miRNA	MIR12114	0	0	0
miRNA	MIR12115	0	0	0
miRNA	MIR12116	0	0	0
miRNA	MIR12117	0	0	0
miRNA	MIR12118	0	0	0
miRNA	MIR12119	0	0	0
miRNA	MIR12120	0	0	0
miRNA	MIR12121	0	0	0
miRNA	MIR12122	0	0	0
miRNA	MIR12123	0	0	0
miRNA	MIR12124	0	0	0
miRNA	MIR12125	0	0	0
miRNA	MIR12126	0	0	0
miRNA	MIR12127	0	0	0
miRNA	MIR12128	0	0	1
miRNA	MIR12129	0	0	0
miRNA	MIR12130	0	0	0
miRNA	MIR12131	0	0	0
miRNA	MIR12132	0	0	0
miRNA	MIR12133	0	0	0
miRNA	MIR12135	0	0	0
miRNA	MIR12136	7	7	0
miRNA	MIR122	0	0	0
miRNA	MIR1224	0	0	0
miRNA	MIR1225	0	0	0
miRNA	MIR1226	0	0	0
miRNA	MIR1227	0	0	0
miRNA	MIR1228	0	0	0
miRNA	MIR1229	3	3	0
miRNA	MIR1231	0	0	0
miRNA	MIR1233-1	0	0	0
miRNA	MIR1233-2	0	0	0
miRNA	MIR1234	0	0	0
miRNA	MIR1236	4	4	0
miRNA	MIR1237	0	0	0
miRNA	MIR1238	0	0	0
miRNA	MIR124-1	0	0	0
miRNA	MIR124-2	0	0	0
miRNA	MIR1243	0	0	0
miRNA	MIR124-3	0	0	0
miRNA	MIR1244-1	3	3	3
miRNA	MIR1244-2	4	4	4
miRNA	MIR1244-3	4	3	0
miRNA	MIR1244-4	0	0	0
miRNA	MIR1245A	0	0	0
miRNA	MIR1245B	0	0	0
miRNA	MIR1246	0	0	0
miRNA	MIR1247	0	0	0
miRNA	MIR1248	3	3	5
miRNA	MIR1249	3	3	3
miRNA	MIR1250	0	0	0
miRNA	MIR1251	0	0	0
miRNA	MIR1252	0	0	0
miRNA	MIR1253	0	0	0
miRNA	MIR1255A	0	0	0
