"","rf:fr_r","rf:fr_p","rf:star_r","rf:star_p","fr:star_r","fr:star_p"
"Mt_rRNA",NA,NA,NA,NA,NA,NA
"Mt_tRNA",0.97932025654222,2.37053953721556e-15,0.94943351127849,1.59996779725744e-11,0.88853359821719,3.34876764832001e-08
"lncRNA",0.994288176666551,0,0.648539022233633,0,0.647838990678586,0
"miRNA",0.98489227100074,0,0.952086986946326,0,0.966994847588884,0
"misc_RNA",0.985766019971594,4.60733728365631e-05,0.977977307041891,0.000136611356217727,0.999058583575323,5.22022479005295e-08
"other",0.999977658434658,1.53241187271843e-75,0.714970100125714,9.62338256238012e-07,0.712128263955314,1.11145239414729e-06
"protein_coding",0.990530445733969,0,0.965401536258394,0,0.989031547233906,0
"pseudo",0.515062016493102,0,0.153979279158281,1.01931133464544e-85,0.511862450749903,0
"rRNA",0.980025973354805,1.78537119902203e-20,-0.00852211619689631,0.965004060369636,-0.0207483608289875,0.91492403951356
"scRNA",0.923291341951862,0.076708658048138,0.891960128938269,0.108039871061731,0.996765139082418,0.0032348609175822
"snRNA",0.966902927997932,1.67581329860113e-88,0.0589617201792769,0.47656512407423,0.172172122373752,0.0363977021221376
"snoRNA",0.827561481996326,1.03018873392389e-312,0.806154292804137,2.06783716814903e-284,0.928895361826526,0
"tRNA",0.998993158244209,0,0.977893688838275,2.45294683822113e-292,0.983647722221801,5.02662388078884e-320
