		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p			Gene type	Gene Name	fr	rf	star
Mt_rRNA	SGI75460067									Mt_rRNA	RNR1	27	27	2
	SGI75460068									Mt_rRNA	RNR2	17	14	104
	SGI75460075													
	SGI75460076													
	SGI75460103													
	SGI75460104													
	SGI75460105													
Mt_tRNA	SGI75460067	0.996807645	1.96E-23	0.969862142	9.85E-14	0.952405598	8.84E-12		SGI75460067	Mt_rRNA	RNR1	56	55	21
	SGI75460068	0.999983669	2.43E-46	0.939212149	9.66E-11	0.93880601	1.03E-10			Mt_rRNA	RNR2	419	421	375
	SGI75460075	0.999998684	2.81E-57	0.870720323	1.37E-07	0.870833741	1.35E-07		SGI75460068	Mt_rRNA	RNR1	18	18	7
	SGI75460076	0.979320257	2.37E-15	0.949433511	1.60E-11	0.888533598	3.35E-08			Mt_rRNA	RNR2	113	113	113
	SGI75460103	0.999999899	2.07E-68	0.926076148	6.47E-10	0.926083551	6.46E-10		SGI75460075	Mt_rRNA	RNR1	10	10	3
	SGI75460104	0.999998982	2.15E-58	0.967716371	1.94E-13	0.967646838	1.98E-13			Mt_rRNA	RNR2	12	10	161
	SGI75460105	0.999999804	1.49E-65	0.901141401	1.06E-08	0.901145473	1.06E-08		SGI75460076	Mt_rRNA	RNR1	9	9	5
lncRNA	SGI75460067	0.783126621	0	0.538431879	0	0.855258401	0			Mt_rRNA	RNR2	14	11	172
	SGI75460068	0.960869261	0	0.911288095	0	0.950201631	0		SGI75460103	Mt_rRNA	RNR1	31	31	9
	SGI75460075	0.997964059	0	0.669731361	0	0.670381421	0			Mt_rRNA	RNR2	88	75	475
	SGI75460076	0.994288177	0	0.648539022	0	0.647838991	0		SGI75460104	Mt_rRNA	RNR1	114	113	121
	SGI75460103	0.98974638	0	0.703874115	0	0.708213644	0			Mt_rRNA	RNR2	882	686	3616
	SGI75460104	0.992528102	0	0.989275832	0	0.997321673	0		SGI75460105	Mt_rRNA	RNR1	27	27	2
	SGI75460105	0.995861011	0	0.711997046	0	0.710395246	0			Mt_rRNA	RNR2	17	14	104
miRNA	SGI75460067	0.998310196	0	0.907063541	0	0.911560614	0							
	SGI75460068	0.999052829	0	0.870117697	0	0.872077955	0							
	SGI75460075	0.999982918	0	0.978979906	0	0.979007786	0							
	SGI75460076	0.984892271	0	0.952086987	0	0.966994848	0							
	SGI75460103	0.999970018	0	0.921948262	0	0.922117973	0							
	SGI75460104	0.999971071	0	0.322462216	1.46E-47	0.323225995	8.63E-48							
	SGI75460105	0.999970112	0	0.976689622	0	0.976691711	0							
misc_RNA	SGI75460067	0.998084897	3.08E-07	0.926255919	0.00272518	0.947488052	0.001179699							
	SGI75460068	0.99999074	5.01E-13	0.95472457	0.000817513	0.954983211	0.000806001							
	SGI75460075	0.979551924	0.000113582	0.968115977	0.000342711	0.99854496	1.55E-07							
	SGI75460076	0.98576602	4.61E-05	0.977977307	0.000136611	0.999058584	5.22E-08							
	SGI75460103	0.995588352	2.48E-06	0.991807971	1.16E-05	0.999337888	2.17E-08							
	SGI75460104	0.993237424	7.20E-06	0.986605848	3.96E-05	0.998870683	8.23E-08							
	SGI75460105	0.995553896	2.53E-06	0.990967335	1.48E-05	0.999127689	4.31E-08							
other	SGI75460067	0.999987252	1.10E-79	0.595767865	0.000126288	0.595281968	0.000128319							
	SGI75460068	0.999346009	1.30E-50	0.759621692	7.79E-08	0.758173122	8.52E-08							
	SGI75460075	0.999988889	1.07E-80	0.540828433	0.000660355	0.537501404	0.000723441							
	SGI75460076	0.999977658	1.53E-75	0.7149701	9.62E-07	0.712128264	1.11E-06							
	SGI75460103	0.999995567	1.75E-87	0.616616736	6.21E-05	0.614510175	6.69E-05							
	SGI75460104	0.999997522	8.94E-92	0.931034763	1.89E-16	0.930235237	2.29E-16							
	SGI75460105	0.999946966	3.70E-69	0.433810936	0.008210173	0.431903433	0.008528807							
 protein_coding 	SGI75460067	0.987188808	0	0.944955553	0	0.968305972	0							
	SGI75460068	0.987662265	0	0.958935998	0	0.9854341	0							
	SGI75460075	0.985690839	0	0.914572408	0	0.968650674	0							
	SGI75460076	0.990530446	0	0.965401536	0	0.989031547	0							
	SGI75460103	0.996293377	0	0.984903006	0	0.995824544	0							
	SGI75460104	0.990954684	0	0.94256034	0	0.961374216	0							
	SGI75460105	0.995384347	0	0.974626538	0	0.990817659	0							
pseudo	SGI75460067	0.565181918	0	0.554585013	0	0.727121792	0							
	SGI75460068	0.433660633	0	0.157686944	7.44E-90	0.439200285	0							
	SGI75460075	0.59488777	0	0.060115927	2.51E-14	0.24371772	1.15E-215							
	SGI75460076	0.515062016	0	0.153979279	1.02E-85	0.511862451	0							
	SGI75460103	0.596248079	0	0.241272528	2.84E-211	0.551604946	0							
	SGI75460104	0.75318371	0	0.690153854	0	0.790715103	0							
