Gene Name	fr	rf	star
A1BG	0.06039	0.060828	0.073864
A1BG-AS1	0	0	0
A1CF	0	0	0
A2M	0.716518	0.721706	0.949548
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	0.117736	0.114358	0.376808
A3GALT2	0.000343	0.000629	0.017664
A4GALT	0.419837	0.422877	0.512769
A4GNT	0	0	0
AA06	0	0	0
AAAS	0.022024	0.017913	0.065039
AACS	0	0	0
AACSP1	0.002217	0.002247	0.0233
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0.00365	0.003681	0.026844
AADACL3	0.016104	0.016184	0.031465
AADACL4	0.053812	0.054202	0.065819
AADACP1	0	0	0.009263
AADAT	0	0	0
AAGAB	0.352363	0.354914	0.786304
AAK1	0.043202	0.043581	0.049384
AAMDC	0.143127	0.159327	0.197668
AAMP	1.10601	1.114019	1.339712
AANAT	0.50512	0.503141	0.336454
AAR2	0.383393	0.386169	0.468933
AARD	0.005969	0.006013	0.008366
AARS1	0.032691	0.032927	0
AARS1P1	0	0	0
AARS2	0	0	0.015597
AARSD1	0	0	0
AARSD1P1	0	0	0
AASDH	0.154892	0.156013	0.18945
AASDHPPT	0.198946	0.200386	0.246967
AASS	0	0	0
AATBC	0	0	0
AATF	0	0	1.307308
AATK	0.004781	0.004816	0.013743
ABALON	0.068407	0.068903	0.129689
ABAT	0.072017	0.072539	0.214514
ABCA1	0.004414	0.004446	0.010804
ABCA10	0.003623	0.003582	0.007497
ABCA11P	0	0	0
ABCA12	0	0	0
ABCA13	0.030295	0.030515	0.060156
ABCA17P	0.008054	0.008108	0.013346
ABCA2	0	0	0
ABCA3	0.010637	0.010462	0.128206
ABCA3P1	0	0	0
ABCA4	0	0	0
ABCA5	0.005044	0.004416	0.01636
ABCA6	0.204285	0.205764	0.249864
ABCA7	0	0	0
ABCA8	0	0	0.04221
ABCA9	0.003879	0.003907	0.007353
ABCA9-AS1	0.028216	0.028421	0.034396
ABCB1	0.010975	0.012173	0.111309
ABCB10	3.874864	4.108401	5.687263
ABCB10P1	0.034403	0.059699	0
ABCB10P3	0.047113	0.091445	0
ABCB10P4	0.166442	0.049892	0
ABCB11	0	0	0
ABCB4	0	0	0
ABCB5	0.028502	0.02879	0.039293
ABCB6	0.151222	0.152317	0.257081
ABCB7	0.009229	0.009246	0.013251
ABCB8	0.001548	0.00156	0.001894
ABCB9	0	0	0
ABCC1	0	0	0
ABCC10	0.016521	0.016641	0.020207
ABCC11	0	0	0
ABCC12	0.013444	0.013541	0.017648
ABCC13	0.106145	0.107153	0.169826
ABCC2	0.008296	0.008356	0.010147
ABCC3	0.142691	0.143275	0.541978
ABCC4	2.53734	2.555712	3.412859
ABCC5	0.664109	0.668918	0.637622
ABCC5-AS1	0.000769	0.000774	0
ABCC6	0	0	0
ABCC6P1	0.007469	0.007421	0.051992
ABCC6P2	0	0	0
ABCC8	0.001351	0.001285	0.0074
ABCC9	0	0	0
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	0	0	0
ABCD3	0.428574	0.431677	1.121508
ABCD4	0.397198	0.400074	0.531011
ABCE1	0.572881	0.497646	0.606362
ABCF1	0.007228	0.00728	0.267394
ABCF2	0.487502	0.490877	0.791741
ABCF2-H2BK1	0.000422	0.000425	0.001802
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	0.256628	0.258486	0.316971
ABCG1	0	0	0
ABCG2	0.384096	0.386877	0.403281
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	0.003523	0.003507	0.00038
ABHD1	0	0	0
ABHD10	0.208798	0.210309	0.800201
ABHD11	0	0	0.253264
ABHD11-AS1	0	0	0.027335
ABHD12	1.044094	1.051654	1.290856
ABHD12B	0	0	0
ABHD13	0.569428	0.573551	0.696476
ABHD14A	0	0	0
ABHD14A-ACY1	0	0	0
ABHD14B	0.000668	0.000673	0.120699
ABHD15	0.099675	0.100397	0.121792
ABHD16A	0.012679	0.012771	0
ABHD16B	0	0	0
ABHD17A	0.429964	0.244164	0.415834
ABHD17AP1	0	0.038566	0.019673
ABHD17AP3	0	0	0
ABHD17AP4	0.052169	0.043789	0
ABHD17AP5	0	0	0
ABHD17AP6	0	0.044652	0
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	0	0	0.044676
ABHD17C	0.051903	0.052278	0.060747
ABHD18	0.025365	0.025413	0.074926
ABHD2	0.525101	0.528903	0.647493
ABHD3	0.256317	0.258173	0.31272
ABHD4	0.174087	0.175347	0.350456
ABHD5	1.749158	1.761823	2.13291
ABHD6	0	0	0
ABHD8	0.039386	0.041621	0.072106
