Gene type	Gene Name	fr	rf	star
lncRNA	A1BG-AS1	0.08392	0.08424	0.110994
lncRNA	A2M-AS1	0.0	0.0	0.0
lncRNA	AADACL2-AS1	0.008004	0.007744	0.008022
lncRNA	AATBC	0.037354	0.037458	0.049404
lncRNA	ABALON	0.0	0.0	0.0
lncRNA	ABCA9-AS1	0.021696	0.021756	0.028696
lncRNA	ABCC5-AS1	0.0	0.0	0.003105
lncRNA	ABHD11-AS1	0.007315	0.007335	0.01935
lncRNA	ACBD3-AS1	0.0	0.0	0.0
lncRNA	ACBD7-DCLRE1CP1	0.0	0.0	0.0
lncRNA	ACOXL-AS1	0.005719	0.005735	0.0
lncRNA	ACTA2-AS1	0.011279	0.011311	0.014918
lncRNA	ACTE1P	0.003521	0.00273	0.006721
lncRNA	ACTN1-DT	0.000372	0.000172	0.0
lncRNA	ACTR3-AS1	0.020872	0.02085	0.019283
lncRNA	ACVR2B-AS1	0.0	0.0	0.0
lncRNA	ADAM7-AS1	0.013061	0.012164	0.0149
lncRNA	ADAM7-AS2	0.002952	0.003062	0.003787
lncRNA	ADAMTS16-DT	0.0	0.0	0.0
lncRNA	ADAMTS19-AS1	0.0	0.0	0.0
lncRNA	ADAMTS9-AS1	0.014678	0.014719	0.020963
lncRNA	ADAMTS9-AS2	0.027296	0.026491	0.0358
lncRNA	ADAMTSL4-AS1	0.000484	0.000485	0.001279
lncRNA	ADARB2-AS1	0.010386	0.010415	0.011019
lncRNA	ADCY6-DT	0.0	0.0	0.0
lncRNA	ADD3-AS1	0.002843	0.002555	0.000781
lncRNA	ADGB-DT	0.0	0.0	0.0
lncRNA	ADGRA1-AS1	0.0	0.0	0.0
lncRNA	ADGRB3-DT	0.0	0.0	0.0
lncRNA	ADGRD1-AS1	0.138472	0.138856	0.183144
lncRNA	ADGRF5-AS1	0.0	0.0	0.0
lncRNA	ADGRL1-AS1	0.017518	0.017621	0.0
lncRNA	ADGRL3-AS1	0.035555	0.040805	0.038083
lncRNA	ADIPOQ-AS1	0.018672	0.018619	0.003298
lncRNA	ADIRF-AS1	0.011687	0.013113	0.002461
lncRNA	ADNP-AS1	0.012059	0.009708	0.002131
lncRNA	ADORA2A-AS1	0.004765	0.00454	0.005082
lncRNA	ADPGK-AS1	0.0	0.0	0.000862
lncRNA	AFAP1-AS1	0.01019	0.010218	0.013477
lncRNA	AFDN-DT	0.0	0.0	0.003877
lncRNA	AFF1-AS1	0.040568	0.040681	0.055652
lncRNA	AFTPH-DT	0.0	0.0	0.044982
lncRNA	AGAP1-IT1	0.0	0.0	0.0
lncRNA	AGAP11	0.019918	0.019968	0.026064
lncRNA	AGAP2-AS1	0.0	0.0	0.005058
lncRNA	AGBL1-AS1	0.009708	0.008336	0.011531
lncRNA	AGBL4-AS1	0.021768	0.052126	0.002655
lncRNA	AGBL4-IT1	0.016515	0.016029	0.02138
lncRNA	AGBL5-AS1	0.0	0.0	0.007746
lncRNA	AGPAT4-IT1	0.0	0.0	0.0
lncRNA	AHI1-DT	0.010701	0.010966	0.009979
lncRNA	AIRN	0.003361	0.00337	0.0
lncRNA	AKAP17A_1	0.0	0.0	0.0
lncRNA	AKT3-IT1	0.0	0.0	0.0
lncRNA	ALDH1A2-AS1	0.0	0.0	0.0
lncRNA	ALDH1A3-AS1	0.000751	0.000753	0.0
lncRNA	ALDH1L1-AS1	0.010628	0.010658	0.003944
lncRNA	ALDH1L1-AS2	0.04186	0.04205	0.055233
lncRNA	ALG14-AS1	0.0	0.0	0.001421
lncRNA	ALKBH3-AS1	0.0	0.0	0.0
lncRNA	ALMS1-IT1	0.0	0.0	0.0
lncRNA	ALOX12-AS1	0.00595	0.006007	0.01079
lncRNA	ANKRD18DP	0.003826	0.003837	0.0
lncRNA	ANKRD20A4-ANKRD20A20P	0.016539	0.018234	0.013482
lncRNA	ANKRD34C-AS1	0.006167	0.002524	0.004735
lncRNA	ANKRD42-DT	0.0	0.0	0.0
lncRNA	ANKRD44-AS1	0.032879	0.03297	0.043486
lncRNA	ANKRD44-IT1	0.009995	0.009999	0.011672
lncRNA	ANKRD62P1-PARP4P3	0.028206	0.022212	0.035208
lncRNA	ANO3-AS1	0.0	0.0	0.0
lncRNA	ANP32A-IT1	0.0	0.0	0.0
lncRNA	ANXA2R-AS1	0.09419	0.094451	0.124576
lncRNA	ANXA2R-OT1	0.041669	0.041836	0.029954
lncRNA	AOAH-IT1	0.004192	0.004204	0.0
lncRNA	AOX3P-AOX2P	0.0	0.0	0.0
lncRNA	AP1G2-AS1	0.0	0.0	0.0
lncRNA	AP4B1-AS1	0.049994	0.026903	0.003463
lncRNA	APCDD1L-DT	0.022349	0.02277	0.018409
lncRNA	APOA1-AS	0.001445	0.001449	0.0
lncRNA	APOBEC3B-AS1	0.028439	0.028213	0.007867
lncRNA	APOC4-APOC2	0.035934	0.034635	0.045682
lncRNA	APRG1	0.009967	0.012552	0.008264
lncRNA	APTR	0.008404	0.008578	0.015407
lncRNA	AQP4-AS1	0.003007	0.003024	0.002968
lncRNA	AQP5-AS1	0.001475	0.001479	0.005926
lncRNA	ARAP1-AS2	0.0	0.0	0.001646
lncRNA	ARF4-AS1	0.017641	0.017745	0.062217
lncRNA	ARFGEF1-DT	0.014488	0.014469	0.011899
lncRNA	ARHGAP11A-DT	4e-05	0.000235	0.0
lncRNA	ARHGAP11B-DT	0.002933	0.00173	0.002493
lncRNA	ARHGAP19-SLIT1	0.000409	0.000387	0.000303
lncRNA	ARHGAP22-IT1	0.194171	0.19471	0.25665
lncRNA	ARHGAP26-AS1	0.002816	0.002823	0.0
lncRNA	ARHGAP26-IT1	0.379576	0.380631	0.502031
lncRNA	ARHGAP27P1-BPTFP1-KPNA2P3	0.001341	0.009873	0.001255
lncRNA	ARHGAP28-AS1	0.0	0.0	0.0
lncRNA	ARHGAP31-AS1	0.009963	0.009991	0.018102
lncRNA	ARHGAP42-AS1	0.007523	0.007544	0.0
lncRNA	ARHGAP44-AS1	0.000671	0.000673	0.0
lncRNA	ARHGAP5-AS1	0.078168	0.078385	0.099426
lncRNA	ARHGEF17-AS1	0.002877	0.002885	0.007611
lncRNA	ARHGEF26-AS1	0.006369	0.006455	0.007969
lncRNA	ARHGEF3-AS1	0.0	0.002032	0.0
lncRNA	ARHGEF35-AS1	0.012572	0.003821	0.0
lncRNA	ARHGEF38-IT1	0.0	0.000306	0.0
lncRNA	ARHGEF7-AS1	0.0	0.0	0.0
lncRNA	ARHGEF7-AS2	0.0	0.0	0.0
lncRNA	ARHGEF9-IT1	0.0	0.0	0.0
lncRNA	ARIH2OS	0.0	0.0	0.002469
lncRNA	ARL2-SNX15	0.003915	0.010084	0.591407
lncRNA	ARLNC1	0.006136	0.00629	0.006866
lncRNA	ARMC2-AS1	0.00367	0.00368	0.003354
lncRNA	ARNTL2-AS1	0.007677	0.007677	0.007733
lncRNA	ARRDC1-AS1	0.0	0.0	0.0
lncRNA	ARRDC3-AS1	0.023612	0.023677	0.031327
lncRNA	ARSD-AS1	0.0	0.0	0.0
lncRNA	AS-PTPRE	0.0	0.0	0.0
lncRNA	ASAH1-AS1	0.0	0.0	0.0
lncRNA	ASAP1-IT1	0.0	0.0	0.025812
lncRNA	ASAP1-IT2	0.0	0.0	0.0
lncRNA	ASB15-AS1	0.000336	0.001346	0.0
lncRNA	ASB16-AS1	0.07019	0.070385	0.093385
lncRNA	ASH1L-AS1	0.34132	0.389054	0.485378
lncRNA	ASMTL-AS1	0.032191	0.032281	0.0
lncRNA	ASMTL-AS1_1	0.032191	0.032281	0.0
lncRNA	ASMTL_1	0.0	0.0	0.0
lncRNA	ASTN2-AS1	0.00664	0.006731	0.001943
lncRNA	ATE1-AS1	5.6e-05	0.0	0.0
lncRNA	ATP11A-AS1	0.0	0.0	0.000971
lncRNA	ATP11AUN	0.019612	0.020212	0.02907
lncRNA	ATP13A3-DT	0.0	0.0	0.0
lncRNA	ATP13A4-AS1	0.0	0.0	0.0
lncRNA	ATP13A5-AS1	0.0	0.0	0.0
lncRNA	ATP1A1-AS1	0.022459	0.022521	0.031455
lncRNA	ATP2A1-AS1	0.0	0.0	0.0
lncRNA	ATP2B1-AS1	0.110859	0.111167	0.132243
lncRNA	ATP2B2-IT2	0.0	0.0	0.0
lncRNA	ATP2C2-AS1	0.0	0.0	0.0
lncRNA	ATP6AP1-DT	0.051443	0.051586	0.073744
lncRNA	ATP6V0E2-AS1	0.0	0.0	0.0
lncRNA	ATP6V1B1-AS1	0.017176	0.017466	0.023613
lncRNA	ATP6V1G2-DDX39B	0.0	0.0	0.23687
lncRNA	ATP8B1-AS1	0.041372	0.041605	0.051078
lncRNA	ATRIP-TREX1	0.001968	0.002261	0.002603
lncRNA	ATXN1-AS1	0.030391	0.028294	0.003629
lncRNA	ATXN2-AS	0.0	0.0	0.0
lncRNA	ATXN8OS	0.001741	0.001746	0.0
lncRNA	B3GALT1-AS1	0.01278	0.012754	0.004667
lncRNA	B3GALT5-AS1	0.0	0.0	0.000503
lncRNA	B3GAT1-DT	0.013153	0.012987	0.011918
lncRNA	B4GALT1-AS1	0.006962	0.006982	0.00856
lncRNA	B4GALT4-AS1	0.008654	0.008768	0.009141
lncRNA	B4GAT1-DT	0.061831	0.062188	0.079586
lncRNA	BAALC-AS1	0.10535	0.105643	0.155703
lncRNA	BAALC-AS2	0.039317	0.039006	0.051447
lncRNA	BABAM2-AS1	0.0	0.0	0.0
lncRNA	BACE1-AS	0.0	0.0	0.0
lncRNA	BACH1-IT2	0.0	0.0	0.0
lncRNA	BACH1-IT3	0.00486	0.004873	0.004155
lncRNA	BAIAP2-DT	0.069173	0.069365	0.091388
lncRNA	BALR6	0.012687	0.012641	0.014727
lncRNA	BANCR	0.024455	0.024539	0.008989
lncRNA	BARX1-DT	0.0	0.0	0.0
lncRNA	BASP1-AS1	0.020117	0.018439	0.022021
lncRNA	BAZ1A-AS1	0.25982	0.260541	0.34364
lncRNA	BAZ2B-AS1	0.081375	0.081601	0.111113
lncRNA	BBOX1-AS1	0.004379	0.004435	0.001662
lncRNA	BCAR3-AS1	8.5e-05	0.0	0.0
lncRNA	BCAR4	0.0	0.0	0.0
lncRNA	BCDIN3D-AS1	0.004308	0.00432	0.0
lncRNA	BCL10-AS1	0.0	0.0	0.0
lncRNA	BCRP3	0.011879	0.013465	0.00073
lncRNA	BCYRN1	20.436184	11.756909	14.276375
lncRNA	BDNF-AS	0.022017	0.020746	0.020687
lncRNA	BEAN1-AS1	0.094782	0.094571	0.006397
lncRNA	BFSP2-AS1	0.008983	0.008334	0.008643
lncRNA	BGLT3	0.084962	0.085198	0.112372
lncRNA	BHLHE22-AS1	0.0	0.0	0.0
lncRNA	BHLHE40-AS1	0.038196	0.036397	0.035073
lncRNA	BIN3-IT1	0.0	0.0	0.0
lncRNA	BIRC6-AS2	0.021429	0.021489	0.031291
lncRNA	BISPR	0.090191	0.092774	0.109527
lncRNA	BLACE	0.0	0.000295	0.0
lncRNA	BLOC1S1-RDH5	0.0	0.0	0.086763
lncRNA	BLOC1S5-TXNDC5	0.015053	0.015101	0.020226
lncRNA	BMP7-AS1	0.005005	0.005019	0.0
lncRNA	BMPR1B-DT	0.0	0.0	0.0
lncRNA	BMS1P14	0.003624	0.002292	0.0
lncRNA	BMS1P4-AGAP5	0.002901	0.001429	0.0
lncRNA	BNC2-AS1	0.0	0.0	0.0
lncRNA	BOK-AS1	0.043057	0.045753	0.017983
lncRNA	BOLA3-DT	0.064493	0.064494	0.078354
lncRNA	BORCS7-ASMT	0.041648	0.041697	0.05395
lncRNA	BPESC1	0.000741	0.000743	0.000551
lncRNA	BRINP3-DT	0.001013	0.003867	0.0
lncRNA	BRWD1-AS1	0.054907	0.05506	0.059342
lncRNA	BRWD1-AS2	0.0	0.0	0.0
lncRNA	BSN-DT	0.041675	0.041791	0.05512
lncRNA	BTBD9-AS1	0.0	0.0	0.0
lncRNA	BTG1-DT	0.016174	0.016179	0.00511
lncRNA	BTG2-DT	0.005505	0.006127	0.038698
lncRNA	BTG3-AS1	0.0	0.0	0.0
lncRNA	BVES-AS1	6.3e-05	0.000102	0.000629
lncRNA	BZW1-AS1	0.011905	0.008403	0.021216
lncRNA	C10orf126	0.007564	0.007705	0.007336
lncRNA	C10orf55	0.0	0.0	0.0
lncRNA	C10orf67-AS1	0.066478	0.066663	0.0
lncRNA	C10orf71-AS1	0.0	0.0	0.0
lncRNA	C10orf95-AS1	0.047892	0.048025	0.060298
lncRNA	C11orf40	0.0	0.0	0.0
lncRNA	C12orf42-AS1	0.044859	0.044984	0.069367
lncRNA	C12orf75-AS1	0.010589	0.010619	0.011296
lncRNA	C14orf178	0.008807	0.009993	0.000377
lncRNA	C15orf32	0.002424	0.002431	0.002728
lncRNA	C16orf95-DT	0.0	0.0	0.344137
lncRNA	C18orf15	0.416092	0.417247	0.550327
lncRNA	C18orf61	0.000125	0.004861	0.062071
lncRNA	C1QTNF1-AS1	0.024541	0.024609	0.00447
lncRNA	C1QTNF3-AMACR	0.004519	0.004451	0.001069
lncRNA	C1QTNF7-AS1	0.010858	0.010539	0.0
lncRNA	C1RL-AS1	0.017349	0.018045	0.002996
lncRNA	C1orf147	0.0	0.0	0.0
lncRNA	C1orf167-AS1	0.0	0.0	0.0
lncRNA	C1orf21-DT	0.0	0.0	0.0
lncRNA	C1orf220	0.0	0.0	0.0
lncRNA	C2-AS1	0.001121	0.001124	0.0
lncRNA	C21orf62-AS1	0.013972	0.014014	0.0
lncRNA	C21orf91-OT1	0.155394	0.164113	0.257625
lncRNA	C2CD4D-AS1	0.0	0.0	0.001615
lncRNA	C2orf27A	0.009371	0.00942	0.002678
lncRNA	C2orf74-DT	0.064972	0.065153	0.085933
lncRNA	C3orf36	0.0	0.0	0.0
lncRNA	C5-OT1	0.0	0.0	0.0
lncRNA	C5orf38	0.0745	0.074707	0.068022
lncRNA	C5orf60	0.001612	0.001616	0.0
lncRNA	C5orf64	0.02274	0.020244	0.006334
lncRNA	C5orf64-AS1	0.0	0.0	0.0
lncRNA	C5orf67	0.005768	0.005975	0.007393
lncRNA	C6orf223	0.005396	0.0076	0.010023
