Gene type	Gene Name	fr	rf	star
miRNA	MIR1-1	0.283603	0.284392	0.0
miRNA	MIR1-2	0.077693	0.077909	0.0
miRNA	MIR100	1.345249	1.348985	5.249559
miRNA	MIR101-1	22.020662	22.071114	30.88888
miRNA	MIR101-2	10.135778	10.171242	6.507504
miRNA	MIR10226	0.0	0.0	0.0
miRNA	MIR10392	0.0	0.0	0.0
miRNA	MIR10393	0.34847	0.405346	0.414314
miRNA	MIR10394	0.195002	0.195543	0.253596
miRNA	MIR10396A	0.0	0.0	0.0
miRNA	MIR10396B	0.012649	0.016912	0.0
miRNA	MIR10397	0.0	0.0	0.0
miRNA	MIR10398	0.0	0.0	0.0
miRNA	MIR10399	0.211623	0.212211	0.279895
miRNA	MIR103A1	33.64946	34.130516	2.272612
miRNA	MIR103A2	34.156673	34.661068	12.898161
miRNA	MIR103B1	0.0	0.0	0.0
miRNA	MIR103B2	0.0	0.0	0.0
miRNA	MIR10400	0.0	0.0	0.0
miRNA	MIR105-1	0.0	0.0	0.0
miRNA	MIR105-2	0.0	0.0	0.0
miRNA	MIR10522	0.0	0.0	0.0
miRNA	MIR10523	0.0	0.0	0.0
miRNA	MIR10524	0.0	0.0	0.0
miRNA	MIR10525	0.0	0.0	0.0
miRNA	MIR10526	0.0	0.0	0.0
miRNA	MIR10527	0.0	0.0	0.0
miRNA	MIR106A	1.009664	1.012468	2.254239
miRNA	MIR106B	12.941977	12.977922	8.556732
miRNA	MIR107	1.80628	1.031046	1.088709
miRNA	MIR10A	0.787353	0.789539	3.430363
miRNA	MIR10B	2.167535	2.173556	3.650887
miRNA	MIR11181	0.0	0.0	0.0
miRNA	MIR11399	0.0	0.0	0.0
miRNA	MIR11400	0.0	0.0	0.0
miRNA	MIR11401	0.0	0.0	0.0
miRNA	MIR1178	0.0	0.0	0.0
miRNA	MIR1179	0.0	0.0	0.0
miRNA	MIR1180	0.387361	0.388437	0.512327
miRNA	MIR1181	0.201019	0.201577	0.222388
miRNA	MIR1182	0.0	0.0	0.0
miRNA	MIR1183	0.0	0.0	0.0
miRNA	MIR1184-1	0.0	0.0	0.0
miRNA	MIR1184-2	0.0	0.0	0.0
miRNA	MIR1184-3	0.0	0.0	0.0
miRNA	MIR1185-1	0.0	0.0	0.0
miRNA	MIR1185-2	0.0	0.0	0.0
miRNA	MIR1193	0.0	0.0	0.0
miRNA	MIR1197	0.0	0.0	0.0
miRNA	MIR1199	0.0	0.0	0.0
miRNA	MIR1200	0.0	0.0	0.0
miRNA	MIR1202	0.0	0.0	0.0
