Gene type	Gene Name	fr	rf	star
snRNA	LOC124900488	0.0	0.0	0.0
snRNA	LOC124900516	0.0	0.0	0.0
snRNA	LOC124900632	0.0	0.0	0.0
snRNA	LOC124900883	0.0	0.0	0.0
snRNA	LOC124900884	0.0	0.0	0.0
snRNA	LOC124900885	0.0	0.0	0.0
snRNA	LOC124900887	0.0	0.0	0.0
snRNA	LOC124900889	0.0	0.0	0.0
snRNA	LOC124900915	0.0	0.0	0.945129
snRNA	LOC124901190	0.0	0.0	0.0
snRNA	LOC124901191	0.0	0.0	0.0
snRNA	LOC124901192	0.0	0.0	0.0
snRNA	LOC124901219	0.0	0.0	0.0
snRNA	LOC124901224	0.0	0.0	0.0
snRNA	LOC124901516	0.0	0.0	0.0
snRNA	LOC124901518	0.0	0.0	0.0
snRNA	LOC124901522	0.0	0.0	0.0
snRNA	LOC124901523	0.0	0.0	0.0
snRNA	LOC124901863	0.0	0.0	0.0
snRNA	LOC124902076	0.0	0.0	0.0
snRNA	LOC124902077	0.0	0.0	0.159224
snRNA	LOC124902331	0.0	0.0	0.0
snRNA	LOC124902333	0.0	0.0	0.0
snRNA	LOC124902335	0.0	0.0	0.0
snRNA	LOC124902818	0.0	0.0	0.0
snRNA	LOC124902821	0.0	0.0	0.0
snRNA	LOC124903091	0.0	0.0	0.0
snRNA	LOC124903094	0.0	0.0	0.0
snRNA	LOC124903096	0.0	0.0	0.0
snRNA	LOC124903097	0.0	0.0	0.0
snRNA	LOC124903120	0.0	0.0	0.0
snRNA	LOC124903275	0.0	0.0	0.0
snRNA	LOC124903414	0.0	0.0	0.0
snRNA	LOC124903782	0.0	0.0	0.0
snRNA	LOC124904107	0.0	0.0	0.896604
snRNA	LOC124904108	0.0	0.0	0.0
snRNA	LOC124904109	0.0	0.0	0.0
snRNA	LOC124904111	0.0	0.0	0.0
snRNA	LOC124904112	0.0	0.0	0.0
snRNA	LOC124904122	0.0	0.0	0.518686
snRNA	LOC124904135	2124.525879	2465.154297	0.0
snRNA	LOC124904136	2224.911133	2451.612793	0.0
snRNA	LOC124904137	2257.162109	2381.646484	0.0
snRNA	LOC124904138	2335.591797	2273.868408	0.0
snRNA	LOC124904139	1897.015503	1829.62854	0.0
snRNA	LOC124904140	1916.803345	1818.910156	0.0
snRNA	LOC124904141	2153.772461	1664.188477	0.0
snRNA	LOC124904142	6.635067	6.271896	0.0
snRNA	LOC124904143	7.099669	7.337005	0.0
snRNA	LOC124904144	7.20327	6.958742	0.0
snRNA	LOC124904145	170.878876	168.689011	287.600189
snRNA	LOC124904146	490.387939	1496.289062	2.952286
snRNA	LOC124904147	0.0	0.0	0.0
snRNA	LOC124904364	0.0	0.0	0.0
snRNA	LOC124904613	841.019104	305.402191	0.961172
snRNA	LOC124904616	77.136429	59.653393	0.203885
snRNA	LOC124904619	131.338882	107.691574	160.544846
snRNA	LOC124904621	41.487846	41.788242	51.246147
snRNA	LOC124904624	0.0	0.0	0.0
snRNA	LOC124904627	2.233437	2.25348	0.48191
snRNA	LOC124904631	0.0	0.0	0.0
snRNA	LOC124904634	0.0	0.0	0.0
snRNA	LOC124904651	0.0	0.0	0.0
snRNA	LOC124904694	0.0	0.0	0.0
snRNA	LOC124904697	0.0	0.0	0.0
snRNA	LOC124904706	0.0	0.0	0.0
snRNA	LOC124904727	0.0	0.0	0.0
snRNA	LOC124904732	0.0	0.0	0.0
snRNA	LOC124904741	0.0	0.0	0.0
snRNA	LOC124904748	0.0	0.0	0.0
snRNA	LOC124904756	0.0	0.0	0.0
snRNA	LOC124904769	0.0	0.0	0.0
snRNA	LOC124904986	0.0	0.0	0.0
snRNA	LOC124905062	0.0	0.0	0.0
snRNA	LOC124905168	0.0	0.0	0.0
snRNA	LOC124905169	0.0	0.0	0.0
snRNA	LOC124905170	0.0	0.0	0.0
snRNA	LOC124905264	0.0	0.0	0.0
snRNA	LOC124905265	0.0	0.0	0.0
snRNA	LOC124905307	0.0	0.0	0.0
snRNA	LOC124906135	0.0	0.0	0.0
snRNA	LOC124906137	0.0	0.0	0.0
snRNA	LOC124906338	0.0	0.0	0.0
snRNA	LOC124906342	0.0	0.0	0.0
snRNA	LOC124906343	0.0	0.0	0.0
snRNA	RN7SK	781.349426	620.363464	980.520447
snRNA	RNU1-1	11684.33008	20471.88867	0.0
snRNA	RNU1-2	1111.555176	431.439728	0.0
snRNA	RNU1-3	12393.09473	19981.0	0.0
snRNA	RNU1-4	95.731514	98.35144	0.0
snRNA	RNU11	922.901001	929.651428	1349.999268
snRNA	RNU12	1583.825684	1595.293579	2011.450439
snRNA	RNU2-1	2139.135986	2695.497314	0.0
snRNA	RNU4-1	605.77356	610.947388	788.431824
snRNA	RNU4-2	2211.563477	2214.97876	3069.265137
snRNA	RNU4ATAC	148.790268	149.867599	189.654678
snRNA	RNU5A-1	0.899389	1.290676	18.793926
snRNA	RNU5B-1	0.968002	0.975011	29.830765
snRNA	RNU5D-1	0.0	0.0	0.0
snRNA	RNU5E-1	1.301796	1.311222	2.716182
snRNA	RNU5F-1	68.36673	68.861748	84.018349
snRNA	RNU6-1	279.43277	133.810623	0.0
snRNA	RNU6-2	64.40947	225.430862	2.708303
snRNA	RNU6-7	3.319493	81.956108	0.0
snRNA	RNU6-8	4.433406	145.627396	0.0
snRNA	RNU6-9	162.899323	318.550598	4.977623
snRNA	RNU6ATAC	49.285995	49.642853	62.498775
snRNA	RNU7-1	1.886349	1.900007	43.468369
snRNA	RNVU1-1	0.874743	0.919721	1.432049
snRNA	RNVU1-14	0.789809	0.795528	1.266999
snRNA	RNVU1-15	1.956638	1.970806	2.393191
snRNA	RNVU1-17	0.378183	0.371913	0.0
snRNA	RNVU1-18	3293.424316	959.017151	26.854561
snRNA	RNVU1-19	2.342063	2.359021	0.0
snRNA	RNVU1-2A	0.613027	0.943682	0.0
snRNA	RNVU1-3	0.0	0.0	0.0
snRNA	RNVU1-4	0.0	0.0	0.0
snRNA	RNVU1-6	1.476427	1.487118	1.805838
snRNA	RNVU1-7	2969.562988	839.17041	2435.002686
snRNA	RNVU1-8	0.830934	0.83695	1.321224
snRNA	SNAR-A1	1.56589	1.719635	0.0
snRNA	SNAR-A10	11.239555	3.385878	0.0
snRNA	SNAR-A11	11.04859	3.480698	0.0
snRNA	SNAR-A12	0.0	0.0	0.0
snRNA	SNAR-A13	0.0	0.0	0.0
snRNA	SNAR-A14	0.580967	3.259632	0.0
snRNA	SNAR-A2	3.053885	1.43482	0.0
snRNA	SNAR-A3	0.559449	1.446137	0.0
snRNA	SNAR-A4	0.636374	0.753682	0.0
snRNA	SNAR-A5	0.367408	3.47528	0.0
snRNA	SNAR-A6	0.846167	3.849141	0.0
snRNA	SNAR-A7	0.423891	3.215203	0.0
snRNA	SNAR-A8	0.794526	2.894441	0.0
snRNA	SNAR-A9	0.749877	3.21141	0.0
snRNA	SNAR-B1	0.0	0.0	0.0
snRNA	SNAR-B2	0.0	0.0	0.0
snRNA	SNAR-C1	0.0	0.0	0.0
snRNA	SNAR-C2	0.0	0.0	0.0
snRNA	SNAR-C3	0.0	0.0	0.0
snRNA	SNAR-C4	0.0	0.0	0.0
snRNA	SNAR-C5	0.0	0.0	0.0
snRNA	SNAR-D	0.0	0.0	0.0
snRNA	SNAR-E	2.573759	2.592395	23.432531
snRNA	SNAR-F	0.0	0.0	0.0
snRNA	SNAR-G1	1.507461	1.518376	18.683992
snRNA	SNAR-G2	0.0	0.0	0.0
snRNA	SNAR-H	0.0	0.0	0.0
snRNA	SNAR-I	0.0	0.0	0.0
