Gene type	Gene Name	fr	rf	star
other	CABIN1	0.05108	0.052705	0.076036
other	CAPN15	0.0	0.0	0.00626
other	FAM131B	0.043127	0.044499	0.047619
other	GABBR1	0.0	0.0	0.0
other	HMBS	4.233099	4.367719	4.755994
other	IGH	0.005071	0.005213	0.000216
other	IGHV4-30-2	0.0	0.0	0.0
other	IGK	0.021588	0.022356	0.015878
other	IGKDEL	0.0	0.0	0.0
other	IGL	0.017514	0.017512	0.017121
other	LOC124900482	0.008944	0.009228	0.0
other	LOC124900483	0.0	0.0	0.0
other	LOC124900484	0.008944	0.009228	0.0
other	OR2G6	0.001895	0.003071	0.013586
other	OR51L1	0.003823	0.004816	0.001585
other	PCDHA@	0.000494	0.000442	0.0
other	PCDHACT	3.1e-05	2e-05	0.0
other	PCDHB@	0.003783	0.003716	0.0
other	PCDHG@	0.000642	0.000691	0.00066
other	PTPMT1	0.193417	0.198898	0.211787
other	RMRP	1147.934937	1184.456421	1589.867432
other	RNY5	406.271484	419.19165	1537.233154
other	RPPH1	1064.25	1092.190552	0.0
other	RUVBL1	0.464796	0.479577	0.525004
other	SEPTIN9	1.190308	1.228201	2.858857
other	SNORD115@	0.000171	0.000145	1.2e-05
other	SNORD116@	0.000361	0.000538	0.006809
other	TRA	0.017586	0.018085	0.032507
other	TRAJ15	0.0	0.0	0.0
other	TRB	0.015961	0.016204	0.004247
other	TRBD2	0.0	0.0	0.0
other	TRBV6-3	0.0	0.0	0.0
other	TRD	0.000844	0.000891	0.000254
other	TRG	0.023941	0.025846	0.02438
other	TRGC1	0.009036	0.009323	0.003624
other	UGT1A	0.0	0.0	0.0
