Gene type	Gene Name	fr	rf	star
protein_coding	A1BG	0.00081	0.000869	0.001184
protein_coding	A1CF	0.022278	0.022987	0.024264
protein_coding	A2M	0.934618	0.96434	1.070493
protein_coding	A2ML1	0.0	0.0	0.0
protein_coding	A3GALT2	0.013657	0.010694	0.069425
protein_coding	A4GALT	0.0	0.0	0.0
protein_coding	A4GNT	0.0	0.0	0.0
protein_coding	AAAS	0.033211	0.03111	0.031568
protein_coding	AACS	0.023103	0.023838	0.02551
protein_coding	AADAC	0.016781	0.017315	0.018529
protein_coding	AADACL2	0.0	0.0	0.0
protein_coding	AADACL3	0.09278	0.094932	0.050364
protein_coding	AADACL4	0.0	0.0	0.0
protein_coding	AADAT	0.0	0.0	0.0
protein_coding	AAGAB	0.278785	0.287651	0.461815
protein_coding	AAK1	0.038364	0.037979	0.04055
protein_coding	AAMDC	0.0	0.0	0.0
protein_coding	AAMP	0.338393	0.35003	0.270644
protein_coding	AANAT	1.422663	1.408223	1.311237
protein_coding	AAR2	0.0	0.0	0.0
protein_coding	AARD	0.002364	0.002439	0.017748
protein_coding	AARS1	0.065876	0.067971	0.091259
protein_coding	AARS2	0.006928	0.007148	0.063208
protein_coding	AARSD1	0.012005	0.012498	0.005976
protein_coding	AASDH	0.33283	0.343415	0.367348
protein_coding	AASDHPPT	0.084455	0.087141	0.104266
protein_coding	AASS	0.0	0.0	0.0
protein_coding	AATF	0.371412	0.383224	0.416323
protein_coding	AATK	0.019519	0.020153	0.02347
protein_coding	ABAT	0.184805	0.190682	0.219857
protein_coding	ABCA1	0.003902	0.004007	0.01161
protein_coding	ABCA10	0.009573	0.009378	0.008424
protein_coding	ABCA12	0.023404	0.024149	0.025842
protein_coding	ABCA13	0.00907	0.009358	0.010014
protein_coding	ABCA2	0.0	0.0	0.0
protein_coding	ABCA3	0.013657	0.014109	0.058261
protein_coding	ABCA4	0.001925	0.001986	0.002125
protein_coding	ABCA5	0.00431	0.004228	0.013716
protein_coding	ABCA6	0.087428	0.090208	0.098503
protein_coding	ABCA7	0.05686	0.058669	0.064346
protein_coding	ABCA8	0.005171	0.005335	0.278603
protein_coding	ABCA9	0.0	0.0	0.0
protein_coding	ABCB1	0.008098	0.00896	0.012698
protein_coding	ABCB10	0.985513	1.005675	1.143739
protein_coding	ABCB11	0.0	0.0	0.0
protein_coding	ABCB4	0.061854	0.063821	0.069287
protein_coding	ABCB5	0.019835	0.020504	0.034387
protein_coding	ABCB6	0.197488	0.179871	0.238106
protein_coding	ABCB7	0.010606	0.011701	0.021084
protein_coding	ABCB8	0.014132	0.014582	0.017242
protein_coding	ABCB9	0.0	0.0	0.0
protein_coding	ABCC1	0.0	0.0	0.0
protein_coding	ABCC10	0.039718	0.040981	0.048471
protein_coding	ABCC11	0.0	0.0	0.0
protein_coding	ABCC12	0.00737	0.007633	0.004337
protein_coding	ABCC2	0.103935	0.10724	0.11476
protein_coding	ABCC3	0.097405	0.09993	0.212498
protein_coding	ABCC4	1.405936	1.450647	1.541048
protein_coding	ABCC5	0.108282	0.111726	0.11956
protein_coding	ABCC6	0.0	0.0	0.0
protein_coding	ABCC8	0.008555	0.008721	0.011434
protein_coding	ABCC9	0.002266	0.002338	0.0
protein_coding	ABCD1	0.026438	0.027278	0.033883
protein_coding	ABCD2	0.078286	0.080776	0.08644
protein_coding	ABCD3	0.276136	0.284918	0.699806
protein_coding	ABCD4	0.002007	0.002071	0.002216
protein_coding	ABCE1	0.907514	0.925259	1.024292
protein_coding	ABCF1	0.012383	0.012777	0.24498
protein_coding	ABCF2	0.019452	0.020101	0.142069
protein_coding	ABCF2-H2BK1	0.015102	0.015583	0.015666
protein_coding	ABCF3	0.055698	0.05747	0.083322
protein_coding	ABCG1	0.163114	0.168302	0.180103
protein_coding	ABCG2	0.620095	0.639815	0.691903
protein_coding	ABCG4	0.0	0.0	0.0
protein_coding	ABCG5	0.0	0.0	0.0
protein_coding	ABCG8	0.082114	0.084776	0.018199
protein_coding	ABHD1	0.0	0.0	0.0
protein_coding	ABHD10	0.066262	0.068369	0.85794
protein_coding	ABHD11	0.069453	0.071662	0.076687
protein_coding	ABHD12	0.275854	0.284627	0.353374
protein_coding	ABHD12B	0.0	0.0	0.0
protein_coding	ABHD13	0.295792	0.305199	0.331691
protein_coding	ABHD14A	0.0	0.0	0.005163
protein_coding	ABHD14A-ACY1	0.014241	0.013406	0.05021
protein_coding	ABHD14B	0.283888	0.292092	0.612905
protein_coding	ABHD15	0.0	0.0	0.005725
protein_coding	ABHD16A	0.016362	0.016882	0.26893
protein_coding	ABHD16B	0.0	0.0	0.0
protein_coding	ABHD17A	0.303176	0.242682	0.232803
protein_coding	ABHD17B	0.231754	0.239124	0.260678
protein_coding	ABHD17C	0.031588	0.032593	0.030057
protein_coding	ABHD18	0.105502	0.107332	0.042826
protein_coding	ABHD2	0.511417	0.527681	0.569111
protein_coding	ABHD3	0.219774	0.226763	0.264468
protein_coding	ABHD4	0.355786	0.367573	0.42255
protein_coding	ABHD5	1.227126	1.265681	1.164667
protein_coding	ABHD6	0.0	0.0	0.0
protein_coding	ABHD8	0.100013	0.102052	0.160231
protein_coding	ABI1	1.967188	2.029748	2.321831
protein_coding	ABI2	0.682791	0.703613	0.73357
protein_coding	ABI3	1.413708	1.458667	1.569204
protein_coding	ABI3BP	0.0	0.0	0.0
protein_coding	ABITRAM	0.310449	0.320322	0.342783
protein_coding	ABL1	0.144125	0.154739	0.194765
protein_coding	ABL2	0.039148	0.040393	0.051638
protein_coding	ABLIM1	0.86535	0.893721	1.02054
protein_coding	ABLIM2	0.209438	0.216098	0.233379
protein_coding	ABLIM3	0.764156	0.788458	0.876038
protein_coding	ABO	0.017318	0.018159	0.002446
protein_coding	ABR	0.09213	0.084756	0.249349
protein_coding	ABRA	0.0	0.0	0.000914
protein_coding	ABRACL	3.949136	4.074726	4.500802
protein_coding	ABRAXAS1	0.746604	0.770347	0.845203
protein_coding	ABRAXAS2	0.834935	0.861488	0.953425
protein_coding	ABT1	0.052143	0.053801	0.0
protein_coding	ABTB1	2.714404	2.800727	3.191088
protein_coding	ABTB2	0.011156	0.011447	0.062837
protein_coding	ACAA1	0.242293	0.249998	0.267529
protein_coding	ACAA2	0.295748	0.305206	0.117432
protein_coding	ACACA	0.002897	0.002989	0.0
protein_coding	ACACB	0.026414	0.027254	0.031615
protein_coding	ACAD10	0.017601	0.018112	0.007638
protein_coding	ACAD11	0.0	0.0	0.0
protein_coding	ACAD8	0.0	0.0	0.0
protein_coding	ACAD9	0.243672	0.251421	0.269051
protein_coding	ACADL	0.0	0.0	0.0
protein_coding	ACADM	0.014238	0.014668	0.020981
protein_coding	ACADS	0.259833	0.310946	0.366054
protein_coding	ACADSB	0.191553	0.198769	0.056413
protein_coding	ACADVL	0.671515	0.69287	0.94767
protein_coding	ACAN	0.0	0.0	0.0
protein_coding	ACAP1	0.0	0.0	0.409015
protein_coding	ACAP2	1.66989	1.722996	1.859519
protein_coding	ACAP3	0.0	0.0	0.002017
protein_coding	ACAT1	0.351996	0.362674	0.672323
protein_coding	ACAT2	0.526186	0.540897	0.202585
protein_coding	ACBD3	0.068129	0.07003	0.062065
protein_coding	ACBD4	0.092996	0.095954	0.105592
protein_coding	ACBD5	0.449918	0.464227	0.532009
protein_coding	ACBD6	1.480349	1.527427	1.54825
protein_coding	ACBD7	0.007502	0.007702	0.027659
protein_coding	ACCS	0.196879	0.20314	0.22862
protein_coding	ACCSL	0.0	0.0	0.0
protein_coding	ACD	0.186855	0.192798	0.206136
protein_coding	ACE	0.0	0.0	0.0
protein_coding	ACE2	0.012396	0.013064	0.014147
protein_coding	ACER1	0.0	0.0	0.0
protein_coding	ACER2	0.052738	0.054415	0.075063
protein_coding	ACER3	0.153486	0.159184	0.214067
protein_coding	ACHE	0.815618	0.836049	1.104473
protein_coding	ACIN1	0.45036	0.464682	0.522187
protein_coding	ACKR1	0.151421	0.156237	0.173913
protein_coding	ACKR2	0.095254	0.097537	0.018861
protein_coding	ACKR3	0.02235	0.023061	0.024678
protein_coding	ACKR4	0.009438	0.009738	0.014538
protein_coding	ACLY	0.349766	0.36089	0.39748
protein_coding	ACMSD	0.008861	0.009143	0.004175
protein_coding	ACO1	0.006476	0.006682	0.010762
protein_coding	ACO2	0.023502	0.024249	0.021006
protein_coding	ACOD1	0.0	0.0	0.0
protein_coding	ACOT1	0.02906	0.029984	0.0
