Gene type	Gene Name	fr	rf	star
tRNA	TRA-AGC1-1	0.670171	0.691485	0.0
tRNA	TRA-AGC10-1	0.0	0.0	0.0
tRNA	TRA-AGC11-1	1.594289	1.64499	4.820659
tRNA	TRA-AGC12-1	0.0	0.0	0.0
tRNA	TRA-AGC12-3	0.0	0.0	0.0
tRNA	TRA-AGC13-2	0.0	0.0	0.0
tRNA	TRA-AGC14-1	0.0	0.0	0.0
tRNA	TRA-AGC14-2	0.0	0.0	0.0
tRNA	TRA-AGC15-1	0.0	0.0	1.235107
tRNA	TRA-AGC2-1	0.498849	0.53067	0.0
tRNA	TRA-AGC2-2	17.515838	17.896808	0.0
tRNA	TRA-AGC24-1	0.0	0.0	0.0
tRNA	TRA-AGC3-1	0.61862	0.638294	0.0
tRNA	TRA-AGC4-1	2.027105	2.237759	0.0
tRNA	TRA-AGC5-1	0.0	0.0	0.0
tRNA	TRA-AGC6-1	0.014606	0.015071	0.0
tRNA	TRA-AGC7-1	3.431051	3.68319	0.0
tRNA	TRA-AGC8-1	15.698831	16.198083	79.196544
tRNA	TRA-AGC8-2	3.243943	3.347106	6.60595
tRNA	TRA-AGC9-1	0.0	0.0	0.0
tRNA	TRA-CGC1-1	10.257182	10.583379	0.0
tRNA	TRA-CGC2-1	22.293194	23.117699	0.0
tRNA	TRA-CGC3-1	2.615389	2.698563	15.391425
tRNA	TRA-CGC4-1	0.379764	0.391841	0.0
tRNA	TRA-TGC1-1	0.039351	0.040603	0.0
tRNA	TRA-TGC2-1	3.648256	3.764277	0.0
tRNA	TRA-TGC3-1	32.188108	33.109798	5.646558
tRNA	TRA-TGC3-2	66.85269	68.846037	8.287691
tRNA	TRA-TGC4-1	113.593583	117.216703	170.960189
tRNA	TRA-TGC5-1	0.024745	0.025532	0.0
tRNA	TRA-TGC6-1	0.018473	0.01906	0.0
tRNA	TRA-TGC7-1	0.0	0.0	0.0
tRNA	TRC-GCA1-1	0.140908	0.145389	0.379473
tRNA	TRC-GCA10-1	0.0	0.0	0.0
tRNA	TRC-GCA11-1	0.0	0.0	0.865199
tRNA	TRC-GCA12-1	0.0	0.0	0.0
tRNA	TRC-GCA13-1	0.0	0.0	0.0
tRNA	TRC-GCA14-1	0.0	0.0	0.0
tRNA	TRC-GCA15-1	0.0	0.0	0.0
tRNA	TRC-GCA16-1	0.065299	0.067375	0.379473
tRNA	TRC-GCA17-1	0.611747	0.631201	0.880377
tRNA	TRC-GCA18-1	0.0	0.0	0.0
tRNA	TRC-GCA19-1	0.0	0.0	0.109289
tRNA	TRC-GCA2-1	0.374609	0.386522	0.113842
tRNA	TRC-GCA2-2	1.453757	1.49999	0.0
tRNA	TRC-GCA2-3	1.378148	1.421976	1.639323
tRNA	TRC-GCA2-4	8.127983	8.386467	10.370996
tRNA	TRC-GCA20-1	0.0	0.0	0.0
tRNA	TRC-GCA21-1	0.0	0.0	0.0
tRNA	TRC-GCA22-1	0.0	0.0	0.0
tRNA	TRC-GCA23-1	0.0	0.0	0.0
tRNA	TRC-GCA3-1	0.051933	0.053585	0.140338
tRNA	TRC-GCA4-1	5.646628	5.826202	22.183992
tRNA	TRC-GCA5-1	0.0	0.0	2.44292
tRNA	TRC-GCA6-1	0.0	0.0	1.631734
tRNA	TRC-GCA7-1	0.22372	0.230835	1.983656
tRNA	TRC-GCA8-1	0.0	0.0	0.546441
tRNA	TRC-GCA9-1	0.0	0.0	0.0
tRNA	TRC-GCA9-2	0.0	0.0	0.0
tRNA	TRC-GCA9-3	0.0	0.0	0.0
tRNA	TRC-GCA9-4	0.0	0.0	0.113842
tRNA	TRD-GTC1-1	2822.286198	2908.816888	4414.740076
tRNA	TRD-GTC2-1	1097.852057	1598.762468	0.0
tRNA	TRD-GTC2-10	102.388404	99.000275	35.803276
tRNA	TRD-GTC2-11	1538.298844	1591.997812	0.171724
tRNA	TRD-GTC2-2	1461.525744	2099.288596	0.0
tRNA	TRD-GTC2-3	1628.273184	2181.664207	0.0
tRNA	TRD-GTC2-4	1904.9956	2332.023265	0.0
tRNA	TRD-GTC2-5	2364.599688	2569.947727	0.0
tRNA	TRD-GTC2-6	1111.652313	1887.585869	42.432675
tRNA	TRD-GTC2-7	3312.633581	3431.042038	4441.731491
tRNA	TRD-GTC2-8	1462.804236	1499.078882	468.220405
tRNA	TRD-GTC2-9	1404.394078	1145.852414	51.615924
tRNA	TRD-GTC3-1	30.362188	31.331306	85.222054
tRNA	TRE-CTC1-1	744.46466	768.418934	446.742164
tRNA	TRE-CTC1-2	3823.155472	6317.94655	0.0
tRNA	TRE-CTC1-3	4422.378952	6640.015442	0.0
tRNA	TRE-CTC1-4	5596.946293	7235.51354	0.0
tRNA	TRE-CTC1-5	8511.14383	8758.036031	0.0
tRNA	TRE-CTC1-6	757.336368	780.477652	0.0
tRNA	TRE-CTC1-7	3579.338208	3716.525371	12.640246
tRNA	TRE-CTC2-1	38.463161	115.85607	347.96155
tRNA	TRE-TTC1-1	1598.823124	1647.691692	566.617727
tRNA	TRE-TTC1-2	1387.633011	1432.89872	28.748874
tRNA	TRE-TTC2-1	3340.812849	3304.582729	11217.19507
tRNA	TRE-TTC2-2	650.698233	884.173917	163.955097
tRNA	TRE-TTC3-1	52.205335	64.536144	0.0
tRNA	TRE-TTC4-1	133.890686	138.721085	0.0
tRNA	TRE-TTC4-2	277.742536	286.621331	8.792391
tRNA	TRF-GAA1-1	0.207902	0.227005	0.0
tRNA	TRF-GAA1-2	0.769947	0.807422	0.0
tRNA	TRF-GAA1-3	1.281231	1.321977	0.0
tRNA	TRF-GAA1-4	120.031229	123.670071	237.290185
tRNA	TRF-GAA1-5	0.888779	0.917045	0.928201
tRNA	TRF-GAA1-6	0.071862	0.074147	9.78243
tRNA	TRF-GAA2-1	3.379531	3.487006	2.425301
tRNA	TRF-GAA3-1	0.0	0.0	0.0
tRNA	TRF-GAA4-1	0.0	0.0	0.0
tRNA	TRF-GAA5-1	0.029433	0.030369	0.0
