Gene type	Gene Name	fr	rf	star
rRNA	RNA18SN1	0.150537	0.148105	0.0
rRNA	RNA18SN2	1.938501	2.022961	0.0
rRNA	RNA18SN3	0.113292	0.13937	0.0
rRNA	RNA28SN1	63.622272	64.744171	0.0
rRNA	RNA28SN2	57.905586	78.484756	0.0
rRNA	RNA28SN3	40.065254	53.658783	0.0
rRNA	RNA45SN1	0.006537	0.014504	0.0
rRNA	RNA45SN2	0.025221	0.043784	0.023023
rRNA	RNA45SN3	0.014663	0.055109	0.0
rRNA	RNA5-8SN1	0.01263	0.00369	0.0
rRNA	RNA5-8SN2	0.001848	0.005575	0.0
rRNA	RNA5-8SN3	0.005391	0.009187	0.0
rRNA	RNA5S1	0.30282	0.447765	0.0
rRNA	RNA5S10	0.30621	0.399763	0.0
rRNA	RNA5S11	0.474568	0.478487	0.0
rRNA	RNA5S12	0.405643	0.475415	0.0
rRNA	RNA5S13	0.322405	0.415508	0.0
rRNA	RNA5S14	0.358939	0.521497	0.0
rRNA	RNA5S15	0.429748	0.499608	0.0
rRNA	RNA5S16	0.317509	0.442005	0.0
rRNA	RNA5S17	0.247453	0.473494	0.0
rRNA	RNA5S2	0.40263	0.392466	0.0
rRNA	RNA5S3	0.358186	0.516889	0.0
rRNA	RNA5S4	0.329938	0.389395	0.0
rRNA	RNA5S5	0.403383	0.519577	0.0
rRNA	RNA5S6	0.410916	0.388627	0.0
rRNA	RNA5S7	0.395097	0.470422	0.0
rRNA	RNA5S8	0.365342	0.364049	0.0
rRNA	RNA5S9	0.264026	0.34216	0.0
