"","rf:fr_r","rf:fr_p","rf:star_r","rf:star_p","fr:star_r","fr:star_p"
"Mt_rRNA",NA,NA,NA,NA,NA,NA
"Mt_tRNA",0.996793339965242,2.04704205607093e-23,0.969282818562284,1.18899472774308e-13,0.951779001133027,1.00485033074791e-11
"lncRNA",0.813770147570424,0,0.674174710672518,0,0.931785950557658,0
"miRNA",0.99827479008138,0,0.905051007598941,0,0.909613221053607,0
"misc_RNA",0.998554170047335,1.52549369676284e-07,0.93937660893732,0.00168190730158613,0.956158856855663,0.000754886217444953
"other",0.999999553194404,2.0069310346771e-104,0.808962226241452,2.36724696089367e-09,0.80840645416235,2.47569580445171e-09
"protein_coding",0.986895557457287,0,0.958796582378643,0,0.98984261867206,0
"pseudo",0.628054385210819,0,0.731895328456045,0,0.767576110540613,0
"rRNA",0.977056640405019,1.13955914298408e-19,0.719597140636396,1.08502525584611e-05,0.802248655645751,1.66374008982384e-07
"scRNA",0.985048374742249,0.0149516252577513,0.982253962546538,0.017746037453462,0.999534439892269,0.000465560107730934
"snRNA",0.801807314213333,1.85114523828532e-34,0.0854043445037061,0.302041122937111,0.264265190233739,0.00117218906228599
"snoRNA",0.99282932109304,0,0.94676316946306,0,0.953018962307445,0
"tRNA",0.999911861799211,0,0.996606385412117,0,0.997229374158424,0
