		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p
Mt_rRNA	SGI75460067						
Mt_rRNA	SGI75460068						
Mt_rRNA	SGI75460075						
Mt_rRNA	SGI75460076						
Mt_rRNA	SGI75460103						
Mt_rRNA	SGI75460104						
Mt_rRNA	SGI75460105						
Mt_tRNA	SGI75460067	0.996793339965242	2.04704205607093e-23	0.969282818562284	1.18899472774308e-13	0.951779001133027	1.00485033074791e-11
Mt_tRNA	SGI75460068	0.999982617271541	4.54409257999958e-46	0.937430666217331	1.28012035412192e-10	0.936985997075004	1.37149620218797e-10
Mt_tRNA	SGI75460075	0.999998067817566	1.30850822242191e-55	0.869671609080679	1.47409323943379e-07	0.869686206982153	1.47253600238731e-07
Mt_tRNA	SGI75460076	0.979233961462839	2.4704588020449303e-15	0.948541021373295	1.8987782701608598e-11	0.887517123871796	3.65101737301367e-08
Mt_tRNA	SGI75460103	0.999999895406359	2.82716539418914e-68	0.928321120387335	4.79612324125763e-10	0.928321632813138	4.79579074920497e-10
Mt_tRNA	SGI75460104	0.999998840737218	7.90888870701226e-58	0.966941338522741	2.45472013659706e-13	0.966868752280544	2.50839805117365e-13
Mt_tRNA	SGI75460105	0.999999821389067	5.96181746370163e-66	0.904110812375285	7.94479898307416e-09	0.904120145198003	7.937385577708661e-09
lncRNA	SGI75460067	0.813770147570424	0.0	0.674174710672518	0.0	0.931785950557658	0.0
lncRNA	SGI75460068	0.981863633103432	0.0	0.983811391392762	0.0	0.9588755635239	0.0
lncRNA	SGI75460075	0.962091832617625	0.0	0.799311695925243	0.0	0.782480373278355	0.0
lncRNA	SGI75460076	0.981972602230709	0.0	0.92896287545248	0.0	0.898793914005859	0.0
lncRNA	SGI75460103	0.996194362073705	0.0	0.707793035808828	0.0	0.746373427772686	0.0
lncRNA	SGI75460104	0.999705932005085	0.0	0.990119941866556	0.0	0.990609819261048	0.0
lncRNA	SGI75460105	0.995999017250254	0.0	0.714989233644713	0.0	0.705033757206509	0.0
miRNA	SGI75460067	0.99827479008138	0.0	0.905051007598941	0.0	0.909613221053607	0.0
miRNA	SGI75460068	0.99901069517153	0.0	0.870284594111941	0.0	0.872245035932212	0.0
miRNA	SGI75460075	0.999998335535291	0.0	0.980402668894538	0.0	0.98037309439589	0.0
miRNA	SGI75460076	0.997894447065433	0.0	0.976931900036818	0.0	0.978902712640326	0.0
miRNA	SGI75460103	0.999970009070078	0.0	0.931577379510325	0.0	0.931641327788366	0.0
miRNA	SGI75460104	0.999837944529992	0.0	0.64078569614311	9.15679258858563e-222	0.641323319684563	2.98909161620378e-222
miRNA	SGI75460105	0.99994150922273	0.0	0.978433856614305	0.0	0.978534859220401	0.0
misc_RNA	SGI75460067	0.998554170047335	1.52549369676284e-07	0.93937660893732	0.0016819073015861	0.956158856855663	0.0007548862174449
misc_RNA	SGI75460068	0.999990958947357	4.7206220597579e-13	0.956093901510255	0.0007576586715039	0.956383838106991	0.0007453299503869
misc_RNA	SGI75460075	0.984458101600579	5.73572655886572e-05	0.975329426070608	0.0001811915246824	0.998779918877708	9.98025616399134e-08
misc_RNA	SGI75460076	0.988836932058769	2.51368368590882e-05	0.982702358374776	7.48832567709232e-05	0.999245247541648	3.00462003689071e-08
misc_RNA	SGI75460103	0.996738018429229	1.16519402707217e-06	0.99382592113767	5.73384975120693e-06	0.999468642319594	1.24967652095431e-08
misc_RNA	SGI75460104	0.993594769391345	6.28490776202013e-06	0.98720809026654	3.53028407945515e-05	0.998899940086689	7.70439786525978e-08
misc_RNA	SGI75460105	0.996640563281613	1.25411670994352e-06	0.993035091602778	7.74675807843084e-06	0.999292433938811	2.55685843576886e-08
other	SGI75460067	0.999999553194404	2.0069310346771e-104	0.808962226241452	2.3672469608936704e-09	0.80840645416235	2.4756958044517102e-09
other	SGI75460068	0.99999198293395	4.1567527039473996e-83	0.865553489139518	9.568253965959819e-12	0.863547925934268	1.2110088089132099e-11
other	SGI75460075	0.999991386334778	1.40826760040045e-82	0.611567306110596	7.40984589686831e-05	0.608546401411333	8.22313502788886e-05
other	SGI75460076	0.999992074222128	3.42140025185486e-83	0.742140661371606	2.2135108643787e-07	0.739671386341863	2.54851973889981e-07
other	SGI75460103	0.999996137306834	1.68903466922247e-88	0.665545098221744	9.46105402331424e-06	0.663838895180057	1.01609460016929e-05
other	SGI75460104	0.999998376476314	6.73455667445915e-95	0.954888214294078	1.67455247881258e-19	0.954356564961831	2.03525610066689e-19
other	SGI75460105	0.999996211195209	1.21630676704179e-88	0.490624553818258	0.0023818112234508	0.48855933699253	0.0025007263548636
protein_coding	SGI75460067	0.986895557457287	0.0	0.958796582378643	0.0	0.98984261867206	0.0
protein_coding	SGI75460068	0.985194367081569	0.0	0.959057524594582	0.0	0.99135950744771	0.0
protein_coding	SGI75460075	0.984629095102408	0.0	0.904954099799336	0.0	0.965180095894586	0.0
protein_coding	SGI75460076	0.990392113660728	0.0	0.959277653412678	0.0	0.988903128893431	0.0
protein_coding	SGI75460103	0.995584564791428	0.0	0.982601940760632	0.0	0.995657842546592	0.0
protein_coding	SGI75460104	0.98969775988369	0.0	0.964753477893723	0.0	0.992031246029109	0.0
protein_coding	SGI75460105	0.99459549501433	0.0	0.969885325516188	0.0	0.989818619538314	0.0
pseudo	SGI75460067	0.628054385210819	0.0	0.731895328456045	0.0	0.767576110540613	0.0
pseudo	SGI75460068	0.414369592437586	0.0	0.318189597692317	0.0	0.50470726304343	0.0
pseudo	SGI75460075	0.535299497013599	0.0	0.106057968770937	2.15828833069891e-41	0.262582169127393	2.05378498912072e-251
pseudo	SGI75460076	0.524338786231836	0.0	0.308769095588731	0.0	0.610106884888568	0.0
pseudo	SGI75460103	0.636365473047995	0.0	0.426799932595448	0.0	0.618232984226263	0.0
pseudo	SGI75460104	0.878403302228075	0.0	0.892141162128694	0.0	0.844578982608307	0.0
pseudo	SGI75460105	0.549069588896746	0.0	0.25239226453831	8.39166000264777e-232	0.422158010704819	0.0
rRNA	SGI75460067	0.977056640405019	1.13955914298408e-19	0.719597140636396	1.08502525584611e-05	0.802248655645751	1.66374008982384e-07
rRNA	SGI75460068	0.9551297222546	8.571558147409959e-16	0.464217493304302	0.0111874042333465	0.589832791029555	0.0007585575935932
rRNA	SGI75460075	0.803568340349608	1.53276705012735e-07	-0.0207947587460887	0.914734474865804	-0.0328286536190563	0.865752143577779
rRNA	SGI75460076	0.979386981227757	2.7209766399392904e-20	-0.0503061557956969	0.795516102689347	-0.0514368865729322	0.791019410839744
rRNA	SGI75460103	0.976619290405197	1.46665977029074e-19	0.623627861277846	0.0003010246812738	0.442388838104499	0.0162602735966076
rRNA	SGI75460104	0.989955112059991	1.76587707855078e-24	-0.0758579829749497	0.695721136513445	-0.0780805037125248	0.687245176219439
rRNA	SGI75460105	0.989462021132578	3.36258877648638e-24	-0.0665248782110786	0.731696822470215	-0.0663293980357193	0.732456618304714
scRNA	SGI75460067	0.985048374742249	0.0149516252577513	0.982253962546538	0.017746037453462	0.999534439892269	0.0004655601077309
scRNA	SGI75460068	0.96663555590052	0.0333644440994798	0.961269578600175	0.0387304213998246	0.999701765521672	0.0002982344783279
scRNA	SGI75460075	0.946584894173546	0.0534151058264536	0.90652015991202	0.0934798400879798	0.993135308551972	0.006864691448028
scRNA	SGI75460076	0.923291090287756	0.0767089097122435	0.891959595262458	0.108040404737542	0.996765137275665	0.0032348627243351
scRNA	SGI75460103	0.911102691445045	0.0888973085549551	0.883873012526771	0.116126987473229	0.997775621082131	0.0022243789178688
scRNA	SGI75460104	0.952738498177788	0.0472615018222115	0.956637842170635	0.0433621578293652	0.999769510785214	0.0002304892147855
scRNA	SGI75460105	0.926629723647959	0.0733702763520414	0.900119676669474	0.0998803233305255	0.997426002170652	0.0025739978293478
snRNA	SGI75460067	0.801807314213333	1.8511452382853198e-34	0.0854043445037061	0.302041122937111	0.264265190233739	0.0011721890622859
snRNA	SGI75460068	0.939621804184285	7.13301805231519e-70	0.0548804178679224	0.507658738408249	0.17687745435374	0.031511886488867
snRNA	SGI75460075	0.952846403814602	1.6790055187044798e-77	0.0390028043839983	0.637893858041851	0.12942117085519	0.116944750206028
snRNA	SGI75460076	0.968667582424496	3.27184046235804e-90	0.0664806358727639	0.422088631075633	0.178798876600181	0.0296832679133688
snRNA	SGI75460103	0.955108674093692	5.0352240945064495e-79	0.158234214861203	0.0547569975143883	0.206557255973207	0.0117757117856248
snRNA	SGI75460104	0.954251716013114	1.94091739925215e-78	0.0719137546608892	0.385079138809995	0.138324965896792	0.0936212779342062
snRNA	SGI75460105	0.955059908722379	5.44089867722462e-79	0.0392669406042475	0.635617324954772	0.145022946490621	0.0786403068841791
snoRNA	SGI75460067	0.99282932109304	0.0	0.94676316946306	0.0	0.953018962307445	0.0
snoRNA	SGI75460068	0.791087116031676	1.5659427029231998e-266	0.810428097714346	9.02181773618828e-290	0.790734976694181	3.93423422759335e-266
