		rf:fr_r	rf:fr_p	rf:star_r	rf:star_p	fr:star_r	fr:star_p
Mt_rRNA	SGI75460067						
Mt_rRNA	SGI75460068						
Mt_rRNA	SGI75460075						
Mt_rRNA	SGI75460076						
Mt_rRNA	SGI75460103						
Mt_rRNA	SGI75460104						
Mt_rRNA	SGI75460105						
Mt_tRNA	SGI75460067	0.996807644958878	1.95764925049649e-23	0.969862141664019	9.852192047719181e-14	0.952405597718434	8.83963663779997e-12
Mt_tRNA	SGI75460068	0.999983669478297	2.4337175405380802e-46	0.939212148940406	9.661693416830849e-11	0.938806009986151	1.03093761168488e-10
Mt_tRNA	SGI75460075	0.999998684143624	2.80789684211498e-57	0.870720323066273	1.36586624236616e-07	0.870833741425421	1.35459508512902e-07
Mt_tRNA	SGI75460076	0.97932025654222	2.37053953721556e-15	0.94943351127849	1.5999677972574398e-11	0.88853359821719	3.34876764832001e-08
Mt_tRNA	SGI75460103	0.999999898610479	2.07123383115415e-68	0.926076148247726	6.46709089347832e-10	0.926083551266271	6.46081939038274e-10
Mt_tRNA	SGI75460104	0.999998982322557	2.14980105414442e-58	0.96771637074674	1.94253625512425e-13	0.967646838106393	1.98421021073543e-13
Mt_tRNA	SGI75460105	0.999999804275392	1.48851276320051e-65	0.90114140060415	1.06421489662392e-08	0.901145473324128	1.06379504415354e-08
lncRNA	SGI75460067	0.783126621137794	0.0	0.538431879344838	0.0	0.855258401436211	0.0
lncRNA	SGI75460068	0.960869261266843	0.0	0.911288094712633	0.0	0.95020163060879	0.0
lncRNA	SGI75460075	0.997964059484971	0.0	0.669731360881908	0.0	0.670381420565209	0.0
lncRNA	SGI75460076	0.994288176666551	0.0	0.648539022233633	0.0	0.647838990678586	0.0
lncRNA	SGI75460103	0.989746379723926	0.0	0.703874115143127	0.0	0.708213644460173	0.0
lncRNA	SGI75460104	0.992528101677432	0.0	0.989275832355555	0.0	0.997321673268507	0.0
lncRNA	SGI75460105	0.995861010671713	0.0	0.711997045820337	0.0	0.710395245740443	0.0
miRNA	SGI75460067	0.998310196035213	0.0	0.907063541412419	0.0	0.911560614125491	0.0
miRNA	SGI75460068	0.999052828552988	0.0	0.870117697185063	0.0	0.872077955248725	0.0
miRNA	SGI75460075	0.99998291764856	0.0	0.97897990561782	0.0	0.979007786152564	0.0
miRNA	SGI75460076	0.98489227100074	0.0	0.952086986946326	0.0	0.966994847588884	0.0
miRNA	SGI75460103	0.999970018441845	0.0	0.92194826166795	0.0	0.922117972805956	0.0
miRNA	SGI75460104	0.999971071265711	0.0	0.322462215796324	1.46413125432321e-47	0.323225995347783	8.62946552590273e-48
miRNA	SGI75460105	0.999970112025708	0.0	0.976689621772365	0.0	0.976691710765835	0.0
misc_RNA	SGI75460067	0.998084897003634	3.07955858368576e-07	0.926255918625833	0.0027251802443227	0.947488051905486	0.0011796987561646
misc_RNA	SGI75460068	0.999990739871789	5.01180523047528e-13	0.954724569903084	0.0008175125654311	0.954983210786874	0.000806000629409
misc_RNA	SGI75460075	0.979551923966178	0.0001135823609409	0.968115977390944	0.0003427108917217	0.998544959753213	1.54989666956054e-07
misc_RNA	SGI75460076	0.985766019971594	4.60733728365631e-05	0.977977307041891	0.0001366113562177	0.999058583575323	5.22022479005295e-08
misc_RNA	SGI75460103	0.995588351599464	2.47701647030877e-06	0.991807970736112	1.16151271820722e-05	0.999337887695822	2.16585273294244e-08
misc_RNA	SGI75460104	0.993237424318057	7.19712428230794e-06	0.986605848497709	3.95930046822217e-05	0.998870683318007	8.22678985503743e-08
misc_RNA	SGI75460105	0.995553895919339	2.52561818885821e-06	0.990967335486375	1.4821384557929e-05	0.99912768949994	4.31448149275081e-08
other	SGI75460067	0.999987252217248	1.10373529094882e-79	0.595767864683305	0.0001262882015934	0.595281968250911	0.0001283194332426
other	SGI75460068	0.999346009026137	1.29745167760795e-50	0.759621692411354	7.78580055568041e-08	0.758173122350839	8.51798117997473e-08
other	SGI75460075	0.999988888907924	1.0674459140117e-80	0.54082843302833	0.0006603548698275	0.53750140395128	0.0007234413529543
other	SGI75460076	0.999977658434658	1.53241187271843e-75	0.714970100125714	9.62338256238012e-07	0.712128263955314	1.11145239414729e-06
other	SGI75460103	0.999995567216462	1.7538967183677901e-87	0.616616735673188	6.21109649139716e-05	0.614510175323774	6.68808849510466e-05
other	SGI75460104	0.999997521624814	8.94024461808959e-92	0.931034762858263	1.89387864930543e-16	0.930235237333413	2.28951969548151e-16
other	SGI75460105	0.999946966005847	3.69630110220482e-69	0.43381093551867	0.0082101729414385	0.43190343341013	0.0085288071895782
protein_coding	SGI75460067	0.987188807913586	0.0	0.94495555306743	0.0	0.968305972459073	0.0
protein_coding	SGI75460068	0.9876622651213	0.0	0.958935998142683	0.0	0.985434100401544	0.0
protein_coding	SGI75460075	0.985690838899636	0.0	0.914572408424472	0.0	0.968650674009423	0.0
protein_coding	SGI75460076	0.990530445733969	0.0	0.965401536258394	0.0	0.989031547233906	0.0
protein_coding	SGI75460103	0.996293377057269	0.0	0.984903005519407	0.0	0.995824544107951	0.0
protein_coding	SGI75460104	0.990954683612741	0.0	0.942560340377072	0.0	0.96137421571274	0.0
protein_coding	SGI75460105	0.995384347148653	0.0	0.974626537939308	0.0	0.990817658755844	0.0
pseudo	SGI75460067	0.565181918056996	0.0	0.554585012557651	0.0	0.727121791681839	0.0
pseudo	SGI75460068	0.433660632721975	0.0	0.157686943860129	7.44236466696738e-90	0.439200285359033	0.0
pseudo	SGI75460075	0.594887770224349	0.0	0.0601159265227959	2.5056890072139e-14	0.243717720399595	1.14697032205115e-215
pseudo	SGI75460076	0.515062016493102	0.0	0.153979279158281	1.01931133464544e-85	0.511862450749903	0.0
pseudo	SGI75460103	0.596248078544698	0.0	0.241272527981884	2.84369893131923e-211	0.551604946336767	0.0
pseudo	SGI75460104	0.75318371033333	0.0	0.690153854420588	0.0	0.790715103176957	0.0
pseudo	SGI75460105	0.597282624709937	0.0	0.145124433857321	2.97139866434872e-76	0.377804471252238	0.0
rRNA	SGI75460067	0.97713442438347	1.08899190664331e-19	0.734654059744092	5.68850551419461e-06	0.814812965207602	7.42774102757273e-08
rRNA	SGI75460068	0.961909420166828	9.774736695669481e-17	0.369461004462886	0.0485510370904771	0.458026899617464	0.0124687285558154
rRNA	SGI75460075	0.816118831267113	6.80699749599221e-08	0.491938995215193	0.0067173154089269	0.269119873466056	0.158036194233543
rRNA	SGI75460076	0.980025973354805	1.78537119902203e-20	-0.0085221161968963	0.965004060369636	-0.0207483608289875	0.91492403951356
rRNA	SGI75460103	0.977416048088563	9.2274958277707e-20	0.626546251715461	0.0002765385440137	0.448366888291821	0.0147114988598049
rRNA	SGI75460104	0.990720668655704	6.08302799306802e-25	-0.0689206641091266	0.722405189263316	-0.067549177180492	0.727719629622246
rRNA	SGI75460105	0.989562858073002	2.95499913513641e-24	-0.0627302671935411	0.746489315986002	-0.0626784746261829	0.746691842686474
scRNA	SGI75460067	0.985048279351103	0.0149517206488975	0.982253694514061	0.0177463054859391	0.999534422440621	0.0004655775593786
scRNA	SGI75460068	0.966635639612553	0.0333643603874466	0.96126949206349	0.03873050793651	0.999701754087555	0.000298245912445
scRNA	SGI75460075	0.946584697169391	0.0534153028306086	0.906520493357321	0.0934795066426791	0.993135395297188	0.0068646047028116
scRNA	SGI75460076	0.923291341951862	0.076708658048138	0.891960128938269	0.108039871061731	0.996765139082418	0.0032348609175822
scRNA	SGI75460103	0.911102674368122	0.0888973256318783	0.883872944228649	0.116127055771351	0.997775603152187	0.0022243968478129
scRNA	SGI75460104	0.952738414440759	0.0472615855592411	0.956637879857231	0.0433621201427685	0.999769497061368	0.0002305029386318
scRNA	SGI75460105	0.926630553696691	0.0733694463033087	0.90011983067079	0.0998801693292098	0.997425880108764	0.0025741198912358
snRNA	SGI75460067	0.801578561924264	1.9957558795554e-34	0.0745239738882443	0.368019869739331	0.241588853424737	0.0030956076945603
snRNA	SGI75460068	0.93988485602173	5.23633513338974e-70	0.0717402307855598	0.386229920679959	0.192359656459269	0.0191687885350851
snRNA	SGI75460075	0.951893614232742	6.98595393788011e-77	0.0380075295059418	0.646502174468958	0.133994427766556	0.104456631184016
snRNA	SGI75460076	0.966902927997932	1.67581329860113e-88	0.0589617201792769	0.47656512407423	0.172172122373752	0.0363977021221376
snRNA	SGI75460103	0.954894750883296	7.069117541341839e-79	0.14530020140536	0.0780644556320337	0.204019363228938	0.0128761796073457
snRNA	SGI75460104	0.953211013422152	9.654080369723699e-78	0.0816511704971044	0.323860642230944	0.147128113082164	0.0743524689992214
snRNA	SGI75460105	0.95444341541434	1.43848165362822e-78	0.0399356443015077	0.629869164911581	0.150910895295834	0.0671238802138374
snoRNA	SGI75460067	0.992437437171171	0.0	0.956066092039133	0.0	0.962214229094808	0.0
snoRNA	SGI75460068	0.761872933373303	9.467773146515311e-236	0.788012752587111	4.59071669278678e-263	0.759991066073478	6.39985365382015e-234
