gene_id,SGI75460067
139628|FOXR2,0
ENST00000250457.9|EGLN3,0
64430|PCNX4,0
4776|NFATC4,0
ENST00000422365.7|MCMDC2,0
ENST00000377777.6|H2BC5,187
ENST00000487349.6|ASB14,0
ENST00000692376.1|NPIPB15,0
28480|IGHJ2P,0
ENST00000394223.2|NDUFC1,0
ENST00000162391.8|FOXJ2,13
8106|PABPN1,7
100271136|RPS6P19,0
440487|RPL21P128,9
728732|HNRNPA1P53,0
91442|FAAP24,0
91942|NDUFAF2,62
80063|ATF7IP2,0
ENST00000307522.5|CCDC8,0
106479175|RN7SKP178,0
105372068|LOC105372068,0
ENST00000503780.6|CEP44,65
291|SLC25A4,16
100131208|SNAP25-AS1,4
ENST00000311052.10|CARHSP1,0
ENST00000376309.4|DEFB123,0
81797|OR12D3,0
4697|NDUFA4,30
729085|GASK1A,14
171546|SPTSSA,43
286530|P2RY8_1,0
2674|GFRA1,5
106479484|RN7SL716P,0
ENST00000313552.11|ING5,7
338322|NLRP10,0
ENST00000265395.7|HIBADH,2
122060|SLAIN1,0
8894|EIF2S2,0
124902578|LOC124902578,0
ENST00000307439.10|RASSF6,0
ENST00000272322.9|VPS54,51
ENST00000382483.4|RP1L1,0
ENST00000262613.10|SLC9A3R1,2
106481872|RNU4-64P,0
ENST00000379344.8|PLEKHG4,0
170556|UBE2V1P1,0
5507|PPP1R3C,11
56119|PCDHACT,1
ENST00000546463.6|PCBP2,582
163590|TOR1AIP2,45
403296|OR7E154P,0
ENST00000680361.1|DST,0
57228|SMAGP,15
717|C2,2
107985246|CSRP1-AS1,13
ENST00000615315.2|C12orf76,0
56990|CDC42SE2,287
81542|TMX1,4
643382|TMEM253,0
100009668|POU5F1P6,1
3158954..3158956)|TRP-TGG3-3,43
ENST00000382822.2|KRTAP19-8,0
ENST00000586539.6|ABCA8,0
100862677|RBMX2P4,0
23786|BCL2L13,24
106478916|RNU6-18P,2
ENST00000020926.8|SYT13,0
56521|DNAJC12,15
ENST00000242317.9|DNAI1,0
157680|VPS13B,130
ENST00000260731.5|KIF11,0
11311|VPS45,45
ENST00000320005.6|CNGB3,0
ENST00000377574.6|SLC22A12,0
102724152|LOC102724152,0
100420178|E2F6P3,7
ENST00000300113.3|CHP2,0
3669|ISG20,65
84326|METTL26,1
100379132|SNORA70G,0
100418742|CLUHP9,0
106481169|RNU6ATAC31P,0
102724855|LINC02113,1
100134015|UBOX5-AS1,1
complement(27672496..27672498))|TRS-CGA3-1,3
100526416|AK4P5,0
10482|NXF1,121
126006|PCP2,0
7430|EZR,100
124905299|LOC124905299,0
7262|PHLDA2,0
ENST00000217182.6|EEF1A2,0
100287728|SMIM10L2B-AS1,0
100271301|RPL27AP7,0
728467|SNX5P2,0
ENST00000538716.7|TMUB2,0
ENST00000325643.6|SPATA31E1,0
106481635|RNU1-148P,2
106479576|RNU4-40P,0
375743|PTAR1,23
ENST00000330597.5|HBG1,545
29128|UHRF1,3
ENST00000274181.7|ADAMTS16,0
138724|C9orf131,0
619519|TWF1P1,2
390199|OR4D9,0
106481694|BNIP3P30,2
136540|PRSS3P3,0
ENST00000359655.9|SUPV3L1,0
162605|KRT28,0
79514|OR10T1P,0
100271715|ARHGEF33,3
ENST00000331569.6|ZNF703,0
100419845|LOC100419845,3
339241|KRT17P2,1
53616|ADAM22,0
100873547|RNA5SP294,0
ENST00000612932.6|SOCS7,0
ENST00000261835.8|CYP46A1,0
7198|TRG-GCC3-1,0
340980|OR52B6,0
100421091|LOC100421091,0
55806|HR,3
ENST00000222511.11|GTPBP10,0
100288195|VN1R104P,0
100130520|CD300H,0
106481083|RN7SL586P,0
103157000|PAUPAR,0
ENST00000586005.6|SMIM22,0
100132834|LOC100132834,0
100874242|PRICKLE2-AS2,0
256085|GET1P1,0
100506159|LINC02470,0
402240|OR1X5P,0
100129995|LINC01460,0
100289509|KCNIP2-AS1,1
ENST00000366503.3|ZNF670,0
ENST00000341333.10|TEX264,0
100131691|MZF1-AS1,0
25879|DCAF13,31
642554|LOC642554,1
100129800|ZNF807P,0
1000|CDH2,0
768096|HAR1A,19
3324|HSP90AA2P,38
100422305|PSMC1P13,0
102465876|MIR8079,0
ENST00000435030.6|KIF5C,0
ENST00000357002.5|ZNF254,0
4638|MYLK,0
28991|COMMD5,7
ENST00000258418.10|CAB39,227
100130075|LOC100130075,0
ENST00000372466.8|NUP62CL,0
ENST00000432605.3|C2orf74,0
23078|VWA8,70
ENST00000636267.1|FAM236C,0
124902085|LOC124902085,1
955|ENTPD6,0
55559|HAUS7,0
57830|KRTAP5-8,0
161424|NOP9,0
644936|LOC644936,0
147837|ZNF563,16
117177|RAB3IP,51
ENST00000259607.7|CCL21,0
ENST00000358065.5|SETMAR,0
729176|KATNBL1P6,35
407023|MIR299,0
85294|KRTAP2-4,0
106480476|RN7SKP248,0
ENST00000243924.4|PI3,0
1778|DYNC1H1,24
100996746|SPDYE11,2
100132056|DHFRP5,0
728755|MIR3171HG,44
106481233|RNU6-180P,0
ENST00000309156.9|GRB7,0
101927845|LOC101927845,1
445|ASS1,39
152815|THAP6,0
ENST00000368356.9|FDPS,19
ENST00000338034.9|ELAC2,16
100874461|HMGN1P23,0
390274|OR8B10P,0
ENST00000309623.1|OR1L1,0
5409|PNMT,1
ENST00000402432.4|FABP6,0
10436|EMG1,55
105377031|LINC02033,0
ENST00000676179.1|KIF1B,0
100189406|TRR-CCT4-1,1
ENST00000256999.7|FOLH1,0
647000|TUBBP2,1
ENST00000360578.7|TPPP,0
3483|IGFALS,0
51248|PDZD11,27
28444|IGHV3-21,0
51108|METTL9,80
124905290|LOC124905290,0
ENST00000376344.8|C9orf64,8
ENST00000444335.1|KRTAP21-3,0
100271358|RPS15AP16,0
ENST00000222005.7|CDC37,0
144360|LINC00477,1
283578|TMED8,87
360021|PPP1R12BP1,2
55129|ANO10,16
102465524|MIR6869,0
ENST00000312553.10|PODN,0
ENST00000261796.4|IL17B,0
ENST00000280191.7|SPATA4,0
ENST00000369448.4|TENT5C,2924
2222|FDFT1,32
ENST00000537097.2|GPRASP1,0
10199|MPHOSPH10,16
5678|PSG9,0
7553|ZNF7,13
100189334|TRH-GTG1-2,1
101926928|CRAT37,0
57584|ARHGAP21,103
106479384|RN7SL444P,1
7507|XPA,32
55140|ELP3,18
29092|LINC00339,0
ENST00000373602.10|CCDC28B,0
100271083|RPS20P12,0
677817|SNORA36A,2
4331|MNAT1,4
63929|XPNPEP3,34
106480771|RNA5SP520,1
7871|SLMAP,0
84793|FOXD2-AS1,0
101060019|LINC01799,1
404026|MTCO3P1,0
80011|PSME3IP1,177
26528|DAZAP1,74
148266|ZNF569,6
106480835|RNU7-200P,0
ENST00000293350.9|ALDH16A1,14
79528|OR4R1P,0
728962|RPL7P56,0
ENST00000436547.7|TIAL1,0
449491|DEFA8P,0
ENST00000234160.5|GORASP2,0
ENST00000216085.12|RHBDD3,0
6164|RPL34,5
645591|LHFPL3-AS1,0
106481201|RNU4-91P,1
ENST00000264712.8|KIF3C,7
222699|TOB2P1,0
101929685|LNCNEF,24
898|CCNE1,0
28930|IGKV1-39,0
729347|AKR1B1P3,1
ENST00000434815.1|PRR20E,0
ENST00000352689.11|MKLN1,0
106479393|RN7SL466P,0
199745|THAP8,4
ENST00000397821.8|SH3KBP1,0
56116|PCDHB@,7
101929121|LINC00437,6
106480902|RN7SKP224,0
196483|EEF2KMT,0
664617|MIR542,7
100130933|SMIM6,0
100126301|MIR509-2,0
9276|COPB2,0
100419743|DBET,1
282616|IFNL2,0
441461|STX17-DT,14
ENST00000308742.9|ALG10B,7
10993|SDS,5
692199|SNORD84,2
53947|A4GALT,0
105371703|LOC105371703,7
59277|NTN4,6
ENST00000376670.9|GATA1,0
100873719|RNA5SP477,0
ENST00000334527.12|NDEL1,0
9370|ADIPOQ,4
ENST00000337664.9|AADAT,0
100131688|VN1R68P,0
642819|ZNF487,0
ENST00000508883.6|PKD2L2,0
124906140|LOC124906140,0
145287800..145287802)|TRN-GTT2-7,103
