Gene Name	Gene type
LINC02584	lncRNA
ZBTB11-AS1	lncRNA
TLX1NB	lncRNA
CDKN2B-AS1	lncRNA
NINJ2-AS1	lncRNA
MIMT1	lncRNA
SNHG8	lncRNA
GS1-600G8.3	lncRNA
TTTY21B	lncRNA
TTTY1B	lncRNA
TTTY2B	lncRNA
TTTY8B	lncRNA
TTTY7B	lncRNA
TTTY23B	lncRNA
UCKL1-AS1	lncRNA
LIN28B-AS1	lncRNA
LINC00583	lncRNA
FAM138E	lncRNA
HOTAIR	lncRNA
FMR1-AS1	lncRNA
LOC100126447	lncRNA
LOC100126584	lncRNA
LINC00322	lncRNA
NAV2-AS6	lncRNA
EGOT	lncRNA
GHRLOS	lncRNA
SLCO4A1-AS1	lncRNA
HECW1-IT1	lncRNA
LOC100127955	lncRNA
KRT73-AS1	lncRNA
LOC100128002	lncRNA
ARHGAP44-AS1	lncRNA
WWTR1-AS1	lncRNA
PLCE1-AS1	lncRNA
SMARCA5-AS1	lncRNA
LOC100128059	lncRNA
LOC100128079	lncRNA
JAZF1-AS1	lncRNA
ST8SIA6-AS1	lncRNA
HGC6.3	lncRNA
STAU2-AS1	lncRNA
ADGRA1-AS1	lncRNA
LINC01233	lncRNA
UST-AS1	lncRNA
TMPO-AS1	lncRNA
LINC02324	lncRNA
LINC02731	lncRNA
ZNF667-AS1	lncRNA
LOC100128253	lncRNA
WASIR1	lncRNA
TNK2-AS1	lncRNA
HTR5A-AS1	lncRNA
LOC100128276	lncRNA
LOC100128288	lncRNA
DLG5-AS1	lncRNA
LOC100128310	lncRNA
LOC100128317	lncRNA
LINC03008	lncRNA
LOC100128340	lncRNA
LOC100128361	lncRNA
LINC00696	lncRNA
FAM225B	lncRNA
ARHGAP42-AS1	lncRNA
LOC100128398	lncRNA
LINC00892	lncRNA
LOC100128494	lncRNA
SCP2D1-AS1	lncRNA
ASTN2-AS1	lncRNA
NEBL-AS1	lncRNA
KIAA1671-AS1	lncRNA
MIR29B2CHG	lncRNA
LINC02347	lncRNA
MYHAS	lncRNA
RANBP3-DT	lncRNA
SLC8A1-AS1	lncRNA
LOC100128593	lncRNA
TMSB15B-AS1	lncRNA
ACVR2B-AS1	lncRNA
LOC100128653	lncRNA
HPN-AS1	lncRNA
LINC01531	lncRNA
GPR50-AS1	lncRNA
LINC02346	lncRNA
RBPMS-AS1	lncRNA
LOC100128770	lncRNA
ERCC6L2-AS1	lncRNA
LINC01349	lncRNA
SRRM2-AS1	lncRNA
