Gene Name	Gene type
POU5F1P6	pseudo
POU5F1P7	pseudo
IRX4P1	pseudo
VN2R2P	pseudo
VN2R3P	pseudo
VN2R6P	pseudo
VN2R7P	pseudo
VN2R10P	pseudo
VN2R11P	pseudo
VN2R12P	pseudo
VN2R13P	pseudo
VN2R14P	pseudo
VN2R15P	pseudo
VN2R16P	pseudo
VN2R18P	pseudo
VN2R20P	pseudo
OTX2P1	pseudo
HMGN1P3	pseudo
HMGN1P4	pseudo
LOC100037267	pseudo
UBE2D3P1	pseudo
MCCD1P1	pseudo
DDX39BP1	pseudo
ZDHHC20P1	pseudo
ZDHHC20P2	pseudo
TMEM183AP1	pseudo
RPL35AP4	pseudo
DDX39BP2	pseudo
MCCD1P2	pseudo
JKAMPP1	pseudo
CDH12P3	pseudo
CDH12P1	pseudo
CDH12P4	pseudo
GXYLT1P1	pseudo
CDC14BL	pseudo
SKP1P3	pseudo
LOC100101126	pseudo
LOC100101127	pseudo
IFITM3P5	pseudo
IFITM3P3	pseudo
TMA16P1	pseudo
TMA16P2	pseudo
LOC100101483	pseudo
BRI3P3	pseudo
ELF2P1	pseudo
GNG5P3	pseudo
GNG5P4	pseudo
GNG5P5	pseudo
HMGN2P17	pseudo
LOC100113374	pseudo
LOC100113375	pseudo
VEZTP1	pseudo
FGF7P8	pseudo
NRBF2P2	pseudo
NRBF2P5	pseudo
YBX2P1	pseudo
YBX2P2	pseudo
LOC100124373	pseudo
KLF3P2	pseudo
CRLF3P3	pseudo
LOC100124402	pseudo
HNRNPRP1	pseudo
TIPINP1	pseudo
LOC100125393	pseudo
LOC100125409	pseudo
L1TD1P1	pseudo
NUDT19P1	pseudo
DEPDC1P2	pseudo
CUX2P1	pseudo
LOC100126822	pseudo
GJA6P	pseudo
VN2R21P	pseudo
IBTKP1	pseudo
LOC100127892	pseudo
RPL7P24	pseudo
LOC100127900	pseudo
BMI1P1	pseudo
LOC100127903	pseudo
SMIM11P1	pseudo
SLC66A2P2	pseudo
HNRNPCP7	pseudo
SELENOKP2	pseudo
ST13P12	pseudo
CDRT15P11	pseudo
LOC100127917	pseudo
LOC100127919	pseudo
SUMO2P6	pseudo
RPS15AP14	pseudo
LOC100127934	pseudo
LOC100127938	pseudo
SOCS5P3	pseudo
RPL15P16	pseudo
ATF4P4	pseudo
LOC100127954	pseudo
AGGF1P9	pseudo
BCAS2P1	pseudo
LOC100127962	pseudo
RPS3AP48	pseudo
LOC100127965	pseudo
VN1R96P	pseudo
VTI1BP3	pseudo
LOC100127978	pseudo
FUNDC2P4	pseudo
LOC100127981	pseudo
LOC100127982	pseudo
LOC100127986	pseudo
MED15P4	pseudo
RPL15P5	pseudo
RPL34P7	pseudo
RPL18AP11	pseudo
RPL32P21	pseudo
LOC100128007	pseudo
SUMO2P17	pseudo
FAR1P1	pseudo
ISCA1P4	pseudo
HMGN1P26	pseudo
WHSC1L2P	pseudo
TULP3P1	pseudo
ACTR3P3	pseudo
LOC100128022	pseudo
CDPF1P1	pseudo
KNOP1P3	pseudo
RPL10P11	pseudo
PIGPP3	pseudo
KLF7P1	pseudo
KRT19P4	pseudo
BRD7P6	pseudo
FAF2P1	pseudo
HNRNPA1P11	pseudo
CHORDC1P1	pseudo
LOC100128050	pseudo
LOC100128052	pseudo
LOC100128056	pseudo
NIPA2P3	pseudo
RPS7P10	pseudo
HNRNPDLP2	pseudo
SLC2A3P1	pseudo
RPL36AP27	pseudo
LOC100128078	pseudo
RPS15AP40	pseudo
LOC100128086	pseudo
LOC100128091	pseudo
PRDX3P2	pseudo
LOC100128093	pseudo
LPCAT2BP	pseudo
PHB1P16	pseudo
AGGF1P5	pseudo
BORCS8P1	pseudo
CHCHD2P3	pseudo
RPL26P35	pseudo
RPL17P15	pseudo
CCNHP1	pseudo
SLC25A51P3	pseudo
LOC100128121	pseudo
CBLL1P1	pseudo
TMCC1P1	pseudo
GVINP2	pseudo
NDUFA5P4	pseudo
RPS4XP17	pseudo
LOC100128144	pseudo
CLCP2	pseudo
MFSD4BP1	pseudo
ATF1P1	pseudo
RPS6P7	pseudo
RPS26P39	pseudo
MTFR1P1	pseudo
DEFB131C	pseudo
NDUFS5P5	pseudo
RAP1BP2	pseudo
FMO10P	pseudo
PABPC1P7	pseudo
SLC9B1P1	pseudo
ENSAP3	pseudo
LOC100128210	pseudo
GTF3AP5	pseudo
PSMC6P3	pseudo
EDDM3DP	pseudo
HMGB1P20	pseudo
YRDCP2	pseudo
KIAA0895LP1	pseudo
CD83P1	pseudo
LOC100128248	pseudo
RPL31P55	pseudo
FAM90A28P	pseudo
RPS18P3	pseudo
RANP6	pseudo
ACTRT1P1	pseudo
SYF2P2	pseudo
RPL35AP20	pseudo
LOC100128284	pseudo
LOC100128293	pseudo
LOC100128297	pseudo
SOCS5P2	pseudo
SDHCP2	pseudo
RPS13P1	pseudo
PIGCP2	pseudo
SLC25A6P6	pseudo
RPL26P17	pseudo
EXOGP1	pseudo
LOC100128334	pseudo
LOC100128335	pseudo
IPO7P2	pseudo
BCAS2P3	pseudo
RBMX2P1	pseudo
NFYCP1	pseudo
RPL15P15	pseudo
RPL21P52	pseudo
RPS27AP20	pseudo
RPS6P24	pseudo
AIDAP3	pseudo
LOC100128362	pseudo
LOC100128365	pseudo
VN1R21P	pseudo
HMGN2P28	pseudo
LOC100128373	pseudo
RPS29P7	pseudo
TFGP1	pseudo
VN1R65P	pseudo
CALM2P1	pseudo
RPL35AP36	pseudo
NIFKP5	pseudo
LOC100128407	pseudo
RPL22P10	pseudo
NPM1P34	pseudo
VTA1P2	pseudo
XIAPP3	pseudo
RAB28P5	pseudo
RPS24P14	pseudo
UBTFL9	pseudo
LOC100128428	pseudo
GEMIN8P1	pseudo
LOC100128441	pseudo
SRSF6P1	pseudo
UQCRHP4	pseudo
IL9RP1	pseudo
RPS6P8	pseudo
CCNB1IP1P3	pseudo
CCNJP1	pseudo
RPF2P2	pseudo
LOC100128464	pseudo
IFIT6P	pseudo
LOC100128467	pseudo
SNRPCP3	pseudo
TPT1P2	pseudo
UBE2V2P1	pseudo
LOC100128497	pseudo
DPPA2P2	pseudo
FXYD6P2	pseudo
ARHGAP42P5	pseudo
ATP5PBP5	pseudo
RPS24P11	pseudo
TPT1P14	pseudo
LOC100128523	pseudo
UQCRFS1P1	pseudo
RPS18P14	pseudo
SETP8	pseudo
TARDBPP4	pseudo
ATP6V1G1P2	pseudo
BET1P1	pseudo
GLRX5P1	pseudo
LOC100128548	pseudo
CDKN2AIPNLP2	pseudo
LOC100128588	pseudo
GAPDHP39	pseudo
FAM136FP	pseudo
HNRNPDLP1	pseudo
NDUFB9P2	pseudo
LOC100128601	pseudo
C1GALT1P2	pseudo
RPS15AP13	pseudo
LOC100128610	pseudo
UBA52P7	pseudo
SLC25A3P2	pseudo
CYB5AP2	pseudo
LOC100128622	pseudo
SRSF1P1	pseudo
PPP1R2P10	pseudo
RGS17P1	pseudo
EEF1A1P26	pseudo
HMGB1P48	pseudo
RPL10AP7	pseudo
LOC100128655	pseudo
CHCHD4P2	pseudo
RPL27P3	pseudo
RPL22P20	pseudo
FYTTD1P1	pseudo
LOC100128673	pseudo
LOC100128674	pseudo
LOC100128676	pseudo
BTBD10P1	pseudo
CCNG2P1	pseudo
SLC16A14P1	pseudo
LOC100128686	pseudo
ELL2P4	pseudo
PABPC1P6	pseudo
HNRNPA1P41	pseudo
AK4P4	pseudo
NIFKP4	pseudo
RPL9P30	pseudo
NDUFB10P1	pseudo
PRELID3BP3	pseudo
LOC100128713	pseudo
LOC100128721	pseudo
CBX1P3	pseudo
APOOP4	pseudo
FCF1P3	pseudo
LRRFIP2P1	pseudo
LOC100128739	pseudo
RPLP1P8	pseudo
RPS7P9	pseudo
HEBP2P1	pseudo
LOC100128762	pseudo
THAP12P6	pseudo
RPL8P2	pseudo
EIF4BP3	pseudo
LOC100128772	pseudo
NEDD8P1	pseudo
LOC100128776	pseudo
KLF8P1	pseudo
SHLD2P2	pseudo
LYPLA2P3	pseudo
LOC100128800	pseudo
DRAXINP1	pseudo
LOC100128803	pseudo
AGGF1P8	pseudo
RPL35AP37	pseudo
ANAPC15P1	pseudo
AK6P2	pseudo
FRG2FP	pseudo
LOC100128833	pseudo
CLK3P2	pseudo
