Gene Name	Gene type
RNA5-8SN5	rRNA
RNA18SN5	rRNA
RNA28SN5	rRNA
RNA5S1	rRNA
RNA5S2	rRNA
RNA5S3	rRNA
RNA5S4	rRNA
RNA5S5	rRNA
RNA5S6	rRNA
RNA5S7	rRNA
RNA5S8	rRNA
RNA5S9	rRNA
RNA5S10	rRNA
RNA5S11	rRNA
RNA5S12	rRNA
RNA5S13	rRNA
RNA5S14	rRNA
RNA5S15	rRNA
RNA5S16	rRNA
RNA5S17	rRNA
RNA45SN5	rRNA
RNA45SN1	rRNA
RNA18SN1	rRNA
RNA5-8SN1	rRNA
RNA28SN1	rRNA
RNA45SN4	rRNA
RNA28SN4	rRNA
RNA18SN4	rRNA
RNA5-8SN4	rRNA
RNA45SN2	rRNA
RNA18SN2	rRNA
RNA5-8SN2	rRNA
RNA28SN2	rRNA
RNA45SN3	rRNA
RNA18SN3	rRNA
RNA5-8SN3	rRNA
RNA28SN3	rRNA
LOC124900510	rRNA
LOC124905422	rRNA
LOC124905424	rRNA
LOC124905425	rRNA
LOC124905426	rRNA
LOC124905427	rRNA
LOC124905428	rRNA
LOC124905429	rRNA
LOC124905430	rRNA
LOC124905431	rRNA
LOC124905432	rRNA
LOC124905433	rRNA
LOC124905434	rRNA
LOC124905435	rRNA
LOC124905436	rRNA
LOC124905437	rRNA
LOC124905438	rRNA
0	rRNA
