Gene Name	Gene type
SNAR-G1	snRNA
SNAR-F	snRNA
SNAR-A1	snRNA
SNAR-A2	snRNA
SNAR-A12	snRNA
RNU7-1	snRNA
RNU4ATAC	snRNA
RNU6ATAC	snRNA
SNAR-A3	snRNA
SNAR-A5	snRNA
SNAR-A7	snRNA
SNAR-A11	snRNA
SNAR-A9	snRNA
SNAR-A4	snRNA
SNAR-A6	snRNA
SNAR-A8	snRNA
SNAR-A13	snRNA
SNAR-A10	snRNA
SNAR-B2	snRNA
SNAR-C2	snRNA
SNAR-C4	snRNA
SNAR-E	snRNA
SNAR-H	snRNA
SNAR-I	snRNA
SNAR-C5	snRNA
SNAR-B1	snRNA
SNAR-C1	snRNA
SNAR-C3	snRNA
SNAR-D	snRNA
SNAR-G2	snRNA
SNAR-A14	snRNA
RNVU1-8	snRNA
RNVU1-4	snRNA
RNVU1-14	snRNA
RNVU1-15	snRNA
RNVU1-17	snRNA
RNU6-9	snRNA
RNVU1-3	snRNA
RNVU1-1	snRNA
RNU6-7	snRNA
RNVU1-6	snRNA
RNVU1-19	snRNA
RNU6-8	snRNA
RNU6-2	snRNA
LOC124900488	snRNA
LOC124900516	snRNA
LOC124900632	snRNA
LOC124900883	snRNA
LOC124900884	snRNA
LOC124900885	snRNA
LOC124900887	snRNA
LOC124900889	snRNA
LOC124900915	snRNA
LOC124901190	snRNA
LOC124901191	snRNA
LOC124901192	snRNA
LOC124901219	snRNA
LOC124901224	snRNA
LOC124901516	snRNA
LOC124901518	snRNA
LOC124901522	snRNA
LOC124901523	snRNA
LOC124901863	snRNA
LOC124902076	snRNA
LOC124902077	snRNA
LOC124902331	snRNA
LOC124902333	snRNA
LOC124902335	snRNA
LOC124902818	snRNA
LOC124902821	snRNA
LOC124903091	snRNA
LOC124903094	snRNA
LOC124903096	snRNA
LOC124903097	snRNA
LOC124903120	snRNA
LOC124903275	snRNA
LOC124903414	snRNA
LOC124903782	snRNA
LOC124904107	snRNA
LOC124904108	snRNA
LOC124904109	snRNA
LOC124904111	snRNA
LOC124904112	snRNA
LOC124904122	snRNA
LOC124904135	snRNA
LOC124904136	snRNA
LOC124904137	snRNA
LOC124904138	snRNA
LOC124904139	snRNA
LOC124904140	snRNA
LOC124904141	snRNA
LOC124904142	snRNA
LOC124904143	snRNA
LOC124904144	snRNA
LOC124904145	snRNA
LOC124904146	snRNA
LOC124904147	snRNA
LOC124904364	snRNA
LOC124904613	snRNA
LOC124904616	snRNA
LOC124904619	snRNA
LOC124904621	snRNA
LOC124904624	snRNA
LOC124904627	snRNA
LOC124904631	snRNA
LOC124904634	snRNA
LOC124904651	snRNA
LOC124904694	snRNA
LOC124904697	snRNA
LOC124904706	snRNA
LOC124904727	snRNA
LOC124904732	snRNA
LOC124904741	snRNA
LOC124904748	snRNA
LOC124904756	snRNA
LOC124904769	snRNA
LOC124904986	snRNA
LOC124905062	snRNA
LOC124905168	snRNA
LOC124905169	snRNA
LOC124905170	snRNA
LOC124905264	snRNA
LOC124905265	snRNA
LOC124905307	snRNA
LOC124905313	snRNA
LOC124905321	snRNA
LOC124905326	snRNA
LOC124905327	snRNA
LOC124905334	snRNA
LOC124905519	snRNA
LOC124905522	snRNA
LOC124905573	snRNA
LOC124905574	snRNA
LOC124906135	snRNA
LOC124906137	snRNA
LOC124906338	snRNA
LOC124906342	snRNA
LOC124906343	snRNA
RN7SK	snRNA
RNU12	snRNA
RNU11	snRNA
RNU6-1	snRNA
RNU5F-1	snRNA
RNU5E-1	snRNA
RNU5D-1	snRNA
RNU5A-1	snRNA
RNU5B-1	snRNA
RNU4-2	snRNA
RNU4-1	snRNA
RNVU1-18	snRNA
RNVU1-7	snRNA
RNU1-3	snRNA
RNU1-2	snRNA
RNU1-1	snRNA
RNU1-4	snRNA
RNVU1-2A	snRNA
RNU2-1	snRNA
RNVU1-29	snRNA
