Gene Name	Gene type
TRY-GTA7-1	tRNA
TRY-GTA5-4	tRNA
TRA-AGC11-1	tRNA
TRA-AGC8-1	tRNA
TRF-GAA2-1	tRNA
TRF-GAA1-4	tRNA
TRH-GTG1-6	tRNA
TRK-TTT3-4	tRNA
TRV-CAC1-5	tRNA
TRG-GCC2-4	tRNA
TRH-GTG1-7	tRNA
TRH-GTG1-5	tRNA
TRH-GTG1-8	tRNA
TRV-AAC1-2	tRNA
TRH-GTG1-1	tRNA
TRV-AAC2-1	tRNA
TRV-TAC1-1	tRNA
TRK-CTT6-1	tRNA
TRG-TCC4-1	tRNA
TRQ-CTG7-1	tRNA
TRY-GTA5-5	tRNA
TRS-GCT2-1	tRNA
TRL-CAA6-1	tRNA
TRL-AAG1-3	tRNA
TRN-GTT2-1	tRNA
TRT-AGT1-3	tRNA
TRC-GCA11-1	tRNA
TRL-CAG1-2	tRNA
TRG-TCC2-6	tRNA
TRR-TCT5-1	tRNA
TRK-CTT1-2	tRNA
TRV-AAC5-1	tRNA
TRX-CAT1-1	tRNA
TRE-CTC1-5	tRNA
TRL-CAG1-6	tRNA
TRP-AGG2-1	tRNA
TRP-AGG1-1	tRNA
TRA-CGC3-1	tRNA
TRY-GTA2-1	tRNA
TRE-CTC1-6	tRNA
TRI-TAT2-2	tRNA
TRC-GCA22-1	tRNA
TRE-TTC2-1	tRNA
TRL-TAG3-1	tRNA
TRA-CGC4-1	tRNA
TRR-TCG5-1	tRNA
TRT-CGT1-1	tRNA
TRN-GTT2-4	tRNA
TRS-CGA1-1	tRNA
TRL-CAA3-1	tRNA
TRG-TCC2-5	tRNA
TRX-CAT1-4	tRNA
TRS-CGA2-1	tRNA
TRA-AGC6-1	tRNA
TRG-CCC5-1	tRNA
TRA-AGC4-1	tRNA
TRA-AGC5-1	tRNA
TRW-CCA3-2	tRNA
TRC-GCA18-1	tRNA
TRI-GAT1-2	tRNA
TRC-GCA2-2	tRNA
TRK-TTT4-1	tRNA
TRQ-CTG4-1	tRNA
TRN-GTT8-1	tRNA
TRA-AGC13-2	tRNA
TRK-CTT4-1	tRNA
TRE-TTC2-2	tRNA
TRG-TCC2-1	tRNA
TRH-GTG1-9	tRNA
TRA-TGC5-1	tRNA
TRL-TAA4-1	tRNA
TRS-AGA4-1	tRNA
TRI-AAT2-1	tRNA
TRP-AGG2-4	tRNA
TRQ-TTG3-3	tRNA
TRC-GCA12-1	tRNA
TRS-AGA2-2	tRNA
TRR-CCT1-1	tRNA
TRA-TGC6-1	tRNA
TRN-GTT2-3	tRNA
TRR-CCG1-2	tRNA
TRM-CAT7-1	tRNA
TRT-CGT2-1	tRNA
TRP-TGG3-2	tRNA
TRL-CAG2-2	tRNA
TRC-GCA4-1	tRNA
TRE-CTC1-2	tRNA
TRA-AGC7-1	tRNA
TRA-AGC2-1	tRNA
TRX-CAT1-3	tRNA
TRI-AAT8-1	tRNA
TRC-GCA3-1	tRNA
TRK-TTT8-1	tRNA
TRR-ACG2-3	tRNA
TRY-GTA5-2	tRNA
TRR-ACG2-1	tRNA
TRC-GCA2-3	tRNA
TRA-AGC12-3	tRNA
TRK-CTT1-1	tRNA
TRR-TCT3-1	tRNA
TRK-CTT2-4	tRNA
TRM-CAT3-2	tRNA
TRW-CCA3-3	tRNA
TRA-TGC2-1	tRNA
TRR-TCT3-2	tRNA
TRA-AGC15-1	tRNA
TRL-AAG4-1	tRNA
TRK-CTT3-1	tRNA
TRD-GTC2-5	tRNA
